submit_date,promotion_one_id,promotion_one_class,promotion_two_id,promotion_two_class,order_channel,nsite_id,registered,first_time_buyer,device_class_code,locale_code,frequency_count
2024-03-11 00:00:00.000,52650001,SHIPPING,109590001,ORDER,Storefront,Sites-hru-emea-west-Site,false,true,smartphone,en_GB,1
2024-03-11 00:00:00.000,52800024,SHIPPING,109120001,ORDER,Storefront,Sites-hru-emea-west-Site,true,false,smartphone,it_IT,1
2024-02-18 00:00:00.000,52650001,SHIPPING,74670046,PRODUCT,Storefront,Sites-hru-emea-west-Site,true,false,desktop,en_GB,1
2024-03-11 00:00:00.000,52800024,SHIPPING,109530005,PRODUCT,Storefront,Sites-hru-emea-west-Site,true,false,smartphone,it_IT,1
2024-03-11 00:00:00.000,54760187,ORDER,99980001,PRODUCT,Storefront,Sites-skc-de-Site,true,true,smartphone,de_DE,1
2024-04-06 00:00:00.000,110530097,PRODUCT,110690001,PRODUCT,Storefront,Sites-kiehls-de-Site,true,false,smartphone,de_DE,17
2024-03-11 00:00:00.000,52650001,SHIPPING,109120001,ORDER,Storefront,Sites-hru-emea-west-Site,true,false,desktop,en_GB,3
2024-03-11 00:00:00.000,52650001,SHIPPING,109120001,ORDER,Storefront,Sites-hru-emea-west-Site,false,true,smartphone,en_GB,3
2024-04-27 00:00:00.000,50080048,PRODUCT,110530027,ORDER,Storefront,Sites-valentino-emea-west-ng-Site,true,false,smartphone,de_DE,1
2024-03-11 00:00:00.000,52650001,SHIPPING,109530003,ORDER,Storefront,Sites-hru-emea-west-Site,true,false,desktop,en_GB,3
2024-02-18 00:00:00.000,50150001,SHIPPING,50620071,ORDER,Storefront,Sites-kiehls-uk-v2-Site,true,false,smartphone,en_GB,6
2024-02-18 00:00:00.000,70690001,SHIPPING,108260028,ORDER,Storefront,Sites-skinceuticals-uk-Site,true,true,smartphone,en_GB,2
2024-02-18 00:00:00.000,69680001,ORDER,104050001,PRODUCT,Storefront,Sites-ysl-fr-ng-Site,false,true,smartphone,fr_FR,5
2024-02-18 00:00:00.000,69680001,ORDER,107000039,ORDER,Storefront,Sites-ysl-fr-ng-Site,false,true,smartphone,fr_FR,4
2024-02-18 00:00:00.000,70550058,PRODUCT,107000039,ORDER,Storefront,Sites-ysl-fr-ng-Site,false,true,smartphone,fr_FR,2
2024-02-18 00:00:00.000,51000002,SHIPPING,107700058,ORDER,Storefront,Sites-valentino-emea-west-ng-Site,false,true,smartphone,en_GB,2
2024-02-18 00:00:00.000,70930001,SHIPPING,107800001,ORDER,Storefront,Sites-lrp-uk-Site,true,true,smartphone,en_GB,28
2024-02-18 00:00:00.000,77040001,SHIPPING,78130173,PRODUCT,Storefront,Sites-staffshop-fr-Site,true,false,smartphone,fr_FR,4
2024-02-18 00:00:00.000,77040001,SHIPPING,80720001,PRODUCT,Storefront,Sites-staffshop-fr-Site,true,false,smartphone,fr_FR,3
2024-02-18 00:00:00.000,78040001,PRODUCT,78130173,PRODUCT,Storefront,Sites-staffshop-fr-Site,true,false,smartphone,fr_FR,12
2024-02-18 00:00:00.000,78040001,PRODUCT,80720001,PRODUCT,Storefront,Sites-staffshop-fr-Site,true,false,smartphone,fr_FR,15
2024-02-18 00:00:00.000,43050002,SHIPPING,107430081,ORDER,Storefront,Sites-mugler-uk-Site,true,false,desktop,en_GB,7
2024-02-18 00:00:00.000,79700001,SHIPPING,107780003,ORDER,Storefront,Sites-ysl-emea-west-ng-Site,false,false,desktop,de_DE,1
2024-02-18 00:00:00.000,79700001,SHIPPING,107810001,ORDER,Storefront,Sites-ysl-emea-west-ng-Site,false,false,desktop,de_DE,1
2024-02-18 00:00:00.000,79700001,SHIPPING,107810002,ORDER,Storefront,Sites-ysl-emea-west-ng-Site,false,false,desktop,de_DE,1
2024-01-28 00:00:00.000,80690005,PRODUCT,81120115,PRODUCT,Storefront,Sites-staffshop-fr-Site,true,false,desktop,fr_FR,8
2024-04-27 00:00:00.000,50080048,PRODUCT,111350001,ORDER,Storefront,Sites-valentino-emea-west-ng-Site,true,false,smartphone,de_DE,1
2024-03-11 00:00:00.000,57210001,PRODUCT,70930001,SHIPPING,Storefront,Sites-lrp-uk-Site,true,true,desktop,en_GB,1
2024-02-18 00:00:00.000,82980001,SHIPPING,88920015,ORDER,Storefront,Sites-ker-ukie-Site,false,true,tablet,en_GB,1
2024-02-18 00:00:00.000,82980001,SHIPPING,108510001,PRODUCT,Storefront,Sites-ker-ukie-Site,false,true,tablet,en_GB,1
2024-01-28 00:00:00.000,80690003,PRODUCT,107480001,ORDER,Storefront,Sites-staffshop-fr-Site,true,false,desktop,fr_FR,6
2024-02-18 00:00:00.000,88920015,ORDER,108510001,PRODUCT,Storefront,Sites-ker-ukie-Site,false,true,tablet,en_GB,1
2024-02-18 00:00:00.000,90960001,ORDER,99240001,SHIPPING,Storefront,Sites-lancome-emea-west-ng-Site,true,true,desktop,en_GB,1
2024-03-11 00:00:00.000,57210001,PRODUCT,109930001,PRODUCT,Storefront,Sites-lrp-uk-Site,true,true,desktop,en_GB,1
2024-02-18 00:00:00.000,90960001,ORDER,108340001,PRODUCT,Storefront,Sites-lancome-emea-west-ng-Site,true,true,desktop,en_GB,1
2024-03-11 00:00:00.000,57210001,PRODUCT,109950001,PRODUCT,Storefront,Sites-lrp-uk-Site,true,true,desktop,en_GB,1
2024-03-11 00:00:00.000,57690002,SHIPPING,108980001,PRODUCT,Storefront,Sites-lancome-es-Site,true,false,smartphone,es_ES,1
2024-01-28 00:00:00.000,78040001,PRODUCT,80730001,PRODUCT,Storefront,Sites-staffshop-fr-Site,true,false,desktop,fr_FR,10
2024-03-11 00:00:00.000,59830001,SHIPPING,90170001,ORDER,Storefront,Sites-ysl-emea-west-Site,true,true,desktop,en_GB,1
2024-03-11 00:00:00.000,59830001,SHIPPING,59980218,PRODUCT,Storefront,Sites-ysl-emea-west-Site,true,true,desktop,en_GB,2
2024-04-06 00:00:00.000,76920073,SHIPPING,110960002,PRODUCT,Storefront,Sites-lancome-emea-east-ng-Site,true,false,desktop,bg_BG,8
2024-02-18 00:00:00.000,104950132,PRODUCT,108260043,ORDER,Storefront,Sites-itc-de-Site,true,true,smartphone,de_DE,1
2024-02-18 00:00:00.000,104950132,PRODUCT,108260056,ORDER,Storefront,Sites-itc-de-Site,true,true,smartphone,de_DE,1
2024-02-18 00:00:00.000,78130173,PRODUCT,80690003,PRODUCT,Storefront,Sites-staffshop-fr-Site,true,false,desktop,fr_FR,26
2024-01-28 00:00:00.000,78040001,PRODUCT,80690007,PRODUCT,Storefront,Sites-staffshop-fr-Site,true,false,smartphone,fr_FR,17
2024-02-18 00:00:00.000,78130173,PRODUCT,80720001,PRODUCT,Storefront,Sites-staffshop-fr-Site,true,false,smartphone,fr_FR,6
2024-02-18 00:00:00.000,79760001,SHIPPING,107780003,ORDER,Storefront,Sites-ysl-emea-west-ng-Site,true,false,smartphone,it_IT,2
2024-02-18 00:00:00.000,82980001,SHIPPING,108510001,PRODUCT,Storefront,Sites-ker-ukie-Site,true,false,smartphone,en_GB,4
2024-02-18 00:00:00.000,104950132,PRODUCT,108260043,ORDER,Storefront,Sites-itc-de-Site,true,true,desktop,de_DE,2
2024-02-18 00:00:00.000,104950132,PRODUCT,108260056,ORDER,Storefront,Sites-itc-de-Site,true,true,desktop,de_DE,2
2024-02-18 00:00:00.000,90960001,ORDER,99240001,SHIPPING,Storefront,Sites-lancome-emea-west-ng-Site,true,false,smartphone,en_GB,4
2024-02-18 00:00:00.000,79760001,SHIPPING,107810001,ORDER,Storefront,Sites-ysl-emea-west-ng-Site,true,false,smartphone,it_IT,2
2024-02-18 00:00:00.000,79760001,SHIPPING,107810002,ORDER,Storefront,Sites-ysl-emea-west-ng-Site,true,false,smartphone,it_IT,2
2024-02-18 00:00:00.000,90960001,ORDER,99240001,SHIPPING,Storefront,Sites-lancome-emea-west-ng-Site,true,true,smartphone,en_GB,2
2024-02-18 00:00:00.000,92970128,ORDER,98420024,ORDER,Storefront,Sites-kiehls-fr-Site,true,false,smartphone,fr_FR,4
2024-02-18 00:00:00.000,107000051,ORDER,108000011,ORDER,Storefront,Sites-hru-emea-west-Site,true,false,desktop,en_GB,1
2024-02-18 00:00:00.000,107000051,ORDER,108000078,ORDER,Storefront,Sites-hru-emea-west-Site,true,false,desktop,en_GB,1
2024-06-07 00:00:00.000,70930001,SHIPPING,113490001,PRODUCT,Storefront,Sites-lrp-uk-Site,true,false,smartphone,en_GB,33
2024-02-18 00:00:00.000,107430064,PRODUCT,107430092,PRODUCT,Storefront,Sites-skc-de-Site,true,true,desktop,de_DE,1
2024-02-18 00:00:00.000,107430084,ORDER,107430092,PRODUCT,Storefront,Sites-skc-de-Site,true,true,desktop,de_DE,1
