registration_date,site_id,locale_code,device_class_code,num_registrations
2020-06-16,118,pl_PL,desktop,1
2020-06-16,301,en_GB,tablet,1
2020-06-16,801,UNKNOWN_LOCALE,tablet,1
2020-06-13,106,nl_NL,smartphone,2
2020-06-13,109,de_CH,smartphone,2
2020-06-13,109,fr_CH,smartphone,2
2020-06-13,109,fr_FR,tablet,1
2020-06-16,106,nl_NL,smartphone,1
2020-06-16,109,it_IT,tablet,1
2020-06-16,115,nl_BE,desktop,1
2020-06-16,303,de_DE,tablet,1
2020-06-16,903,en_GB,tablet,2
2020-06-17,111,fr_FR,unknown,40
2020-06-09,121,fr_FR,tablet,1
2020-06-17,109,es_ES,desktop,21
2020-06-16,1103,de_DE,smartphone,4
2020-06-16,1801,fr_FR,tablet,1
2020-06-16,1401,ar_SA,smartphone,31
2020-06-16,1401,UNKNOWN_LOCALE,smartphone,12
2020-06-16,1801,de_DE,desktop,19
2020-06-16,106,de_DE,tablet,1
2020-06-16,109,fr_BE,desktop,1
2020-06-16,109,fr_FR,tablet,1
2020-06-16,109,nl_BE,smartphone,2
2020-06-16,114,de_DE,tablet,1
2020-06-18,106,nl_NL,tablet,1
2020-06-16,121,fr_FR,tablet,2
2020-06-16,303,es_ES,smartphone,2
2020-06-16,303,fr_FR,smartphone,3
2020-06-16,601,en_ZA,desktop,3
2020-06-13,120,en_GB,tablet,1
2020-06-16,904,es_ES,tablet,2
2020-06-16,1102,fr_FR,smartphone,4
2020-06-18,109,de_DE,tablet,6
2020-06-13,301,en_GB,tablet,1
2020-06-18,1202,de_DE,tablet,1
2020-06-17,113,fr_FR,smartphone,25
2020-06-17,114,es_ES,desktop,19
2020-06-17,112,en_GB,desktop,125
2020-06-17,117,en_GB,desktop,84
2020-06-18,109,fr_BE,desktop,1
2020-06-13,303,fr_FR,smartphone,3
2020-06-13,303,fr_FR,tablet,1
2020-06-16,2001,en_GB,smartphone,5
2020-06-16,117,en_GB,tablet,12
2020-06-16,1801,de_DE,smartphone,15
2020-06-16,1801,es_ES,desktop,3
2020-06-16,1801,fr_FR,desktop,8
2020-06-16,1801,fr_FR,smartphone,10
2020-06-16,1801,it_IT,desktop,9
2020-06-16,1801,it_IT,smartphone,9
2020-06-10,103,pl_PL,desktop,13
2020-06-10,103,pl_PL,smartphone,26
2020-06-10,106,de_DE,desktop,3
2020-06-10,106,de_DE,smartphone,7
2020-06-13,309,cs_CZ,unknown,1
2020-06-10,106,es_ES,desktop,5
2020-06-10,106,es_ES,smartphone,7
2020-06-10,106,fr_BE,smartphone,2
2020-06-10,106,it_IT,desktop,2
2020-06-13,501,en_GB,desktop,1
2020-06-10,106,it_IT,smartphone,5
2020-06-10,106,nl_BE,desktop,1
2020-06-10,106,nl_NL,desktop,3
2020-06-10,106,nl_NL,smartphone,7
2020-06-10,109,de_AT,desktop,2
2020-06-10,109,de_AT,smartphone,1
2020-06-10,109,de_CH,desktop,2
2020-06-10,109,de_CH,smartphone,1
2020-06-10,109,de_DE,desktop,15
2020-06-10,109,de_DE,smartphone,9
2020-06-10,109,es_ES,desktop,16
2020-06-10,109,es_ES,smartphone,24
2020-06-13,903,en_GB,tablet,2
2020-06-10,109,es_ES,tablet,3
2020-06-10,109,fr_BE,desktop,1
2020-06-10,109,fr_BE,smartphone,2
2020-06-10,109,fr_CH,desktop,2
2020-06-10,109,fr_CH,smartphone,1
2020-06-10,109,fr_FR,desktop,23
2020-06-10,109,fr_FR,smartphone,12
2020-06-10,109,fr_FR,tablet,1
2020-06-10,109,it_IT,desktop,45
2020-06-10,109,it_IT,smartphone,62
2020-06-13,1201,fr_FR,tablet,1
2020-06-10,109,it_IT,tablet,2
2020-06-13,1202,de_DE,tablet,1
2020-06-13,1401,ar_SA,desktop,3
2020-06-10,109,nl_BE,desktop,5
2020-06-10,109,nl_BE,smartphone,2
