campaign_id,ncampaign_id,description,valid_from,valid_to,is_continuous
50015,AOX - RG - SHIPPING 45€,XXX,,,false
50016,AOX - RG - 07-2020 - OFFRES - 50%,XXX,,,false
50017,PL MDC Free shipping permanent promo,XXX,,,false
50018,ES_DISCOUNT_LANCOME20,XXX,,,false
50019,LAC_ES_1-07_15-07_rebajas,XXX,,,false
50020,KIE_FR_20200714_20200811_SELECTION-ETE,XXX,,,false
70003,Free_Samples_AUGUST_20200801,XXX,,,false
70004,PermanentFreeShipping,XXX,,,false
80007,IT-Bounce-Back-PizzaBox,XXX,,,false
70005,CORPORATE-BENEFITS-DE_con,XXX,,,false
70006,LAC-FR-LIVRAISON-EXPRESS-OFFERTE-100,XXX,,,false
70007,LAC-FR-TRIGGER-WELCOME15,XXX,,,false
70008,FREESHIPPING-IT,XXX,,,false
70009,DISCOUNT_LASTCHANCETOBUY_20171102,XXX,,,false
70010,ARMANI_UK_30-07-2020_MYWAYSAMPLE,XXX,,,false
70011,UD_FR_FREE_SHIPPING_2020_ALLODERS,XXX,,,false
70012,UD_FR_20200715_20200811_SOLDES_SUMMER_2020,XXX,,,false
70013,pl-1+1-promo,XXX,,,false
70014,LAC-FR-BUNDLES-SUMMER,XXX,,,false
70015,KIE_UK_07-20_GWP_SOCIAL-SUMMERTREAT,XXX,,,false
70016,E2_MAR20_FREESHIPPING-MAR20,XXX,,,false
70017,last-chance-to-buy,XXX,,,false
70018,KIE_ES_3-8_16-8_New,XXX,,,false
70019,LAC-FR-LIVRAISON-OFFERTE-DES-70EUROS,XXX,,,false
70020,NYX_UK_2030_CodeGen15000_10,XXX,,,false
70021,GWP_TRAVELSIZE_IT_MUSTHAVE_20200716,XXX,,,false
70022,PermanentFreeShipping,XXX,,,false
70023,ro-stars,XXX,,,false
70024,ro-free-delivery,XXX,,,false
70025,pl-cerave-set,XXX,,,false
70026,pl-25%-suncare,XXX,,,false
19080001,LAC-FR-OFFRE-CALENDRIER-DE-LAVENT-25-08122020,XXX,,,false
8330065,E2-CH-GWP-SEP20,XXX,,,false
21610001,DE-BIO-ADVENTSKALENDER-2020-PROMO20,XXX,,,false
13270001,LOY-DE-Birthday Tier 2,XXX,,,false
13280001,Health Care Discounts 20% off,XXX,,,false
21620001,UD_UK_12-20_DEC_INF-HANNAH30,XXX,,,false
21630001,LE 20 GIOIE DEL NATALE - GIORNO 20,XXX,,,false
21640001,PROMO-2T2P-LIVRAISON-102020,XXX,,,false
21640002,LAC-FR-OFFRE-CALENDRIER-DE-LAVENT-15-20122020,XXX,,,false
21650001,NYX_ES_DNR_Social-sellers-NOV20,XXX,,,false
19100001,ro-gift-350,XXX,,,false
25560001,DE-Celebrationfoundation-50-012021,XXX,,,false
19140001,DE-BIO-ADVENTSKALENDER-2020-PROMO8,XXX,,,false
10520057,GWP_WYB_TEST1_20190909,,2019-09-09 23:00:00.000,2019-10-15 22:45:00.000,true
19180001,NYX_FR_2020-12-08_2020-12-11_GLITTERS,XXX,,,false
21660001,YSL-FR-OFFRE-TRIGGER-15,XXX,,,false
21670001,DE-LAC-ADVENTSKALENDER-PROMO21,XXX,,,false
21680001,YSL-FR-OFFRE-CALENDRIER-DE-LAVENT-21122020,XXX,,,false
21680002,LAC-FR-OFFRE-CALENDRIER-DE-LAVENT-20-21122020,XXX,,,false
21690001,ITC_UK_2020_12_21_lastchance,XXX,,,false
21700001,AOX - LRP - 11/2020 - OFFRE ACQUISITION 20PCT,XXX,,,false
21710001,KIE_FR_20201219_20200201_FREENOW,XXX,,,false
21720001,DE-BIO-ADVENTSKALENDER-2020-PROMO21,XXX,,,false
21740001,KIE_UAE_2020-12-11_2021-01-03_HOLIDAY10,XXX,,,false
28770001,LPA_FR_2021-02_14_2021-02-26_VDAY,XXX,,,false
21760001,UDC_ES_22-12_23-12_promo-45,XXX,,,false
21810001,NYX_FR_2020-19-12_2020-31-12_HAPPYDAYS,XXX,,,false
21810002,UD_UK_03-20_GWP-MARCH-BADASS,XXX,,,false
1512246,GWP_INTHEFROW_DIVERGENTE,,2019-08-13 23:00:00.000,2019-08-20 23:00:00.000,true
13260016,LAC-FR-GWP-GEL-HYDROALCOOLIQUE,1 GWP offert pour tout achat,2020-11-19 23:00:00.000,2020-11-30 23:00:00.000,true
1511259,E2-GWP-AUGUST19,,2019-07-26 22:00:00.000,2019-09-05 22:00:00.000,true
2920068,GWP_2019_SPEND50_HAPPYHOLIDAYS,,2019-12-03 00:00:00.000,2019-12-09 00:00:00.000,true
1511944,GWP_TEST_02022020,,2020-02-02 00:00:00.000,2020-02-12 00:00:00.000,true
1512197,UD_BNL_GIFT_BOX_50E,,2000-01-01 00:00:00.000,2020-06-17 22:00:00.000,true
1513592,ES_DISCOUNT_WELCOME_20180810,,2000-01-01 00:00:00.000,2030-12-31 23:00:00.000,true
80008,ARMANI_UK_30-07-2020-_GWP_JULYPAYDAY,XXX,,,false
80009,pl-vichy-face-care,XXX,,,false
19120001,ro-gift-150,XXX,,,false
19150001,DE-UDC-XMAS20-08122020,XXX,,,false
11740001,LPA_FR_2020-11-02_2020-11-30_MAGIC-TOUCH,XXX,,,false
11750001,BIO_FR_20201105_20201231_LIVEDATE_MISS30_COMEBACK_BIOMISSYOU,XXX,,,false
1515431,DE_DISCOUNT_20_20180608,,2018-08-18 22:00:00.000,2018-09-09 22:00:00.000,true
2940001,My-Way-7ML-allorders,XXX,,,false
19150002,YSL-FR-OFFRE-CALENDRIER-DE-LAVENT-08122020,XXX,,,false
21730001,UD_UK_VIRTUAL_SERVICES_AMY,XXX,,,false
21770001,LAC_ES_22-12_DNR_lash-idole,XXX,,,false
27620001,AT_20%_FEB21,XXX,,,false
21820001,DE-KIE-ADVENTSKALENDER-2020-HOLIDAY22,XXX,,,false
11760001,IT-Promo-Singles-Day-2020,XXX,,,false
21820002,es-dic-envioexpress,XXX,,,false
1512694,FR_ORDER_DISTANCETOPRIVILEGE_TROPIC_20190726,,2019-07-30 22:00:00.000,2019-08-27 22:00:00.000,true
21820003,Colissimo - FREESHIPING 45€,XXX,,,false
21820004,UD_FR_2020-03-13_2020-03-15_F&F_DISCOUNT,XXX,,,false
21820005,NYX_UK_2020-10-03_2020-27-03_DEWY-FINISH,XXX,,,false
21820006,KIE_E2_2020-02-18_2020-03-27_GWP-MAR20,XXX,,,false
21820007,Mondial Relay - FREE SHIPPING A PARTIR DE 45€,XXX,,,false
21820008,FR_GWP_CRAQUAGE_afterBF,XXX,,,false
21820009,KIE_DE_2020-02-24_2020-03-15_CANNABIS-CLEANSER_GWP,XXX,,,false
28780001,DISCOUNT_ES_PRODUCT_SETS_20210213,XXX,,,false
27630001,pl-lancome-20,XXX,,,false
10520117,GWP_WYS_TEST1_20190909,,2019-09-10 00:00:00.000,2019-10-15 00:00:00.000,true
