business_channel_id,registered,site_id,first_time_buyer,device_class_code,locale_code,std_revenue,num_orders,num_units,std_tax,std_shipping,std_total_discount,submit_date,std_promotional_order_discount,std_promotional_shipping_discount,std_promotional_product_discount,std_manual_order_discount,std_manual_shipping_discount,std_manual_product_discount
7,true,305,true,desktop,UNKNOWN_LOCALE,13.119700,1,1.000000,2.724756,1.662101,2.547647,2016-12-28,2.547647,0.000000,0.000000,0.000000,0.000000,0.000000
7,false,102,true,desktop,UNKNOWN_LOCALE,18.795171,1,1.000000,3.738630,1.659598,3.650208,2016-12-29,3.650208,0.000000,0.000000,0.000000,0.000000,0.000000
7,true,305,true,desktop,UNKNOWN_LOCALE,21.765216,1,3.000000,4.448268,1.659597,0.000000,2016-12-29,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7,false,305,false,unknown,UNKNOWN_LOCALE,8.833188,1,1.000000,2.201503,2.394020,0.000000,2016-12-30,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7,false,305,true,unknown,UNKNOWN_LOCALE,20.335705,1,3.000000,4.185161,2.398978,3.949122,2016-12-31,3.949122,0.000000,0.000000,0.000000,0.000000,0.000000
7,false,102,false,desktop,UNKNOWN_LOCALE,76.302400,1,4.000000,13.242541,3.030612,3.030612,2017-01-01,0.000000,3.030612,0.000000,0.000000,0.000000,0.000000
7,false,102,true,smartphone,UNKNOWN_LOCALE,217.795200,3,7.000000,39.071276,9.091837,3.030613,2017-01-01,0.000000,3.030613,0.000000,0.000000,0.000000,0.000000
7,false,102,true,unknown,UNKNOWN_LOCALE,100.675534,4,5.000000,20.318227,8.129108,8.606223,2017-01-01,8.606223,0.000000,0.000000,0.000000,0.000000,0.000000
7,false,109,false,desktop,UNKNOWN_LOCALE,74.000000,1,2.000000,12.330000,0.000000,0.000000,2017-01-01,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7,false,109,false,smartphone,UNKNOWN_LOCALE,32.000000,1,6.000000,6.330000,5.000000,0.000000,2017-01-01,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7,false,109,false,tablet,UNKNOWN_LOCALE,18.000000,1,3.000000,4.000000,5.000000,0.000000,2017-01-01,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7,false,109,true,desktop,UNKNOWN_LOCALE,79.000000,2,2.000000,14.840000,8.330000,0.000000,2017-01-01,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7,false,109,true,smartphone,UNKNOWN_LOCALE,50.000000,1,6.000000,9.330000,5.000000,0.000000,2017-01-01,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7,false,112,false,desktop,UNKNOWN_LOCALE,455.026646,9,43.000000,75.591473,43.490015,51.160584,2017-01-01,0.000000,43.490015,7.670569,0.000000,0.000000,0.000000
7,false,112,false,smartphone,UNKNOWN_LOCALE,250.407745,7,32.000000,41.730715,33.825568,33.825568,2017-01-01,0.000000,33.825568,0.000000,0.000000,0.000000,0.000000
7,false,112,false,tablet,UNKNOWN_LOCALE,141.330835,3,17.000000,23.562958,14.496671,14.496671,2017-01-01,0.000000,14.496671,0.000000,0.000000,0.000000,0.000000
7,false,112,true,desktop,UNKNOWN_LOCALE,849.368997,19,87.000000,140.861689,91.812256,113.299236,2017-01-01,0.000000,91.812256,21.486980,0.000000,0.000000,0.000000
7,false,112,true,smartphone,UNKNOWN_LOCALE,437.187293,12,48.000000,72.811772,57.986688,59.452776,2017-01-01,0.000000,57.986688,1.466088,0.000000,0.000000,0.000000
7,false,112,true,tablet,UNKNOWN_LOCALE,121.978480,3,15.000000,20.337566,14.496673,14.496673,2017-01-01,0.000000,14.496673,0.000000,0.000000,0.000000,0.000000
7,false,113,true,desktop,UNKNOWN_LOCALE,348.130000,5,16.000000,57.160000,18.750000,44.720000,2017-01-01,0.000000,18.750000,25.970000,0.000000,0.000000,0.000000
7,false,113,true,smartphone,UNKNOWN_LOCALE,366.930000,3,14.000000,61.010000,11.250000,15.970000,2017-01-01,0.000000,11.250000,4.720000,0.000000,0.000000,0.000000
7,false,114,true,smartphone,UNKNOWN_LOCALE,78.000000,1,9.000000,13.540000,0.000000,0.000000,2017-01-01,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7,false,116,false,smartphone,UNKNOWN_LOCALE,68.050000,1,2.000000,12.340000,5.000000,0.000000,2017-01-01,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7,false,116,true,desktop,UNKNOWN_LOCALE,165.150000,3,18.000000,29.040000,8.330000,4.700000,2017-01-01,0.000000,0.000000,4.700000,0.000000,0.000000,0.000000
7,false,116,true,smartphone,UNKNOWN_LOCALE,268.170000,3,17.000000,44.720000,3.330000,19.280000,2017-01-01,0.000000,0.000000,19.280000,0.000000,0.000000,0.000000
7,false,117,false,desktop,UNKNOWN_LOCALE,69.199330,1,1.000000,11.529312,4.832224,4.832224,2017-01-01,0.000000,4.832224,0.000000,0.000000,0.000000,0.000000
7,false,117,false,smartphone,UNKNOWN_LOCALE,143.676575,4,5.000000,23.961733,19.328896,19.328896,2017-01-01,0.000000,19.328896,0.000000,0.000000,0.000000,0.000000
7,false,117,false,tablet,UNKNOWN_LOCALE,32.840360,1,1.000000,5.477303,4.832224,4.832224,2017-01-01,0.000000,4.832224,0.000000,0.000000,0.000000,0.000000
7,false,117,true,desktop,UNKNOWN_LOCALE,280.609148,8,9.000000,46.527753,38.657792,45.988229,2017-01-01,0.000000,38.657792,7.330437,0.000000,0.000000,0.000000
