promotion_activation_id,promotion_id,campaign_id,activation_site_id,utc_activation_day_id,utc_activation_time_id,utc_activation_timestamp,std_activation_day_id,std_activation_time_id,std_activation_timestamp,std_activation_timezone_id,visitor_id,user_agent_id,locale_id,customer_id
40,30540001,2190042,111,7620,1305,2020-11-09 20:04:47.000,7620,1305,2020-11-09 20:04:47.000,461,bdFndcYUOUxOI504a8gnbx46s,402,216,
41,10508,1512664,111,7620,1305,2020-11-09 20:04:47.000,7620,1305,2020-11-09 20:04:47.000,461,bdFndcYUOUxOI504a8gnbx46s,402,216,
42,33770054,9570072,113,7620,1306,2020-11-09 20:05:03.000,7620,1306,2020-11-09 20:05:03.000,461,__ANONYMOUS__,103,216,
43,29610001,1512212,113,7620,1306,2020-11-09 20:05:03.000,7620,1306,2020-11-09 20:05:03.000,461,__ANONYMOUS__,103,216,
44,35080004,11730031,116,7620,1306,2020-11-09 20:05:12.000,7620,1306,2020-11-09 20:05:12.000,461,cdYh877lGwQhPCb6Aaogt1Qy5,195101,216,
45,35090001,11730031,116,7620,1306,2020-11-09 20:05:12.000,7620,1306,2020-11-09 20:05:12.000,461,cdYh877lGwQhPCb6Aaogt1Qy5,195101,216,
46,30870083,2920079,2501,7620,1306,2020-11-09 20:05:20.000,7620,1306,2020-11-09 20:05:20.000,451,abahfjW7I9c8eveBFMZt5xOQU,334801,259,
47,29060068,1514880,113,7620,1306,2020-11-09 20:05:21.000,7620,1306,2020-11-09 20:05:21.000,461,__ANONYMOUS__,103,216,
101,30350001,1511964,114,7620,1301,2020-11-09 20:00:03.000,7620,1301,2020-11-09 20:00:03.000,461,bfdJMua7x4bjpCqa6VtcFWuOi,99701,237,
102,35100124,11730107,114,7620,1301,2020-11-09 20:00:03.000,7620,1301,2020-11-09 20:00:03.000,461,bfdJMua7x4bjpCqa6VtcFWuOi,99701,237,
103,32410001,11730147,303,7620,1301,2020-11-09 20:00:04.000,7620,1301,2020-11-09 20:00:04.000,461,adaCbMpUz0ipXupdnHzw3jBBY,195101,216,
104,35100006,11730006,2601,7620,1301,2020-11-09 20:00:05.000,7620,1301,2020-11-09 20:00:05.000,461,abcXmFfdIUqn2bjDIGmHORmjJ,250401,216,
105,33770039,9570014,1102,7620,1301,2020-11-09 20:00:35.000,7620,1301,2020-11-09 20:00:35.000,461,abA5wMaAP4O4DQCr0SjKrVjhk,195401,216,
106,34290001,10520159,1102,7620,1301,2020-11-09 20:00:35.000,7620,1301,2020-11-09 20:00:35.000,461,abA5wMaAP4O4DQCr0SjKrVjhk,195401,216,
107,34050001,10520223,1102,7620,1301,2020-11-09 20:00:35.000,7620,1301,2020-11-09 20:00:35.000,461,abA5wMaAP4O4DQCr0SjKrVjhk,195401,216,
108,29610001,1512212,113,7620,1301,2020-11-09 20:00:40.000,7620,1301,2020-11-09 20:00:40.000,461,abZJieiYXoYUFHQj2tQuvGNd6,283401,216,
109,25350001,11730147,303,7620,1301,2020-11-09 20:00:51.000,7620,1301,2020-11-09 20:00:51.000,461,adaCbMpUz0ipXupdnHzw3jBBY,195101,216,
110,35080002,11730032,113,7620,1301,2020-11-09 20:00:57.000,7620,1301,2020-11-09 20:00:57.000,461,ab5RwCnjIfuV2M047lQz6yHTl,402,216,
111,29610001,1512212,113,7620,1302,2020-11-09 20:01:04.000,7620,1302,2020-11-09 20:01:04.000,461,abHhIrUOFHBtNHHusHqNlPRoX,283903,216,
112,29610001,1512212,113,7620,1302,2020-11-09 20:01:05.000,7620,1302,2020-11-09 20:01:05.000,461,bclgMJCQwmco62NVnmdH2aayT,287902,216,
113,34340213,10520018,113,7620,1302,2020-11-09 20:01:05.000,7620,1302,2020-11-09 20:01:05.000,461,bclgMJCQwmco62NVnmdH2aayT,287902,216,
114,34340192,10520018,113,7620,1302,2020-11-09 20:01:05.000,7620,1302,2020-11-09 20:01:05.000,461,bclgMJCQwmco62NVnmdH2aayT,287902,216,
115,29610001,1512212,113,7620,1302,2020-11-09 20:01:22.000,7620,1302,2020-11-09 20:01:22.000,461,acacbMUy6vP9L6RhkOiM8Pflt,402,216,
116,29540001,1515318,1801,7620,1302,2020-11-09 20:01:28.000,7620,1302,2020-11-09 20:01:28.000,461,__ANONYMOUS__,103,216,
117,21420001,7730041,1801,7620,1302,2020-11-09 20:01:28.000,7620,1302,2020-11-09 20:01:28.000,461,__ANONYMOUS__,103,216,
118,34340213,10520018,113,7620,1302,2020-11-09 20:01:42.000,7620,1302,2020-11-09 20:01:42.000,461,abhzjOBumWAhGm6e5017cOVzA,103,216,
119,29610001,1512212,113,7620,1302,2020-11-09 20:01:42.000,7620,1302,2020-11-09 20:01:42.000,461,abhzjOBumWAhGm6e5017cOVzA,103,216,
120,34340213,10520018,113,7620,1302,2020-11-09 20:01:55.000,7620,1302,2020-11-09 20:01:55.000,461,ab5RwCnjIfuV2M047lQz6yHTl,402,216,
121,34530001,11730120,114,7620,1302,2020-11-09 20:01:56.000,7620,1302,2020-11-09 20:01:56.000,461,bcq9Xmnnu8a0jtVBEQAWCwtFf,198401,157,
122,10999,1514428,114,7620,1302,2020-11-09 20:01:56.000,7620,1302,2020-11-09 20:01:56.000,461,bcq9Xmnnu8a0jtVBEQAWCwtFf,198401,157,
123,34510001,11730120,114,7620,1302,2020-11-09 20:01:56.000,7620,1302,2020-11-09 20:01:56.000,461,bcq9Xmnnu8a0jtVBEQAWCwtFf,198401,157,
124,35100135,11730054,2601,7620,1303,2020-11-09 20:02:15.000,7620,1303,2020-11-09 20:02:15.000,461,acDjTR4xRaJStiqhKQpyNIpqL,103,216,
125,35100052,11730054,2601,7620,1303,2020-11-09 20:02:15.000,7620,1303,2020-11-09 20:02:15.000,461,acDjTR4xRaJStiqhKQpyNIpqL,103,216,
126,35080002,11730032,113,7620,1303,2020-11-09 20:02:18.000,7620,1303,2020-11-09 20:02:18.000,461,abhzjOBumWAhGm6e5017cOVzA,103,216,
127,30350001,1511964,114,7620,1303,2020-11-09 20:02:21.000,7620,1303,2020-11-09 20:02:21.000,461,bcJbTUaSQxpjq6JzOzkBJ4tWt,117401,237,
128,34380001,11730152,114,7620,1303,2020-11-09 20:02:21.000,7620,1303,2020-11-09 20:02:21.000,461,bcJbTUaSQxpjq6JzOzkBJ4tWt,117401,237,
129,10632,1513485,114,7620,1303,2020-11-09 20:02:21.000,7620,1303,2020-11-09 20:02:21.000,461,bcJbTUaSQxpjq6JzOzkBJ4tWt,117401,237,
130,34340241,10520077,109,7620,1303,2020-11-09 20:02:22.000,7620,1303,2020-11-09 20:02:22.000,461,ac2AyGJJAEnweQnYPSOaSF1xY,339301,217,
131,35080002,11730032,113,7620,1303,2020-11-09 20:02:28.000,7620,1303,2020-11-09 20:02:28.000,461,acacbMUy6vP9L6RhkOiM8Pflt,402,216,
49,35100196,11730054,2601,7620,1306,2020-11-09 20:05:29.000,7620,1306,2020-11-09 20:05:29.000,461,abGBbIey7ziRAZoknClE8T7iE,210401,216,
50,35100135,11730054,2601,7620,1306,2020-11-09 20:05:29.000,7620,1306,2020-11-09 20:05:29.000,461,abGBbIey7ziRAZoknClE8T7iE,210401,216,
203,35100196,11730054,2601,7620,1301,2020-11-09 20:00:11.000,7620,1301,2020-11-09 20:00:11.000,461,abiJ7TqhmB2opat9rzmvpsej9,339301,216,
301,35080004,11730031,116,7620,1306,2020-11-09 20:05:31.000,7620,1306,2020-11-09 20:05:31.000,461,ablsto32t7jCsMDzL2DuWcIcy,163801,216,
302,35090001,11730031,116,7620,1306,2020-11-09 20:05:31.000,7620,1306,2020-11-09 20:05:31.000,461,ablsto32t7jCsMDzL2DuWcIcy,163801,216,
303,35080002,11730032,113,7620,1306,2020-11-09 20:05:43.000,7620,1306,2020-11-09 20:05:43.000,461,__ANONYMOUS__,103,216,
304,29610001,1512212,113,7620,1306,2020-11-09 20:05:45.000,7620,1306,2020-11-09 20:05:45.000,461,aboW3NPvt6pzurOlJRdfUkVp6,195401,216,
305,34340213,10520018,113,7620,1306,2020-11-09 20:05:50.000,7620,1306,2020-11-09 20:05:50.000,461,acatLUYWCQjwSmYDQikYH9L8Z,200201,216,
306,29610001,1512212,113,7620,1306,2020-11-09 20:05:50.000,7620,1306,2020-11-09 20:05:50.000,461,acatLUYWCQjwSmYDQikYH9L8Z,200201,216,
307,35080002,11730032,113,7620,1307,2020-11-09 20:06:09.000,7620,1307,2020-11-09 20:06:09.000,461,acatLUYWCQjwSmYDQikYH9L8Z,200201,216,
308,25140001,1515739,109,7620,1307,2020-11-09 20:06:11.000,7620,1307,2020-11-09 20:06:11.000,461,abFIgFZBvecRO7aiVByS6p3sp,100201,237,
309,34340192,10520018,113,7620,1307,2020-11-09 20:06:13.000,7620,1307,2020-11-09 20:06:13.000,461,abRZUYrPAqDYuKzOR8SXAlx7y,200201,216,
310,34340213,10520018,113,7620,1307,2020-11-09 20:06:44.000,7620,1307,2020-11-09 20:06:44.000,461,abv8il4yNBpm3yrKxpZPsiQyi,335901,216,
311,29610001,1512212,113,7620,1307,2020-11-09 20:06:44.000,7620,1307,2020-11-09 20:06:44.000,461,abv8il4yNBpm3yrKxpZPsiQyi,335901,216,
312,35080002,11730032,113,7620,1307,2020-11-09 20:06:57.000,7620,1307,2020-11-09 20:06:57.000,461,aboW3NPvt6pzurOlJRdfUkVp6,195401,216,
313,29610001,1512212,113,7620,1308,2020-11-09 20:07:13.000,7620,1308,2020-11-09 20:07:13.000,461,cfdrPZKw4QmtlpcrQ8N1abzOK,335901,216,
314,27510001,1512522,1901,7620,1308,2020-11-09 20:07:27.000,7620,1308,2020-11-09 20:07:27.000,451,__ANONYMOUS__,236901,216,
204,29610001,1512212,113,7620,1301,2020-11-09 20:00:13.000,7620,1301,2020-11-09 20:00:13.000,461,abWPuTmuKwpQjeOE9H44jhJCj,283901,216,
205,34340192,10520018,113,7620,1301,2020-11-09 20:00:13.000,7620,1301,2020-11-09 20:00:13.000,461,abWPuTmuKwpQjeOE9H44jhJCj,283901,216,
206,35100063,11730063,1901,7620,1301,2020-11-09 20:00:18.000,7620,1301,2020-11-09 20:00:18.000,451,__ANONYMOUS__,334801,216,
207,34340015,10520018,113,7620,1301,2020-11-09 20:00:21.000,7620,1301,2020-11-09 20:00:21.000,461,abWPuTmuKwpQjeOE9H44jhJCj,283901,216,
208,29610001,1512212,113,7620,1301,2020-11-09 20:00:21.000,7620,1301,2020-11-09 20:00:21.000,461,bcwaXRhf56pXWqA8tEicVKMng,334801,216,
209,32290001,7730025,2601,7620,1301,2020-11-09 20:00:21.000,7620,1301,2020-11-09 20:00:21.000,461,abgNAWCRnJDobf9ooWuZfyzDH,334801,216,
210,27510001,1512522,1901,7620,1301,2020-11-09 20:00:38.000,7620,1301,2020-11-09 20:00:38.000,451,__ANONYMOUS__,195401,216,
211,780001,1514973,120,7620,1301,2020-11-09 20:00:38.000,7620,1301,2020-11-09 20:00:38.000,451,abrRCqsVlM6sEiCQ1DvFbRAUx,507,259,
212,35100107,11730054,2601,7620,1301,2020-11-09 20:00:44.000,7620,1301,2020-11-09 20:00:44.000,461,abPoi1zyudp40V5Xa4GvLwrob,334801,216,
213,33770051,9570069,1901,7620,1301,2020-11-09 20:00:53.000,7620,1301,2020-11-09 20:00:53.000,451,__ANONYMOUS__,195401,216,
214,11764,1515013,109,7620,1301,2020-11-09 20:00:57.000,7620,1301,2020-11-09 20:00:57.000,461,__ANONYMOUS__,402,105,
215,27510001,1512522,1901,7620,1301,2020-11-09 20:00:59.000,7620,1301,2020-11-09 20:00:59.000,451,__ANONYMOUS__,103,216,
216,33770051,9570069,1901,7620,1302,2020-11-09 20:01:28.000,7620,1302,2020-11-09 20:01:28.000,451,__ANONYMOUS__,103,216,
217,29610001,1512212,113,7620,1302,2020-11-09 20:01:29.000,7620,1302,2020-11-09 20:01:29.000,461,abVkQVGP1zeEBJp2VeUciWzra,334801,216,
218,33030001,8330021,303,7620,1302,2020-11-09 20:01:46.000,7620,1302,2020-11-09 20:01:46.000,461,abT0urfvy1s4FmyarSRBPwzOQ,339301,157,
219,22990001,1514316,303,7620,1302,2020-11-09 20:01:46.000,7620,1302,2020-11-09 20:01:46.000,461,abT0urfvy1s4FmyarSRBPwzOQ,339301,157,
220,28790001,1510344,109,7620,1302,2020-11-09 20:01:54.000,7620,1302,2020-11-09 20:01:54.000,461,cdpzPmqmwaUTbqFa0TbyA6Daw,335901,233,
221,10364,1511841,109,7620,1302,2020-11-09 20:01:54.000,7620,1302,2020-11-09 20:01:54.000,461,cdpzPmqmwaUTbqFa0TbyA6Daw,335901,233,
222,29610001,1512212,113,7620,1302,2020-11-09 20:01:58.000,7620,1302,2020-11-09 20:01:58.000,461,adjI6IOrKHWKbVnao9qrZpCIv,335901,216,
223,34340164,10520154,116,7620,1302,2020-11-09 20:01:59.000,7620,1302,2020-11-09 20:01:59.000,461,abGOQP5hg9OXqXPf8SLNV1K4T,334801,216,
224,33280001,8880002,116,7620,1302,2020-11-09 20:01:59.000,7620,1302,2020-11-09 20:01:59.000,461,abGOQP5hg9OXqXPf8SLNV1K4T,334801,216,
225,26250001,1512422,116,7620,1302,2020-11-09 20:01:59.000,7620,1302,2020-11-09 20:01:59.000,461,abGOQP5hg9OXqXPf8SLNV1K4T,334801,216,
226,35080004,11730031,116,7620,1302,2020-11-09 20:01:59.000,7620,1302,2020-11-09 20:01:59.000,461,abGOQP5hg9OXqXPf8SLNV1K4T,334801,216,
227,35080005,11730031,116,7620,1302,2020-11-09 20:01:59.000,7620,1302,2020-11-09 20:01:59.000,461,abGOQP5hg9OXqXPf8SLNV1K4T,334801,216,
228,22670001,1514517,116,7620,1302,2020-11-09 20:01:59.000,7620,1302,2020-11-09 20:01:59.000,461,abGOQP5hg9OXqXPf8SLNV1K4T,334801,216,
229,30550002,2190022,109,7620,1303,2020-11-09 20:02:00.000,7620,1303,2020-11-09 20:02:00.000,461,adGo0hH56YPr0xlt4CALPmUba,334801,216,
230,10534,1512815,302,7620,1303,2020-11-09 20:02:07.000,7620,1303,2020-11-09 20:02:07.000,451,cdzzd5Eb1uZGMaeTKVtMaPN5E,339301,259,
232,33900001,11730118,120,7620,1303,2020-11-09 20:02:08.000,7620,1303,2020-11-09 20:02:08.000,451,abrRCqsVlM6sEiCQ1DvFbRAUx,507,259,
233,34340213,10520018,113,7620,1303,2020-11-09 20:02:13.000,7620,1303,2020-11-09 20:02:13.000,461,abWPuTmuKwpQjeOE9H44jhJCj,283901,216,
234,35080003,11730032,113,7620,1303,2020-11-09 20:02:13.000,7620,1303,2020-11-09 20:02:13.000,461,abWPuTmuKwpQjeOE9H44jhJCj,283901,216,
235,35080002,11730032,113,7620,1303,2020-11-09 20:02:23.000,7620,1303,2020-11-09 20:02:23.000,461,adjI6IOrKHWKbVnao9qrZpCIv,335901,216,
315,29610001,1512212,113,7620,1308,2020-11-09 20:07:45.000,7620,1308,2020-11-09 20:07:45.000,461,achUnv21cFqGJoVxXhh0htmOa,335901,216,
316,35100063,11730063,1901,7620,1308,2020-11-09 20:07:48.000,7620,1308,2020-11-09 20:07:48.000,451,__ANONYMOUS__,236901,216,
317,35080001,11730032,113,7620,1308,2020-11-09 20:07:50.000,7620,1308,2020-11-09 20:07:50.000,461,acatLUYWCQjwSmYDQikYH9L8Z,200201,216,
318,35080003,11730032,113,7620,1308,2020-11-09 20:07:50.000,7620,1308,2020-11-09 20:07:50.000,461,acatLUYWCQjwSmYDQikYH9L8Z,200201,216,
319,30490041,1514745,1202,7620,1308,2020-11-09 20:07:56.000,7620,1308,2020-11-09 20:07:56.000,451,abCnNF73DbZSqguscE5NeW5nU,195401,233,
320,30870083,2920079,2501,7620,1309,2020-11-09 20:08:03.000,7620,1309,2020-11-09 20:08:03.000,451,cdbIvqJFZNDzJujp0wKJYa72u,200201,259,
321,29610001,1512212,113,7620,1309,2020-11-09 20:08:08.000,7620,1309,2020-11-09 20:08:08.000,461,bca65UKu07fd6n8nac7oTiDG9,335901,216,
322,34340213,10520018,113,7620,1309,2020-11-09 20:08:08.000,7620,1309,2020-11-09 20:08:08.000,461,bca65UKu07fd6n8nac7oTiDG9,335901,216,
323,29600076,1510481,113,7620,1309,2020-11-09 20:08:08.000,7620,1309,2020-11-09 20:08:08.000,461,bca65UKu07fd6n8nac7oTiDG9,335901,216,
324,34340192,10520018,113,7620,1309,2020-11-09 20:08:08.000,7620,1309,2020-11-09 20:08:08.000,461,bca65UKu07fd6n8nac7oTiDG9,335901,216,
325,24400001,1512212,113,7620,1309,2020-11-09 20:08:08.000,7620,1309,2020-11-09 20:08:08.000,461,bca65UKu07fd6n8nac7oTiDG9,335901,216,
329,35080001,11730032,113,7620,1309,2020-11-09 20:08:24.000,7620,1309,2020-11-09 20:08:24.000,461,bca65UKu07fd6n8nac7oTiDG9,335901,216,
330,35080002,11730032,113,7620,1309,2020-11-09 20:08:24.000,7620,1309,2020-11-09 20:08:24.000,461,bca65UKu07fd6n8nac7oTiDG9,335901,216,
332,29610001,1512212,113,7620,1309,2020-11-09 20:08:48.000,7620,1309,2020-11-09 20:08:48.000,461,abSwH1DD5XtVcW0Rh8ypupsHZ,98601,216,
333,29610001,1512212,113,7620,1309,2020-11-09 20:08:53.000,7620,1309,2020-11-09 20:08:53.000,461,ablB2fRF5lmQ0KsRVNOHEry3m,334801,216,
334,20870001,10520208,309,7620,1309,2020-11-09 20:08:58.000,7620,1309,2020-11-09 20:08:58.000,463,__ANONYMOUS__,303001,150,
335,24240008,1510720,309,7620,1309,2020-11-09 20:08:58.000,7620,1309,2020-11-09 20:08:58.000,463,__ANONYMOUS__,303001,150,
336,35080001,11730032,113,7620,1310,2020-11-09 20:09:01.000,7620,1310,2020-11-09 20:09:01.000,461,abSwH1DD5XtVcW0Rh8ypupsHZ,98601,216,
337,35080002,11730032,113,7620,1310,2020-11-09 20:09:15.000,7620,1310,2020-11-09 20:09:15.000,461,ablB2fRF5lmQ0KsRVNOHEry3m,334801,216,
338,29610001,1512212,113,7620,1310,2020-11-09 20:09:16.000,7620,1310,2020-11-09 20:09:16.000,461,cebAMh2vcYSyupakqOER9AYbP,334801,216,
339,34340015,10520018,113,7620,1310,2020-11-09 20:09:16.000,7620,1310,2020-11-09 20:09:16.000,461,cebAMh2vcYSyupakqOER9AYbP,334801,216,
132,34340213,10520018,113,7620,1303,2020-11-09 20:02:38.000,7620,1303,2020-11-09 20:02:38.000,461,acvqO11YnQdofMOFWHLa8Ujmz,283401,216,
133,29610001,1512212,113,7620,1303,2020-11-09 20:02:38.000,7620,1303,2020-11-09 20:02:38.000,461,acvqO11YnQdofMOFWHLa8Ujmz,283401,216,
134,30473,1512985,109,7620,1303,2020-11-09 20:02:49.000,7620,1303,2020-11-09 20:02:49.000,461,__ANONYMOUS__,303001,217,
135,34410001,11730174,302,7620,1303,2020-11-09 20:02:52.000,7620,1303,2020-11-09 20:02:52.000,451,efdbUl03XzqcCGa16ILdaacpU,210401,259,
