submit_date,business_channel_id,registered,site_id,first_time_buyer,payment_method_id,device_class_code,locale_code,num_payments,num_orders,std_captured_amount,std_refunded_amount,std_transaction_amount
2016-12-28,7,true,305,true,10098,desktop,UNKNOWN_LOCALE,1,1,0.000000,0.000000,14.577445
2016-12-29,7,false,102,true,10083,desktop,UNKNOWN_LOCALE,1,1,0.000000,0.000000,19.996792
2016-12-29,7,true,305,true,10098,desktop,UNKNOWN_LOCALE,1,1,0.000000,0.000000,23.805705
2016-12-30,7,false,305,false,10098,unknown,UNKNOWN_LOCALE,1,1,0.000000,0.000000,11.777584
2016-12-31,7,false,305,true,10098,unknown,UNKNOWN_LOCALE,1,1,0.000000,0.000000,22.378355
2017-01-01,7,false,102,false,10079,desktop,UNKNOWN_LOCALE,1,1,0.000000,0.000000,76.302400
2017-01-01,7,false,102,true,10079,smartphone,UNKNOWN_LOCALE,3,3,0.000000,0.000000,225.129120
2017-01-01,7,false,102,true,10083,unknown,UNKNOWN_LOCALE,4,4,0.000000,0.000000,108.691045
2017-01-01,7,false,109,false,30002,smartphone,UNKNOWN_LOCALE,1,1,0.000000,0.000000,38.000000
2017-01-01,7,false,109,false,30002,tablet,UNKNOWN_LOCALE,1,1,0.000000,0.000000,24.000000
2017-01-01,7,false,109,false,30004,desktop,UNKNOWN_LOCALE,1,1,0.000000,0.000000,74.000000
2017-01-01,7,false,109,true,30002,desktop,UNKNOWN_LOCALE,1,1,0.000000,0.000000,41.000000
2017-01-01,7,false,109,true,30002,smartphone,UNKNOWN_LOCALE,1,1,0.000000,0.000000,56.000000
2017-01-01,7,false,109,true,30004,desktop,UNKNOWN_LOCALE,1,1,0.000000,0.000000,48.000000
2017-01-01,7,false,112,false,30023,desktop,UNKNOWN_LOCALE,7,7,0.000000,0.000000,311.572916
2017-01-01,7,false,112,false,30023,smartphone,UNKNOWN_LOCALE,3,3,0.000000,0.000000,129.602135
2017-01-01,7,false,112,false,30023,tablet,UNKNOWN_LOCALE,2,2,0.000000,0.000000,110.249780
2017-01-01,7,false,112,false,30026,desktop,UNKNOWN_LOCALE,2,2,0.000000,0.000000,141.917270
2017-01-01,7,false,112,false,30026,smartphone,UNKNOWN_LOCALE,4,4,0.000000,0.000000,120.805610
2017-01-01,7,false,112,false,30026,tablet,UNKNOWN_LOCALE,1,1,0.000000,0.000000,31.081055
2017-01-01,7,false,112,true,30023,desktop,UNKNOWN_LOCALE,9,9,0.000000,0.000000,423.171496
2017-01-01,7,false,112,true,30023,smartphone,UNKNOWN_LOCALE,7,7,0.000000,0.000000,215.808080
2017-01-01,7,false,112,true,30023,tablet,UNKNOWN_LOCALE,2,2,0.000000,0.000000,93.243165
2017-01-01,7,false,112,true,30026,desktop,UNKNOWN_LOCALE,10,10,0.000000,0.000000,421.881339
2017-01-01,7,false,112,true,30026,smartphone,UNKNOWN_LOCALE,5,5,0.000000,0.000000,221.085995
2017-01-01,7,false,112,true,30026,tablet,UNKNOWN_LOCALE,1,1,0.000000,0.000000,28.735315
2017-01-01,7,false,113,true,20005,desktop,UNKNOWN_LOCALE,5,5,0.000000,0.000000,342.940000
2017-01-01,7,false,113,true,20005,smartphone,UNKNOWN_LOCALE,3,3,0.000000,0.000000,365.990000
2017-01-01,7,false,114,true,20068,smartphone,UNKNOWN_LOCALE,1,1,0.000000,0.000000,78.000000
2017-01-01,7,false,116,false,20072,smartphone,UNKNOWN_LOCALE,1,1,0.000000,0.000000,74.050000
2017-01-01,7,false,116,true,20072,desktop,UNKNOWN_LOCALE,3,3,0.000000,0.000000,174.210000
2017-01-01,7,false,116,true,20072,smartphone,UNKNOWN_LOCALE,3,3,0.000000,0.000000,268.310000
2017-01-01,7,false,117,false,20083,smartphone,UNKNOWN_LOCALE,1,1,0.000000,0.000000,27.562445
2017-01-01,7,false,117,false,20086,desktop,UNKNOWN_LOCALE,1,1,0.000000,0.000000,69.199330
2017-01-01,7,false,117,false,20086,smartphone,UNKNOWN_LOCALE,3,3,0.000000,0.000000,116.114130
2017-01-01,7,false,117,false,20086,tablet,UNKNOWN_LOCALE,1,1,0.000000,0.000000,32.840360
2017-01-01,7,false,117,true,20083,desktop,UNKNOWN_LOCALE,4,4,0.000000,0.000000,122.975420
2017-01-01,7,false,117,true,20083,smartphone,UNKNOWN_LOCALE,1,1,0.000000,0.000000,59.816370
2017-01-01,7,false,117,true,20086,desktop,UNKNOWN_LOCALE,4,4,0.000000,0.000000,156.167641
2017-01-01,7,false,117,true,20086,smartphone,UNKNOWN_LOCALE,3,3,0.000000,0.000000,151.300230
2017-01-01,7,false,121,false,20029,tablet,UNKNOWN_LOCALE,1,1,0.000000,0.000000,18.000000
2017-01-01,7,false,121,true,20018,desktop,UNKNOWN_LOCALE,3,3,0.000000,0.000000,126.000000
2017-01-01,7,false,121,true,20018,smartphone,UNKNOWN_LOCALE,3,3,0.000000,0.000000,212.500000
2017-01-01,7,false,121,true,20029,desktop,UNKNOWN_LOCALE,2,2,0.000000,0.000000,104.000000
2017-01-01,7,false,121,true,20029,smartphone,UNKNOWN_LOCALE,1,1,0.000000,0.000000,29.000000
2017-01-01,7,false,302,false,30007,desktop,UNKNOWN_LOCALE,11,11,0.000000,0.000000,361.068030
2017-01-01,7,false,302,false,30007,smartphone,UNKNOWN_LOCALE,12,12,0.000000,0.000000,401.180184
2017-01-01,7,false,302,false,30007,tablet,UNKNOWN_LOCALE,1,1,0.000000,0.000000,59.816370
2017-01-01,7,false,302,false,30010,desktop,UNKNOWN_LOCALE,7,7,0.000000,0.000000,187.776487
2017-01-01,7,false,302,false,30010,smartphone,UNKNOWN_LOCALE,11,11,0.000000,0.000000,449.795645
2017-01-01,7,false,302,true,30007,desktop,UNKNOWN_LOCALE,28,28,0.000000,0.000000,1125.368767
2017-01-01,7,false,302,true,30007,smartphone,UNKNOWN_LOCALE,52,52,0.000000,0.000000,1594.282193
2017-01-01,7,false,302,true,30007,tablet,UNKNOWN_LOCALE,10,10,0.000000,0.000000,361.830395
2017-01-01,7,false,302,true,30010,desktop,UNKNOWN_LOCALE,10,10,0.000000,0.000000,385.639656
2017-01-01,7,false,302,true,30010,smartphone,UNKNOWN_LOCALE,32,32,0.000000,0.000000,1165.070415
2017-01-01,7,false,302,true,30010,tablet,UNKNOWN_LOCALE,7,7,0.000000,0.000000,285.007410
2017-01-01,7,false,303,false,30012,desktop,UNKNOWN_LOCALE,3,3,0.000000,0.000000,296.500000
2017-01-01,7,false,303,false,30012,tablet,UNKNOWN_LOCALE,1,1,0.000000,0.000000,62.500000
2017-01-01,7,false,303,true,30012,desktop,UNKNOWN_LOCALE,2,2,0.000000,0.000000,124.200000
2017-01-01,7,false,303,true,30012,smartphone,UNKNOWN_LOCALE,2,2,0.000000,0.000000,45.000000
2017-01-01,7,false,303,true,30012,tablet,UNKNOWN_LOCALE,2,2,0.000000,0.000000,99.700000
2017-01-01,7,false,304,false,10009,desktop,UNKNOWN_LOCALE,1,1,0.000000,0.000000,27.445158
2017-01-01,7,false,304,true,10009,desktop,UNKNOWN_LOCALE,1,1,0.000000,0.000000,29.321750
2017-01-01,7,false,304,true,10009,smartphone,UNKNOWN_LOCALE,4,4,0.000000,0.000000,146.608750
2017-01-01,7,false,304,true,10009,tablet,UNKNOWN_LOCALE,1,1,0.000000,0.000000,29.321750
2017-01-01,7,false,305,false,10098,unknown,UNKNOWN_LOCALE,5,5,0.000000,0.000000,172.959581
2017-01-01,7,false,305,false,10099,desktop,UNKNOWN_LOCALE,9,9,0.000000,0.000000,238.971303
2017-01-01,7,false,305,false,10099,smartphone,UNKNOWN_LOCALE,3,3,0.000000,0.000000,166.850384
2017-01-01,7,false,305,false,10099,tablet,UNKNOWN_LOCALE,1,1,0.000000,0.000000,25.976152
2017-01-01,7,false,305,true,10098,unknown,UNKNOWN_LOCALE,15,15,0.000000,0.000000,269.493514
2017-01-01,7,false,305,true,10099,desktop,UNKNOWN_LOCALE,9,9,0.000000,0.000000,111.053761
2017-01-01,7,false,305,true,10099,smartphone,UNKNOWN_LOCALE,11,11,0.000000,0.000000,236.715273
2017-01-01,7,false,305,true,10099,tablet,UNKNOWN_LOCALE,2,2,0.000000,0.000000,41.940844
2017-01-01,7,false,306,false,20011,desktop,UNKNOWN_LOCALE,2,2,0.000000,0.000000,156.578145
2017-01-01,7,false,306,true,20011,desktop,UNKNOWN_LOCALE,2,2,0.000000,0.000000,176.282361
2017-01-01,7,false,306,true,20011,smartphone,UNKNOWN_LOCALE,3,3,0.000000,0.000000,330.632053
2017-01-01,7,false,306,true,20011,tablet,UNKNOWN_LOCALE,1,1,0.000000,0.000000,24.630270
2017-01-01,7,false,309,false,10063,unknown,UNKNOWN_LOCALE,2,2,0.000000,0.000000,102.011453
2017-01-01,7,false,309,false,10064,smartphone,UNKNOWN_LOCALE,2,2,0.000000,0.000000,130.343760
2017-01-01,7,false,309,true,10063,unknown,UNKNOWN_LOCALE,3,3,0.000000,0.000000,106.782590
2017-01-01,7,false,309,true,10064,desktop,UNKNOWN_LOCALE,1,1,0.000000,0.000000,83.340000
2017-01-01,7,false,309,true,10064,smartphone,UNKNOWN_LOCALE,4,4,0.000000,0.000000,191.158342
2017-01-01,7,false,309,true,10064,tablet,UNKNOWN_LOCALE,1,1,0.000000,0.000000,87.414400
2017-01-01,7,true,102,true,10079,tablet,UNKNOWN_LOCALE,1,1,0.000000,0.000000,91.118400
2017-01-01,7,true,102,true,10083,unknown,UNKNOWN_LOCALE,2,2,0.000000,0.000000,80.927571
2017-01-01,7,true,103,false,10069,desktop,UNKNOWN_LOCALE,1,1,0.000000,0.000000,65.597840
2017-01-01,7,true,103,true,10069,desktop,UNKNOWN_LOCALE,1,1,0.000000,0.000000,26.928080
2017-01-01,7,true,109,false,30002,desktop,UNKNOWN_LOCALE,10,10,0.000000,0.000000,832.000000
2017-01-01,7,true,109,false,30002,smartphone,UNKNOWN_LOCALE,2,2,0.000000,0.000000,237.000000
2017-01-01,7,true,109,false,30002,tablet,UNKNOWN_LOCALE,1,1,0.000000,0.000000,88.000000
2017-01-01,7,true,109,false,30004,desktop,UNKNOWN_LOCALE,2,2,0.000000,0.000000,166.000000
2017-01-01,7,true,109,false,30004,smartphone,UNKNOWN_LOCALE,1,1,0.000000,0.000000,52.500000
