visit_date,site_id,registered,ua_class,ua_family,ua_engine,ua_os,ua_os_family,device_class_code,device_market_name,device_brand,num_visits,locale_code
2019-06-26,303,false,Crawler,MJ12bot,unknown,unknown,unknown,Unrecognized,unknown,unknown,106,UNKNOWN_LOCALE
2019-06-26,111,false,Mobile browser,Chrome Mobile,WebKit/Blink,Android 9.0 Pie,Android,Smartphone,Galaxy S9,Samsung,106,UNKNOWN_LOCALE
2019-06-26,303,false,Browser,Chrome,WebKit/Blink,Windows 10,Windows,Desktop,unknown,unknown,106,UNKNOWN_LOCALE
2019-06-26,106,false,Crawler,FacebookBot,unknown,unknown,unknown,Unrecognized,unknown,unknown,106,UNKNOWN_LOCALE
2019-06-26,109,false,Crawler,Fake bot,unknown,unknown,unknown,Unrecognized,unknown,unknown,106,UNKNOWN_LOCALE
2019-06-26,114,false,Crawler,SEMrushBot,unknown,unknown,unknown,Unrecognized,unknown,unknown,106,UNKNOWN_LOCALE
2019-06-26,301,false,Crawler,Google-Ads,unknown,unknown,unknown,Unrecognized,unknown,unknown,106,UNKNOWN_LOCALE
2019-06-26,308,false,Browser,Chrome,WebKit/Blink,Windows 10,Windows,Desktop,unknown,unknown,105,UNKNOWN_LOCALE
2019-06-26,303,false,Crawler,Applebot,unknown,OS X 10.10 Yosemite,OS X,Unrecognized,Mac,Apple,105,UNKNOWN_LOCALE
2019-06-26,117,false,Mobile browser,Facebook App,WebKit,Android 9.0 Pie,Android,Smartphone,Galaxy S9,Samsung,104,UNKNOWN_LOCALE
2019-06-26,903,false,Browser,Chrome,WebKit/Blink,Windows 10,Windows,Desktop,unknown,unknown,104,UNKNOWN_LOCALE
2019-06-26,114,false,Mobile browser,Safari mobile,WebKit,iOS 12,iOS,Tablet,iPad,Apple,104,UNKNOWN_LOCALE
2019-06-26,112,false,Browser,Firefox,Gecko,macOS 10.12 Sierra,macOS,Desktop,Mac,Apple,104,UNKNOWN_LOCALE
2019-06-26,1201,false,Crawler,Googlebot,unknown,Android 6.0 Marshmallow,Android,Smartphone,Nexus 5X,LG,103,UNKNOWN_LOCALE
2019-06-26,1302,false,Browser,Firefox,Gecko,Windows 7,Windows,Desktop,unknown,unknown,103,UNKNOWN_LOCALE
2019-06-26,112,false,Browser,Chrome,WebKit/Blink,Windows 10,Windows,Desktop,unknown,unknown,103,UNKNOWN_LOCALE
2019-06-26,304,false,Crawler,CCBot,unknown,unknown,unknown,Unrecognized,unknown,unknown,103,UNKNOWN_LOCALE
2019-06-26,303,false,Browser,Chrome,WebKit/Blink,Windows 7,Windows,Desktop,unknown,unknown,102,UNKNOWN_LOCALE
2019-06-26,303,false,Mobile browser,Snapchat App,unknown,iOS 12,iOS,Smartphone,iPhone 6s,Apple,102,UNKNOWN_LOCALE
2019-06-26,304,false,Crawler,Googlebot,unknown,Android 4.2 Jelly Bean,Android,Smartphone,Nexus 5,LG,102,UNKNOWN_LOCALE
2019-06-26,111,false,Mobile browser,Safari mobile,WebKit,iOS 9,iOS,Tablet,iPad,Apple,101,UNKNOWN_LOCALE
2019-06-26,308,false,Crawler,Googlebot,unknown,Android 4.2 Jelly Bean,Android,Smartphone,Nexus 5,LG,101,UNKNOWN_LOCALE
2019-06-26,109,false,Mobile browser,Safari mobile,WebKit,iOS 11,iOS,Smartphone,iPhone,Apple,101,UNKNOWN_LOCALE
2019-06-26,902,false,Crawler,snapchat-proxy,unknown,unknown,unknown,Unrecognized,unknown,unknown,101,UNKNOWN_LOCALE
2019-06-26,302,false,Crawler,bingbot,unknown,unknown,unknown,Unrecognized,unknown,unknown,101,UNKNOWN_LOCALE
2019-06-26,111,false,Mobile browser,Chrome Mobile,WebKit/Blink,Android 7.0 Nougat,Android,Smartphone,unknown,unknown,100,UNKNOWN_LOCALE
2019-06-26,116,false,Browser,IE,Trident,Windows XP,Windows,Desktop,unknown,unknown,100,UNKNOWN_LOCALE
2019-06-26,120,false,Mobile browser,Safari mobile,WebKit,iOS 12,iOS,Smartphone,iPhone,Apple,100,UNKNOWN_LOCALE
2019-06-26,122,false,Crawler,FacebookBot,unknown,unknown,unknown,Unrecognized,unknown,unknown,100,UNKNOWN_LOCALE
2019-06-26,112,false,Browser,Firefox,Gecko,Windows 7,Windows,Desktop,unknown,unknown,100,UNKNOWN_LOCALE
2019-06-26,903,false,Browser,Firefox,Gecko,Windows 10,Windows,Desktop,unknown,unknown,99,UNKNOWN_LOCALE
2019-06-26,113,false,Mobile browser,Safari mobile,WebKit,iOS 12,iOS,Smartphone,iPhone,Apple,99,UNKNOWN_LOCALE
2019-06-26,1004,false,Unrecognized,Catchpoint Analyser/Synthetic Monitoring,unknown,unknown,unknown,Unrecognized,unknown,unknown,98,UNKNOWN_LOCALE
2019-06-26,903,false,Browser,Firefox,Gecko,macOS 10.12 Sierra,macOS,Desktop,Mac,Apple,98,UNKNOWN_LOCALE
2019-06-26,1303,false,Unrecognized,Catchpoint Analyser/Synthetic Monitoring,unknown,unknown,unknown,Unrecognized,unknown,unknown,98,UNKNOWN_LOCALE
2019-06-26,902,false,Mobile browser,Mobile Samsung Browser,WebKit/Blink,Android 8.1 Oreo,Android,Smartphone,Galaxy J7 (2016),Samsung,98,UNKNOWN_LOCALE
2019-06-26,113,false,Browser,Chrome,WebKit/Blink,Windows 8.1,Windows,Desktop,unknown,unknown,98,UNKNOWN_LOCALE
2019-06-26,111,false,Crawler,Google-Ads,unknown,unknown,unknown,Unrecognized,unknown,unknown,98,UNKNOWN_LOCALE
