request_date,site_id,api_resource,client_id,api_version,api_name,status_code,method,num_requests,response_time,num_requests_bucket1,num_requests_bucket2,num_requests_bucket3,num_requests_bucket4,num_requests_bucket5,num_requests_bucket6,num_requests_bucket7,num_requests_bucket8,num_requests_bucket9,num_requests_bucket10,num_requests_bucket11
2019-11-15 00:00:00.000,2101,/inventory_lists/{inventory_list_id}/product_inventory_records,565d7ef8-7afc-4139-9329-7930fe6a4076,v19_8,data,200,GET,1,27,1,0,0,0,0,0,0,0,0,0,0
2019-11-21 00:00:00.000,2101,/sites/{site_id}/campaigns/{campaign_id}/coupons/({coupon_ids}),6c957560-464f-4a98-ad0f-5e9662527e27,v99_9,data,204,OPTIONS,13,1921,13,0,0,0,0,0,0,0,0,0,0
2019-12-05 00:00:00.000,2101,/sites/{site_id}/campaigns/{campaign_id},6c957560-464f-4a98-ad0f-5e9662527e27,v99_9,data,204,OPTIONS,1,353,1,0,0,0,0,0,0,0,0,0,0
2019-11-21 00:00:00.000,2101,__UNKNOWN__,6c957560-464f-4a98-ad0f-5e9662527e27,v99_9,data,204,OPTIONS,86,12182,86,0,0,0,0,0,0,0,0,0,0
2019-11-21 00:00:00.000,2101,__UNKNOWN__,6c957560-464f-4a98-ad0f-5e9662527e27,v99_9,data,400,POST,2,93,2,0,0,0,0,0,0,0,0,0,0
2019-11-15 00:00:00.000,2101,/sites/{site_id}/promotions/({ids}),6c957560-464f-4a98-ad0f-5e9662527e27,v99_9,data,204,OPTIONS,6,1398,6,0,0,0,0,0,0,0,0,0,0
2019-12-15 00:00:00.000,1901,/products/({ids})/availability,73227ec8-a091-4882-a49e-32622ac4f1fe,v19_5,shop,200,GET,89099,2374291,89032,35,14,9,7,1,0,1,0,0,0
2019-11-15 00:00:00.000,2101,/sites/{site_id}/coupons/{coupon_id},6c957560-464f-4a98-ad0f-5e9662527e27,v99_9,data,204,OPTIONS,4,1170,4,0,0,0,0,0,0,0,0,0,0
2019-11-25 00:00:00.000,2101,/sites/{site_id}/custom_objects/{object_type}/{key},690d0478-aa14-4217-827a-885d87393c89,v19_8,data,200,PUT,3,1067,3,0,0,0,0,0,0,0,0,0,0
2019-12-03 00:00:00.000,2101,/sites/{site_id}/custom_objects/{object_type}/{key},690d0478-aa14-4217-827a-885d87393c89,v19_8,data,404,GET,2,708,1,1,0,0,0,0,0,0,0,0,0
2019-11-23 00:00:00.000,1901,/customers/auth,73227ec8-a091-4882-a49e-32622ac4f1fe,v19_5,shop,200,POST,180,6299,180,0,0,0,0,0,0,0,0,0,0
2019-11-19 00:00:00.000,1901,/baskets/{basket_id},1272429c-127a-445b-9c54-7fe960741a62,v19_5,shop,200,GET,1767,61089,1759,3,0,1,2,0,0,0,2,0,0
2019-11-23 00:00:00.000,1901,/order_search,de8fc33e-180f-4e17-972e-dd350e1a4047,v18_8,shop,200,POST,163,910280,6,7,12,18,9,8,5,5,5,0,88
2019-12-07 00:00:00.000,1901,/baskets,73227ec8-a091-4882-a49e-32622ac4f1fe,v19_5,shop,200,POST,202,21506,200,1,1,0,0,0,0,0,0,0,0
2019-11-21 00:00:00.000,2101,__UNKNOWN__,6c957560-464f-4a98-ad0f-5e9662527e27,v99_9,data,200,PATCH,6,7754,5,0,0,0,0,0,0,0,0,0,1
2019-11-21 00:00:00.000,2101,/sites/{site_id}/campaign_search,6c957560-464f-4a98-ad0f-5e9662527e27,v99_9,data,200,POST,12,1141,12,0,0,0,0,0,0,0,0,0,0
2019-11-29 00:00:00.000,2101,/sites/{site_id}/campaign_search,6c957560-464f-4a98-ad0f-5e9662527e27,v99_9,data,200,POST,26,8558,23,1,0,1,1,0,0,0,0,0,0
2019-11-29 00:00:00.000,1901,/baskets,28d0be6e-ecb3-4f73-91a4-ad0bb4dd4458,v19_5,shop,200,POST,487,51382,481,3,2,1,0,0,0,0,0,0,0
2019-11-19 00:00:00.000,2101,/sites/{site_id}/coupon_search,de8fc33e-180f-4e17-972e-dd350e1a4047,v18_8,data,200,POST,58,5181,58,0,0,0,0,0,0,0,0,0,0
2019-11-15 00:00:00.000,2101,/sites/{site_id}/custom_objects/{object_type}/{key},690d0478-aa14-4217-827a-885d87393c89,v19_8,data,200,PUT,3,2022,1,2,0,0,0,0,0,0,0,0,0
2019-11-15 00:00:00.000,2101,/sites/{site_id}/coupons/{coupon_id}/multiple_codes,6c957560-464f-4a98-ad0f-5e9662527e27,v99_9,data,204,OPTIONS,4,849,4,0,0,0,0,0,0,0,0,0,0
2019-12-11 00:00:00.000,1901,/baskets/{basket_id},1272429c-127a-445b-9c54-7fe960741a62,v19_5,shop,200,GET,1952,56220,1949,1,1,0,1,0,0,0,0,0,0
2019-11-19 00:00:00.000,2101,/sites/{site_id}/promotion_search,6c957560-464f-4a98-ad0f-5e9662527e27,v99_9,data,200,POST,3,1583,2,1,0,0,0,0,0,0,0,0,0
2019-11-15 00:00:00.000,2101,/site_search,6c957560-464f-4a98-ad0f-5e9662527e27,v99_9,data,200,POST,8,496,8,0,0,0,0,0,0,0,0,0,0
2019-11-15 00:00:00.000,1901,/baskets/{basket_id},28d0be6e-ecb3-4f73-91a4-ad0bb4dd4458,v19_5,shop,200,GET,1076,32705,1075,0,0,0,0,0,1,0,0,0,0
2019-11-25 00:00:00.000,1901,/products/({ids}),28d0be6e-ecb3-4f73-91a4-ad0bb4dd4458,v19_5,shop,200,GET,6973,208623,6960,5,3,3,2,0,0,0,0,0,0
2019-11-25 00:00:00.000,1901,/products/({ids})/availability,a98a2e17-c8e8-4b66-8423-1b56e5cfaa35,v19_5,shop,404,GET,8,167,8,0,0,0,0,0,0,0,0,0,0
2019-11-21 00:00:00.000,1901,/baskets/{basket_id}/items,73227ec8-a091-4882-a49e-32622ac4f1fe,v19_5,shop,200,POST,353,34641,353,0,0,0,0,0,0,0,0,0,0
2019-11-19 00:00:00.000,1901,/baskets/{basket_id}/items/{item_id},28d0be6e-ecb3-4f73-91a4-ad0bb4dd4458,v19_5,shop,400,PATCH,1,19,1,0,0,0,0,0,0,0,0,0,0
2019-11-25 00:00:00.000,1901,/customers/auth,1272429c-127a-445b-9c54-7fe960741a62,v19_5,shop,200,POST,208,5063,208,0,0,0,0,0,0,0,0,0,0
2019-11-25 00:00:00.000,2101,/sites/{site_id}/promotions/({ids}),6c957560-464f-4a98-ad0f-5e9662527e27,v99_9,data,204,OPTIONS,4,434,4,0,0,0,0,0,0,0,0,0,0
2019-11-23 00:00:00.000,2101,/sites/{site_id}/coupons/{coupon_id},6c957560-464f-4a98-ad0f-5e9662527e27,v99_9,data,204,OPTIONS,1,358,1,0,0,0,0,0,0,0,0,0,0
2019-11-15 00:00:00.000,1901,/customers/auth,73227ec8-a091-4882-a49e-32622ac4f1fe,v19_5,shop,200,POST,118,3298,118,0,0,0,0,0,0,0,0,0,0
2019-11-15 00:00:00.000,2101,/sites/{site_id}/customer_groups/{id},6c957560-464f-4a98-ad0f-5e9662527e27,v99_9,data,200,GET,15,561,15,0,0,0,0,0,0,0,0,0,0
2019-11-27 00:00:00.000,2101,/system_object_definitions/{object_type}/attribute_groups/{id},6c957560-464f-4a98-ad0f-5e9662527e27,v99_9,data,200,GET,32,1214,32,0,0,0,0,0,0,0,0,0,0
2019-11-21 00:00:00.000,1901,/baskets/{basket_id}/items,28d0be6e-ecb3-4f73-91a4-ad0bb4dd4458,v19_5,shop,200,POST,321,29460,321,0,0,0,0,0,0,0,0,0,0
