search_date,site_id,registered,device_class_code,locale_code,num_searches_with_results,num_searches_without_results,num_results
2020-04-26,115,false,smartphone,nl_BE,7,0,58
2020-04-26,801,true,desktop,ar_AE,3,0,19
2020-04-26,115,true,desktop,nl_BE,8,0,70
2020-04-26,1801,false,desktop,de_DE,7,0,63
2020-04-26,304,true,desktop,en_GB,33,0,240
2020-04-26,122,false,smartphone,en_US,88,0,901
2020-07-26,601,false,desktop,en_ZA,0,3,0
2020-04-26,114,true,smartphone,es_ES,384,0,3860
2020-04-26,2001,true,desktop,en_GB,41,0,321
2020-04-26,117,true,tablet,en_GB,28,0,251
2020-04-26,307,true,smartphone,default,5,0,26
2020-04-26,109,false,tablet,de_DE,6,0,134
2020-04-26,1201,true,smartphone,fr_FR,40,0,286
2020-04-26,303,true,smartphone,it_IT,85,0,685
2020-04-26,2001,false,smartphone,en_GB,130,0,1217
2020-04-26,103,true,smartphone,pl_PL,548,0,5995
2020-04-26,115,false,desktop,el_GR,16,0,109
2020-04-26,115,true,smartphone,fr_BE,13,0,111
2020-04-26,109,true,smartphone,fr_CH,4,0,121
2020-04-26,109,false,desktop,en_SE,1,0,5
2020-04-26,115,false,smartphone,en_DK,9,0,66
2020-04-26,308,true,smartphone,fr_FR,1592,0,14640
2020-04-26,902,true,smartphone,fr_FR,4892,0,52266
2020-04-26,120,true,smartphone,en_GB,83,0,832
2020-04-26,302,true,tablet,en_GB,1,0,46
2020-04-26,109,true,smartphone,de_AT,12,0,132
2020-04-26,1103,false,tablet,de_DE,2,0,10
2020-04-26,1701,false,tablet,es_ES,2,0,4
2020-04-26,1801,true,tablet,fr_FR,2,0,10
2020-04-26,1101,true,tablet,it_IT,3,0,54
2020-04-26,106,false,desktop,de_DE,2,0,41
2020-04-26,122,true,desktop,en_US,5,0,52
2020-04-26,309,false,desktop,ro_RO,5,0,42
2020-04-26,115,true,tablet,de_DE,4,0,29
2020-04-26,309,false,desktop,pl_PL,1,0,16
2020-04-26,109,true,smartphone,fr_BE,3,0,24
2020-04-26,115,true,smartphone,fr_CH,15,0,116
2020-04-26,114,true,desktop,de_DE,62,0,606
2020-04-26,309,false,smartphone,ro_RO,22,0,154
2020-04-26,109,false,desktop,nl_BE,17,0,214
2020-04-26,901,true,desktop,it_IT,154,0,1337
2020-04-26,904,true,tablet,es_ES,128,0,1434
2020-04-26,121,true,smartphone,fr_FR,111,0,2344
2020-04-26,309,false,desktop,cs_CZ,18,0,240
2020-07-26,109,true,desktop,en_NO,0,1,0
2020-04-26,109,true,smartphone,de_CH,49,0,805
2020-04-26,901,false,smartphone,it_IT,737,0,7339
2020-04-26,1202,false,desktop,de_DE,3,0,21
2020-04-26,1801,true,smartphone,es_ES,35,0,275
2020-04-26,106,true,smartphone,es_ES,110,0,2942
2020-04-26,303,true,desktop,es_ES,79,0,550
2020-04-26,109,true,smartphone,it_IT,167,0,2255
2020-04-26,106,false,smartphone,nl_NL,20,0,400
2020-04-26,115,false,smartphone,el_GR,44,0,466
2020-04-26,106,true,smartphone,nl_BE,6,0,107
2020-07-26,307,false,tablet,default,0,1,0
2020-04-26,1201,true,desktop,fr_FR,6,0,27
2020-04-26,306,true,tablet,en_GB,1,0,3
2020-04-26,116,true,tablet,fr_FR,2,0,14
2020-04-26,1801,true,tablet,de_DE,7,0,79
2020-04-26,303,false,smartphone,es_ES,76,0,498
2020-04-26,106,true,tablet,it_IT,1,0,46
2020-04-26,801,true,smartphone,en_AE,115,0,1885
2020-04-26,106,true,tablet,de_DE,2,0,31
2020-04-26,118,true,desktop,he_IL,2,0,5
2020-04-26,109,true,smartphone,de_DE,126,0,1769
2020-07-26,1701,false,tablet,es_ES,0,4,0
2020-04-26,115,true,unrecognized,el_GR,1,0,6
2020-04-26,114,false,smartphone,de_DE,25,0,238
2020-04-26,903,true,smartphone,en_GB,2979,0,31073
2020-04-26,106,false,desktop,fr_BE,5,0,102
2020-04-26,106,true,smartphone,fr_BE,2,0,8
2020-04-26,1801,true,desktop,de_DE,3,0,18
2020-04-26,115,false,desktop,nl_BE,5,0,43
2020-04-26,1501,true,tablet,en_AE,1,0,7
2020-04-26,109,true,desktop,fr_CH,6,0,98
2020-04-26,109,false,tablet,it_IT,2,0,24
2020-04-26,115,true,smartphone,de_CH,19,0,139
2020-04-26,116,true,smartphone,fr_FR,208,0,1709
2020-04-26,307,true,desktop,default,6,0,35
2020-04-26,103,false,smartphone,pl_PL,150,0,1337
2020-04-26,109,true,tablet,fr_FR,6,0,99
2020-04-26,904,true,smartphone,es_ES,4141,0,47428
