activation_date,site_id,device_class_code,registered,promotion_id,campaign_id,locale_code,num_visits,num_activations
2020-12-22,102,desktop,false,38020001,17220001,cs_CZ,1,1
2020-12-22,102,smartphone,false,11850,1515202,cs_CZ,2,2
2020-12-22,102,smartphone,false,10560001,1512638,cs_CZ,3,3
2020-12-22,102,smartphone,false,16220001,1513736,cs_CZ,1,1
2020-12-22,102,smartphone,false,26620001,1514449,cs_CZ,5,5
2020-12-22,102,smartphone,false,28040003,1510920,cs_CZ,1,1
2020-12-22,102,smartphone,false,37330007,15960012,cs_CZ,1,1
2020-12-22,102,smartphone,false,37330008,15960013,cs_CZ,1,1
2020-12-22,102,smartphone,false,38020001,17220001,cs_CZ,1,1
2020-12-22,102,unrecognized,false,26620001,1514449,cs_CZ,24,24
2020-12-22,103,desktop,false,25580071,1511951,pl_PL,1,1
2020-12-22,103,desktop,false,37700001,16640007,pl_PL,13,13
2020-12-22,103,desktop,false,40030001,21240001,pl_PL,8,8
2020-12-22,103,smartphone,false,30461,1512547,pl_PL,78,78
2020-12-22,103,smartphone,false,25580066,1511951,pl_PL,1,1
2020-12-22,103,smartphone,false,37700001,16640007,pl_PL,54,54
2020-12-22,103,smartphone,false,40030001,21240001,pl_PL,23,23
2020-12-22,103,tablet,false,30461,1512547,pl_PL,3,3
2020-12-22,103,tablet,false,40030001,21240001,pl_PL,2,2
2020-12-22,106,desktop,false,12051,1515614,de_DE,2,2
2020-12-22,106,desktop,false,2170014,1511901,it_IT,60,60
2020-12-22,106,desktop,false,3780001,1514736,it_IT,1,1
2020-12-22,106,desktop,false,4080015,1511999,es_ES,1,1
2020-12-22,106,desktop,false,4080032,1514231,es_ES,1,1
2020-12-22,106,desktop,false,4570026,1510295,es_ES,9,9
2020-12-22,106,desktop,false,5390027,1510691,de_DE,1,1
2020-12-22,106,desktop,false,11790024,1512850,es_ES,2,2
2020-12-22,106,desktop,false,19090005,1510315,de_DE,2,2
2020-12-22,106,desktop,false,22580001,1515113,es_ES,27,27
2020-12-22,106,desktop,false,25580017,1511094,de_DE,3,3
2020-12-22,106,desktop,false,26570014,1510191,de_DE,1,1
2020-12-22,106,desktop,false,26570036,1510191,de_DE,1,1
2020-12-22,106,desktop,false,27690001,1514090,de_DE,2,2
2020-12-22,106,desktop,false,28070001,1514857,de_DE,4,4
2020-12-22,106,desktop,false,28080001,1511777,de_DE,2,2
2020-12-22,106,desktop,false,28170001,1511807,de_DE,4,4
2020-12-22,106,desktop,false,28180001,1511605,de_DE,4,4
2020-12-22,106,desktop,false,28190001,1514112,de_DE,2,2
2020-12-22,106,desktop,false,28270001,1511806,de_DE,3,3
2020-12-22,106,desktop,false,28460006,1510244,de_DE,3,3
2020-12-22,106,desktop,false,28460031,1511806,de_DE,3,3
2020-12-22,106,desktop,false,31760001,1510295,es_ES,7,7
2020-12-22,106,desktop,false,36050001,13720001,de_DE,1,1
2020-12-22,106,desktop,false,37840001,16780002,es_ES,41,41
2020-12-22,106,desktop,false,37870001,16820002,es_ES,6,6
2020-12-22,106,desktop,false,38960001,18760001,it_IT,1,1
2020-12-22,106,desktop,false,39170157,19030126,de_DE,10,10
2020-12-22,106,desktop,false,39900001,16780002,es_ES,9,9
2020-12-22,106,desktop,false,40200001,21750001,es_ES,69,69
2020-12-22,106,smartphone,false,10630,1513483,es_ES,1,1
2020-12-22,106,smartphone,false,10766,1513917,de_DE,183,183
2020-12-22,106,smartphone,false,12051,1515614,de_DE,1,1
2020-12-22,106,smartphone,false,2170014,1511901,it_IT,53,53
2020-12-22,106,smartphone,false,3780001,1514736,it_IT,10,10
2020-12-22,106,smartphone,false,4080032,1514231,es_ES,1,1
2020-12-22,106,smartphone,false,4570019,1512531,es_ES,5,7
2020-12-22,106,smartphone,false,5390027,1510691,de_DE,8,8
2020-12-22,106,smartphone,false,11790024,1512850,es_ES,1,1
2020-12-22,106,smartphone,false,19090005,1510315,de_DE,15,15
2020-12-22,106,smartphone,false,19920047,1514186,es_ES,7,10
2020-12-22,106,smartphone,false,24960001,1510295,es_ES,2,2
2020-12-22,106,smartphone,false,26570014,1510191,de_DE,6,6
2020-12-22,106,smartphone,false,27690001,1514090,de_DE,2,2
2020-12-22,106,smartphone,false,27690002,1514090,de_DE,1,1
2020-12-22,106,smartphone,false,28070001,1514857,de_DE,12,12
2020-12-22,106,smartphone,false,28170001,1511807,de_DE,12,12
2020-12-22,106,smartphone,false,28190001,1514112,de_DE,9,9
2020-12-22,106,smartphone,false,28270001,1511806,de_DE,6,6
2020-12-22,106,smartphone,false,28460006,1510244,de_DE,2,2
2020-12-22,106,smartphone,false,28460022,1511665,de_DE,8,8
2020-12-23,106,desktop,false,28080001,1511777,de_DE,3,3
2020-12-22,106,smartphone,false,35050001,11730037,es_ES,224,226
2020-12-22,106,smartphone,false,36050001,13720001,de_DE,3,3
2020-12-22,106,smartphone,false,37870001,16820002,es_ES,27,27
2020-12-23,106,desktop,false,30220001,1512078,de_DE,87,87
2020-12-23,102,smartphone,false,26620001,1514449,cs_CZ,3,3
2020-12-22,106,tablet,false,10766,1513917,de_DE,3,3
2020-12-22,106,tablet,false,15930001,1510957,de_DE,2,2
2020-12-22,106,tablet,false,22580001,1515113,es_ES,7,7
2020-12-22,106,tablet,false,28070001,1514857,de_DE,1,1
2020-12-22,106,tablet,false,28170001,1511807,de_DE,1,1
2020-12-22,106,tablet,false,28180001,1511605,de_DE,2,2
2020-12-22,106,tablet,false,30220001,1512078,de_DE,5,5
2020-12-22,106,tablet,false,31760001,1513941,es_ES,4,4
2020-12-22,106,tablet,false,35050001,11730037,es_ES,9,9
2020-12-22,106,tablet,false,37840001,16780002,es_ES,5,5
2020-12-22,106,tablet,false,39900001,16780002,es_ES,2,2
2020-12-22,106,tablet,false,40200001,21750001,es_ES,12,12
2020-12-22,106,unrecognized,false,10766,1513917,de_DE,23,23
2020-12-22,106,unrecognized,false,2170014,1511901,it_IT,24,24
2020-12-22,106,unrecognized,false,30220001,1512078,de_DE,23,23
2020-12-22,109,desktop,false,11283,1513397,es_ES,3,3
2020-12-22,109,desktop,false,11283,1513891,es_ES,1,1
2020-12-22,109,desktop,false,11283,1514519,es_ES,11,11
2020-12-22,109,desktop,false,11764,1515013,fr_BE,2,2
2020-12-22,109,desktop,false,11764,1515013,nl_BE,12,12
2020-12-22,109,desktop,false,30473,1512985,de_AT,58,58
2020-12-22,109,desktop,false,770035,1512954,fr_FR,9,9
2020-12-22,109,desktop,false,1340003,1511672,fr_CH,54,54
2020-12-22,109,desktop,false,3610004,1510753,it_IT,1,1
2020-12-22,109,desktop,false,3950021,1513397,es_ES,6,6
2020-12-22,109,desktop,false,4700001,1512155,nl_NL,1,1
2020-12-22,109,desktop,false,10010003,1510290,es_ES,6,6
2020-12-22,109,desktop,false,10870010,1510523,nl_NL,2,2
2020-12-22,109,desktop,false,10870069,1510523,nl_NL,2,2
2020-12-22,109,desktop,false,16560012,1511492,it_IT,4,4
2020-12-22,109,desktop,false,16660001,1510584,nl_BE,2,2
2020-12-22,109,desktop,false,16660001,1510584,nl_NL,1,1
2020-12-22,109,desktop,false,16660001,1510584,UNKNOWN_LOCALE,1,1
2020-12-22,109,desktop,false,18400001,1514519,es_ES,16,16
2020-12-22,109,desktop,false,23020058,11730171,UNKNOWN_LOCALE,173,173
2020-12-22,109,desktop,false,23710031,1513891,es_ES,6,6
2020-12-22,109,desktop,false,26680001,1512656,fr_FR,2,2
2020-12-22,109,desktop,false,27160001,1515341,fr_FR,4,4
2020-12-22,109,desktop,false,27380040,1513648,it_IT,7,7
2020-12-22,109,desktop,false,28790001,1510344,de_DE,205,205
2020-12-22,109,desktop,false,30290079,16660002,de_DE,2,2
2020-12-22,109,desktop,false,30290441,1514721,es_ES,40,40
2020-12-22,109,desktop,false,30550001,2190022,fr_FR,14,14
2020-12-22,109,desktop,false,30550002,2190022,fr_FR,9,9
2020-12-22,109,desktop,false,30730001,2920084,de_DE,2,2
2020-12-22,109,desktop,false,31280001,4710051,de_DE,2,2
2020-12-22,109,desktop,false,31480001,1512515,es_ES,14,14
2020-12-22,109,desktop,false,31490001,5320051,fr_FR,3,3
2020-12-22,109,desktop,false,31500001,5320070,fr_FR,8,8
2020-12-22,109,desktop,false,31510001,5320044,fr_FR,5,5
2020-12-22,109,desktop,false,31580001,5320008,fr_FR,4,4
2020-12-22,109,desktop,false,31590002,5320077,fr_FR,3,3
2020-12-22,109,desktop,false,31680001,5320038,fr_FR,3,3
2020-12-22,109,desktop,false,31750039,5320053,fr_FR,2,2
2020-12-22,109,desktop,false,31750059,5320076,fr_FR,1,1
2020-12-22,109,desktop,false,33440002,8880001,fr_FR,1,1
2020-12-22,109,desktop,false,33460041,8880025,de_DE,2,2
2020-12-22,109,desktop,false,33590001,9570049,de_AT,1,1
2020-12-22,109,desktop,false,33590001,9570049,de_CH,2,2
2020-12-22,109,desktop,false,33590001,9570049,fr_BE,1,1
2020-12-22,109,desktop,false,33590001,9570049,nl_BE,3,3
2020-12-22,109,desktop,false,33590001,9570049,nl_NL,7,7
2020-12-22,109,desktop,false,33590001,9570049,UNKNOWN_LOCALE,3,3
2020-12-22,109,desktop,false,33770048,9570066,it_IT,1,1
2020-12-22,109,desktop,false,33770053,9570070,it_IT,7,7
2020-12-22,109,desktop,false,34340056,10520068,de_DE,2,2
2020-12-22,109,desktop,false,34340116,10520111,de_DE,1,1
2020-12-22,109,desktop,false,34340140,10520134,de_DE,1,1
2020-12-22,109,desktop,false,34340157,10520002,nl_NL,1,1
2020-12-22,109,desktop,false,34340157,10520002,UNKNOWN_LOCALE,2,2
2020-12-22,109,desktop,false,34340175,10520002,nl_BE,1,1
2020-12-22,109,desktop,false,34340207,10520002,nl_BE,1,1
2020-12-22,109,desktop,false,34340252,10520002,nl_NL,1,1
2020-12-22,109,desktop,false,34340266,10520002,nl_BE,1,1
2020-12-22,109,desktop,false,35100008,11730011,fr_FR,10,10
2020-12-22,109,desktop,false,35100057,11730015,de_CH,7,7
2020-12-22,109,desktop,false,35100057,11730015,fr_CH,1,1
2020-12-22,109,desktop,false,35100163,11730015,de_CH,2,2
2020-12-22,109,desktop,false,35160001,11990001,de_DE,175,175
2020-12-22,109,desktop,false,37710005,16650006,nl_NL,12,12
2020-12-22,109,desktop,false,37890002,16840001,nl_NL,4,4
2020-12-22,109,desktop,false,37890002,16840001,UNKNOWN_LOCALE,1,1
2020-12-22,109,desktop,false,38040001,17270001,es_ES,19,19
2020-12-22,109,desktop,false,38070001,17340001,es_ES,16,16
2020-12-22,109,desktop,false,38170001,17490001,es_ES,9,9
2020-12-22,109,desktop,false,38180001,17530001,es_ES,9,9
2020-12-22,109,desktop,false,38310001,12450001,de_DE,2,2
2020-12-22,109,desktop,false,38710001,18380001,es_ES,9,9
2020-12-22,109,desktop,false,38750001,18370001,es_ES,39,39
2020-12-22,109,desktop,false,38840001,18540001,es_ES,3,3
2020-12-22,109,desktop,false,39060001,18870001,fr_FR,1,1
2020-12-22,109,desktop,false,39300001,19340001,fr_CH,1,1
2020-12-22,109,desktop,false,39680078,20290070,de_DE,3,3
2020-12-22,109,desktop,false,39690001,1514519,es_ES,8,8
2020-12-22,109,desktop,false,39860001,20930002,de_DE,1,1
2020-12-22,109,smartphone,false,11283,1513397,es_ES,1,2
2020-12-22,109,smartphone,false,11283,1514518,es_ES,273,274
2020-12-22,109,smartphone,false,11283,1514519,es_ES,16,16
2020-12-22,109,smartphone,false,11764,1515013,nl_BE,17,17
2020-12-22,109,smartphone,false,11764,1515013,nl_NL,57,57
2020-12-22,109,smartphone,false,30473,1512985,de_AT,7,7
2020-12-22,109,smartphone,false,770035,1512954,fr_FR,6,6
2020-12-22,109,smartphone,false,1340003,1511672,de_CH,45,45
2020-12-22,109,smartphone,false,1340003,1511672,fr_CH,12,12
2020-12-22,109,smartphone,false,2750024,1515405,es_ES,2,2
2020-12-22,109,smartphone,false,2860028,1514220,de_DE,9,9
2020-12-22,109,smartphone,false,2860040,1515742,de_DE,1,1
2020-12-22,109,smartphone,false,3950021,1513397,es_ES,1,1
2020-12-22,109,smartphone,false,7190001,1510117,es_ES,2,2
2020-12-22,109,smartphone,false,10680001,1515376,de_DE,1,1
2020-12-22,109,smartphone,false,10870027,1511597,fr_FR,2,2
2020-12-22,109,smartphone,false,11790001,1510040,nl_NL,1,1
2020-12-22,109,smartphone,false,11790011,1510040,UNKNOWN_LOCALE,1,1
2020-12-22,109,smartphone,false,16560012,1511492,it_IT,13,13
2020-12-22,109,smartphone,false,16660001,1510584,nl_BE,1,1
2020-12-22,109,smartphone,false,18400001,1514519,es_ES,38,38
2020-12-22,109,smartphone,false,19090055,1513727,de_DE,8,8
2020-12-22,109,smartphone,false,23020058,11730171,UNKNOWN_LOCALE,77,77
2020-12-22,109,smartphone,false,23190001,1512288,fr_FR,178,178
2020-12-22,109,smartphone,false,23710031,1513891,es_ES,2,2
2020-12-22,109,smartphone,false,25140001,1515739,it_IT,281,282
2020-12-22,109,smartphone,false,25160001,1511060,it_IT,2,2
2020-12-22,109,smartphone,false,27160001,1515341,fr_FR,1,1
2020-12-22,109,smartphone,false,27380040,1513648,it_IT,11,11
2020-12-22,109,smartphone,false,27630045,1510710,it_IT,1,1
2020-12-22,109,smartphone,false,28790001,1510344,de_DE,399,399
2020-12-22,109,smartphone,false,30290441,1514721,es_ES,93,93
2020-12-22,109,smartphone,false,31490001,5320051,fr_FR,2,2
2020-12-22,109,smartphone,false,31510001,5320044,fr_FR,7,7
2020-12-22,109,smartphone,false,31750035,5320047,fr_FR,3,3
2020-12-22,109,smartphone,false,33240031,8330033,es_ES,4,4
2020-12-22,109,smartphone,false,33460023,8880025,de_DE,1,1
2020-12-22,109,smartphone,false,33460041,8880025,de_DE,3,3
2020-12-22,109,smartphone,false,33590001,9570049,de_CH,7,7
2020-12-22,109,smartphone,false,33590001,9570049,fr_BE,1,1
2020-12-22,109,smartphone,false,33590001,9570049,nl_NL,29,29
2020-12-22,109,smartphone,false,33590001,9570049,UNKNOWN_LOCALE,10,10
2020-12-22,109,smartphone,false,33700001,9570079,de_DE,1,1
2020-12-22,109,smartphone,false,33770053,9570070,it_IT,31,31
2020-12-22,109,smartphone,false,33780001,10520009,fr_FR,61,61
2020-12-22,109,smartphone,false,34340002,10520002,nl_NL,2,2
2020-12-22,109,smartphone,false,34340002,10520002,UNKNOWN_LOCALE,2,2
2020-12-22,109,smartphone,false,34340010,10520002,de_AT,2,2
2020-12-22,109,smartphone,false,34340010,10520002,nl_NL,1,1
2020-12-22,109,smartphone,false,34340042,10520002,de_CH,2,2
2020-12-22,109,smartphone,false,34340042,10520002,nl_BE,1,1
2020-12-22,109,smartphone,false,34340042,10520002,nl_NL,2,2
2020-12-22,109,smartphone,false,34340042,10520002,UNKNOWN_LOCALE,1,1
2020-12-22,109,smartphone,false,34340066,10520002,nl_NL,1,1
2020-12-22,109,smartphone,false,34340097,10520002,nl_NL,1,1
2020-12-22,109,smartphone,false,34340112,10520002,UNKNOWN_LOCALE,2,2
2020-12-22,109,smartphone,false,34340207,10520002,nl_NL,1,1
2020-12-22,109,smartphone,false,34340266,10520002,fr_CH,1,1
2020-12-22,109,smartphone,false,34340266,10520002,UNKNOWN_LOCALE,1,1
2020-12-22,109,smartphone,false,35100008,11730011,fr_FR,14,14
2020-12-22,109,smartphone,false,36260011,14850005,es_ES,1,1
2020-12-22,109,smartphone,false,36670007,14850005,es_ES,1,1
2020-12-22,109,smartphone,false,37710005,16650006,fr_BE,1,1
2020-12-22,109,smartphone,false,37710005,16650006,nl_BE,2,2
2020-12-22,109,smartphone,false,37710005,16650006,nl_NL,8,8
2020-12-22,109,smartphone,false,37890002,16840001,nl_NL,2,2
2020-12-22,109,smartphone,false,37890002,16840001,UNKNOWN_LOCALE,5,5
2020-12-22,109,smartphone,false,37960001,16650006,UNKNOWN_LOCALE,1,1
2020-12-22,109,smartphone,false,38030002,17260003,es_ES,115,115
2020-12-22,109,smartphone,false,38040001,17270001,es_ES,66,66
2020-12-22,109,smartphone,false,38070001,17340001,es_ES,54,54
2020-12-22,109,smartphone,false,38180001,17530001,es_ES,22,22
2020-12-22,109,smartphone,false,38310001,12450001,de_DE,1,1
2020-12-22,109,smartphone,false,38500001,18110001,it_IT,3,3
2020-12-22,109,smartphone,false,38750001,18370001,es_ES,74,75
2020-12-22,109,smartphone,false,38840001,18540001,es_ES,4,4
2020-12-22,109,smartphone,false,39170010,19030012,it_IT,1,1
2020-12-22,109,smartphone,false,39300001,19340001,fr_CH,2,2
2020-12-22,109,smartphone,false,39680078,20290070,de_DE,3,3
2020-12-22,109,smartphone,false,39690001,1514519,es_ES,10,10
2020-12-22,109,tablet,false,11283,1514518,es_ES,14,14
2020-12-22,109,tablet,false,11764,1515013,fr_BE,1,1
2020-12-22,109,tablet,false,11764,1515013,nl_BE,1,1
2020-12-22,109,tablet,false,11764,1515013,nl_NL,2,2
2020-12-22,109,tablet,false,1340003,1511672,de_CH,5,5
2020-12-22,109,tablet,false,16660001,1510584,nl_NL,1,1
2020-12-22,109,tablet,false,23020058,11730171,UNKNOWN_LOCALE,1,1
2020-12-22,109,tablet,false,30290441,1514721,es_ES,3,3
2020-12-22,109,tablet,false,30550001,2190022,fr_FR,4,4
2020-12-22,109,tablet,false,31480001,1512515,es_ES,3,3
2020-12-22,109,tablet,false,34340064,10520002,nl_NL,1,1
2020-12-22,109,tablet,false,34340237,10520002,nl_BE,1,1
2020-12-22,109,tablet,false,37710005,16650006,nl_NL,2,2
2020-12-22,109,tablet,false,38030002,17260003,es_ES,3,3
2020-12-22,109,tablet,false,38040001,17270001,es_ES,2,2
2020-12-22,109,tablet,false,38070001,17340001,es_ES,5,5
2020-12-22,109,tablet,false,38170001,17490001,es_ES,1,1
2020-12-22,109,tablet,false,39300001,19340001,de_CH,1,1
2020-12-22,109,unrecognized,false,11283,1514518,es_ES,24,24
