registration_id,utc_registration_day_id,utc_registration_time_id,utc_registration_timestamp,std_registration_day_id,std_registration_time_id,std_registration_timestamp,std_registration_timezone_id,visitor_id,registration_site_id,locale_id,user_agent_id,customer_id
14583121,8327,1122,2022-10-17 17:01:51.000,8327,1122,2022-10-17 17:01:51.000,595,be6fgrBavb5FJztuc0uyNvJuSJ,3101,216,914001,1584781301
11616110,8125,1362,2022-03-29 21:01:45.000,8125,1362,2022-03-29 21:01:45.000,595,__ANONYMOUS__,3101,216,618901,1584047021
11673701,8129,375,2022-04-02 04:34:12.000,8129,375,2022-04-02 04:34:12.000,595,__ANONYMOUS__,3101,216,443301,1584070062
14601250,8328,1270,2022-10-18 19:29:18.000,8328,1270,2022-10-18 19:29:18.000,595,acH842jCugSO4v4ayFHkMyic05,3101,216,618901,1584793165
14594438,8328,466,2022-10-18 06:05:38.000,8328,466,2022-10-18 06:05:38.000,595,cdUx3irTlBLbzm4Aa4cZIH2Ckq,3101,216,618901,1584787157
11610824,8125,901,2022-03-29 13:20:17.000,8125,901,2022-03-29 13:20:17.000,595,acvnezBDCOcPOm0qka6M3YUKka,3101,216,103,1584043968
11650143,8127,1127,2022-03-31 17:06:18.000,8127,1127,2022-03-31 17:06:18.000,595,acLZ5to1diO2sL7Xoga1zEQnVP,3101,216,168801,1584062977
8677202,7963,1249,2021-10-18 19:08:29.000,7963,1249,2021-10-18 19:08:29.000,595,ac4Pxio2llQrwjBHe8t7aowXgV,3101,216,334801,1583163764
14594440,8328,475,2022-10-18 06:14:10.000,8328,475,2022-10-18 06:14:10.000,595,acB5jvx04OIYahUlVIB1ZMGGkV,3101,216,103,1584787106
14657226,8332,899,2022-10-22 13:18:56.000,8332,899,2022-10-22 13:18:56.000,595,bdQaxtlYbaRMWye6LALCsg0LEb,3101,216,195101,1584815527
8709122,7965,747,2021-10-20 10:46:52.000,7965,747,2021-10-20 10:46:52.000,595,abzz9mbQut72OWIgi0RlvIMEiH,3101,216,334801,1583178468
