customer_list_record_id,utc_record_day_id,utc_record_time_id,utc_record_timestamp,std_record_day_id,std_record_time_id,std_record_timestamp,std_record_timezone_id,site_id,ncustomer_list_id,num_customers
4915,7456,845,2020-05-29 12:24:06.000,7456,845,2020-05-29 12:24:06.000,595,1401,kiehls-ksa,4298
5009,7456,905,2020-05-29 13:24:06.000,7456,905,2020-05-29 13:24:06.000,595,106,urbandecay-emea-west,106870
4916,7456,845,2020-05-29 12:24:07.000,7456,845,2020-05-29 12:24:07.000,595,114,lancome-emea,36407
4917,7456,845,2020-05-29 12:24:07.000,7456,845,2020-05-29 12:24:07.000,595,116,lancome-fr,122587
4918,7456,845,2020-05-29 12:24:07.000,7456,845,2020-05-29 12:24:07.000,595,904,nyx-es,139437
4919,7456,845,2020-05-29 12:24:07.000,7456,845,2020-05-29 12:24:07.000,595,1901,mydermacenter-fr,0
5010,7456,905,2020-05-29 13:24:06.000,7456,905,2020-05-29 13:24:06.000,595,1301,giorgioarmani-fr,0
4920,7456,845,2020-05-29 12:24:07.000,7456,845,2020-05-29 12:24:07.000,595,801,kiehls-mea,16139
5011,7456,905,2020-05-29 13:24:06.000,7456,905,2020-05-29 13:24:06.000,595,1001,house99-fr,65
4921,7456,845,2020-05-29 12:24:07.000,7456,845,2020-05-29 12:24:07.000,595,118,lancome-emea-me-east,1269
5012,7456,905,2020-05-29 13:24:06.000,7456,905,2020-05-29 13:24:06.000,595,1003,house99-it,49
4922,7456,845,2020-05-29 12:24:07.000,7456,845,2020-05-29 12:24:07.000,595,119,house99-master,1
5013,7456,905,2020-05-29 13:24:06.000,7456,905,2020-05-29 13:24:06.000,595,1103,skinceuticals-de,3922
4923,7456,845,2020-05-29 12:24:08.000,7456,845,2020-05-29 12:24:08.000,595,120,giorgioarmani-uk,31772
5014,7456,905,2020-05-29 13:24:07.000,7456,905,2020-05-29 13:24:07.000,595,902,nyx-fr,412563
5015,7456,905,2020-05-29 13:24:07.000,7456,905,2020-05-29 13:24:07.000,595,1401,kiehls-ksa,4299
4924,7456,845,2020-05-29 12:24:08.000,7456,845,2020-05-29 12:24:08.000,595,121,urbandecay-fr,79970
4925,7456,845,2020-05-29 12:24:08.000,7456,845,2020-05-29 12:24:08.000,595,301,itcosmetics-uk,24846
5016,7456,905,2020-05-29 13:24:07.000,7456,905,2020-05-29 13:24:07.000,595,114,lancome-emea,36413
5017,7456,905,2020-05-29 13:24:07.000,7456,905,2020-05-29 13:24:07.000,595,116,lancome-fr,122633
4926,7456,845,2020-05-29 12:24:08.000,7456,845,2020-05-29 12:24:08.000,595,1302,giorgioarmani-de,1
5018,7456,905,2020-05-29 13:24:08.000,7456,905,2020-05-29 13:24:08.000,595,904,nyx-es,139444
4927,7456,845,2020-05-29 12:24:08.000,7456,845,2020-05-29 12:24:08.000,595,302,urbandecay-uk,210696
5019,7456,905,2020-05-29 13:24:08.000,7456,905,2020-05-29 13:24:08.000,595,1901,mydermacenter-fr,0
4928,7456,845,2020-05-29 12:24:09.000,7456,845,2020-05-29 12:24:09.000,595,303,biotherm-emea-west,33409
4929,7456,845,2020-05-29 12:24:10.000,7456,845,2020-05-29 12:24:10.000,595,304,ysl-uk,55282
5020,7456,905,2020-05-29 13:24:08.000,7456,905,2020-05-29 13:24:08.000,595,801,kiehls-mea,16144
4930,7456,845,2020-05-29 12:24:10.000,7456,845,2020-05-29 12:24:10.000,595,307,biotherm-global,7
5021,7456,905,2020-05-29 13:24:08.000,7456,905,2020-05-29 13:24:08.000,595,118,lancome-emea-me-east,1270
4931,7456,845,2020-05-29 12:24:10.000,7456,845,2020-05-29 12:24:10.000,595,308,kerastase-emea-west,59203
5022,7456,905,2020-05-29 13:24:08.000,7456,905,2020-05-29 13:24:08.000,595,119,house99-master,1
4932,7456,845,2020-05-29 12:24:10.000,7456,845,2020-05-29 12:24:10.000,595,309,kiehls-emea,54106
5023,7456,905,2020-05-29 13:24:08.000,7456,905,2020-05-29 13:24:08.000,595,120,giorgioarmani-uk,31775
5024,7456,905,2020-05-29 13:24:08.000,7456,905,2020-05-29 13:24:08.000,595,121,urbandecay-fr,79971
5025,7456,905,2020-05-29 13:24:08.000,7456,905,2020-05-29 13:24:08.000,595,301,itcosmetics-uk,24847
5026,7456,905,2020-05-29 13:24:08.000,7456,905,2020-05-29 13:24:08.000,595,1302,giorgioarmani-de,1
5027,7456,905,2020-05-29 13:24:08.000,7456,905,2020-05-29 13:24:08.000,595,302,urbandecay-uk,210705
5028,7456,905,2020-05-29 13:24:09.000,7456,905,2020-05-29 13:24:09.000,595,303,biotherm-emea-west,33412
5029,7456,905,2020-05-29 13:24:10.000,7456,905,2020-05-29 13:24:10.000,595,304,ysl-uk,55283
5030,7456,905,2020-05-29 13:24:10.000,7456,905,2020-05-29 13:24:10.000,595,307,biotherm-global,7
5031,7456,905,2020-05-29 13:24:10.000,7456,905,2020-05-29 13:24:10.000,595,308,kerastase-emea-west,59215
5032,7456,905,2020-05-29 13:24:10.000,7456,905,2020-05-29 13:24:10.000,595,309,kiehls-emea,54114
5033,7456,905,2020-05-29 13:24:10.000,7456,905,2020-05-29 13:24:10.000,595,310,nyx,148016
5034,7456,905,2020-05-29 13:24:10.000,7456,905,2020-05-29 13:24:10.000,595,102,urbandecay,4578
5035,7456,905,2020-05-29 13:24:10.000,7456,905,2020-05-29 13:24:10.000,595,1102,skinceuticals-fr,6910
5036,7456,905,2020-05-29 13:24:10.000,7456,905,2020-05-29 13:24:10.000,595,104,mbl-fr,5150
5037,7456,905,2020-05-29 13:24:10.000,7456,905,2020-05-29 13:24:10.000,595,107,lancome-emea-me,1966
5038,7456,905,2020-05-29 13:24:10.000,7456,905,2020-05-29 13:24:10.000,595,108,skinceuticals-master,2
5039,7456,905,2020-05-29 13:24:10.000,7456,905,2020-05-29 13:24:10.000,595,109,kiehls-emea-west,236115
5040,7456,845,2020-05-29 12:24:13.000,7456,845,2020-05-29 12:24:13.000,595,1303,giorgioarmani-it,6
5041,7456,845,2020-05-29 12:24:13.000,7456,845,2020-05-29 12:24:13.000,595,903,nyx-uk,77817
5042,7456,845,2020-05-29 12:24:13.000,7456,845,2020-05-29 12:24:13.000,595,115,nyx-master,14719
5043,7456,845,2020-05-29 12:24:13.000,7456,845,2020-05-29 12:24:13.000,595,1601,lorealstaffshop-uk,15
5044,7456,845,2020-05-29 12:24:13.000,7456,845,2020-05-29 12:24:13.000,595,1701,skinceuticals-es,2715
5045,7456,845,2020-05-29 12:24:13.000,7456,845,2020-05-29 12:24:13.000,595,117,lancome-uk,80529
5046,7456,845,2020-05-29 12:24:13.000,7456,845,2020-05-29 12:24:13.000,595,1202,itcosmetics-de,2890
5047,7456,845,2020-05-29 12:24:13.000,7456,845,2020-05-29 12:24:13.000,595,2002,decleor-uk,17413
5048,7456,845,2020-05-29 12:24:13.000,7456,845,2020-05-29 12:24:13.000,595,122,armani-global,33
5049,7456,905,2020-05-29 13:24:13.000,7456,905,2020-05-29 13:24:13.000,595,1303,giorgioarmani-it,6
5050,7456,905,2020-05-29 13:24:13.000,7456,905,2020-05-29 13:24:13.000,595,903,nyx-uk,77821
5051,7456,905,2020-05-29 13:24:14.000,7456,905,2020-05-29 13:24:14.000,595,115,nyx-master,14719
5052,7456,905,2020-05-29 13:24:14.000,7456,905,2020-05-29 13:24:14.000,595,1601,lorealstaffshop-uk,15
5053,7456,905,2020-05-29 13:24:14.000,7456,905,2020-05-29 13:24:14.000,595,1701,skinceuticals-es,2715
5054,7456,905,2020-05-29 13:24:14.000,7456,905,2020-05-29 13:24:14.000,595,117,lancome-uk,80534
5055,7456,905,2020-05-29 13:24:14.000,7456,905,2020-05-29 13:24:14.000,595,1202,itcosmetics-de,2891
5056,7456,905,2020-05-29 13:24:14.000,7456,905,2020-05-29 13:24:14.000,595,2002,decleor-uk,17413
5057,7456,905,2020-05-29 13:24:14.000,7456,905,2020-05-29 13:24:14.000,595,122,armani-global,33
2701879,8528,1145,2023-05-06 17:24:08.000,8528,1145,2023-05-06 17:24:08.000,595,1202,itcosmetics-de,42945
2701880,8528,1145,2023-05-06 17:24:08.000,8528,1145,2023-05-06 17:24:08.000,595,2002,decleor-uk,10263
2701881,8528,1145,2023-05-06 17:24:08.000,8528,1145,2023-05-06 17:24:08.000,595,122,armani-global,64
2726804,8538,1445,2023-05-16 22:24:02.000,8538,1445,2023-05-16 22:24:02.000,595,3901,lancome-de,44012
2726805,8538,1445,2023-05-16 22:24:02.000,8538,1445,2023-05-16 22:24:02.000,595,4301,bio-de,19027
2726806,8538,1445,2023-05-16 22:24:02.000,8538,1445,2023-05-16 22:24:02.000,595,2201,beautyadvisor-uk,1313
2726807,8538,1445,2023-05-16 22:24:02.000,8538,1445,2023-05-16 22:24:02.000,595,1501,lancome-emea-me-v2,0
2726808,8538,1445,2023-05-16 22:24:02.000,8538,1445,2023-05-16 22:24:02.000,595,2301,nyx-fr,497147
2726809,8538,1445,2023-05-16 22:24:02.000,8538,1445,2023-05-16 22:24:02.000,595,5403,itcosmetics-de,43432
2726810,8538,1445,2023-05-16 22:24:02.000,8538,1445,2023-05-16 22:24:02.000,595,305,nyx-emea-east,5543
2726811,8538,1445,2023-05-16 22:24:02.000,8538,1445,2023-05-16 22:24:02.000,595,4201,lancome-es,32710
2726812,8538,1445,2023-05-16 22:24:03.000,8538,1445,2023-05-16 22:24:03.000,595,1201,itcosmetics-fr,62428
2726813,8538,1445,2023-05-16 22:24:03.000,8538,1445,2023-05-16 22:24:03.000,595,5501,giorgioarmani-uk,48311
2726814,8538,1445,2023-05-16 22:24:03.000,8538,1445,2023-05-16 22:24:03.000,595,2701,vichy-uk,2
2726815,8538,1445,2023-05-16 22:24:03.000,8538,1445,2023-05-16 22:24:03.000,595,5201,kie-emea-west,56871
2726816,8538,1445,2023-05-16 22:24:03.000,8538,1445,2023-05-16 22:24:03.000,595,5301,staffshop-fr,27665
2726817,8538,1445,2023-05-16 22:24:03.000,8538,1445,2023-05-16 22:24:03.000,595,5701,kerastase-uk,75046
2726818,8538,1445,2023-05-16 22:24:03.000,8538,1445,2023-05-16 22:24:03.000,595,3601,skinceuticals-es,14566
2726819,8538,1445,2023-05-16 22:24:03.000,8538,1445,2023-05-16 22:24:03.000,595,4001,itc-mea,7235
2726820,8538,1445,2023-05-16 22:24:03.000,8538,1445,2023-05-16 22:24:03.000,595,3202,kiehls-es,104858
2726821,8538,1445,2023-05-16 22:24:04.000,8538,1445,2023-05-16 22:24:04.000,595,4802,ysl-uk,117461
2726822,8538,1445,2023-05-16 22:24:04.000,8538,1445,2023-05-16 22:24:04.000,595,2702,lrp-ie,3
2726823,8538,1445,2023-05-16 22:24:04.000,8538,1445,2023-05-16 22:24:04.000,595,5702,lrp-fr,21365
2726824,8538,1445,2023-05-16 22:24:04.000,8538,1445,2023-05-16 22:24:04.000,595,2703,lrp-uk,92872
2726825,8538,1445,2023-05-16 22:24:04.000,8538,1445,2023-05-16 22:24:04.000,595,3001,mugler-uk,89842
2726826,8538,1445,2023-05-16 22:24:05.000,8538,1445,2023-05-16 22:24:05.000,595,3701,lancome-fr,272063
2726827,8538,1445,2023-05-16 22:24:05.000,8538,1445,2023-05-16 22:24:05.000,595,5401,skc-nl,4738
2726828,8538,1445,2023-05-16 22:24:05.000,8538,1445,2023-05-16 22:24:05.000,595,5601,friendandfamilly-uk,19055
2726829,8538,1445,2023-05-16 22:24:05.000,8538,1445,2023-05-16 22:24:05.000,595,3301,valentino-emea-west-ng,19171
2726830,8538,1445,2023-05-16 22:24:05.000,8538,1445,2023-05-16 22:24:05.000,595,5402,skc-ch,759
2726831,8538,1445,2023-05-16 22:24:05.000,8538,1445,2023-05-16 22:24:05.000,595,5901,skc-emea-nordics,277
2726832,8538,1445,2023-05-16 22:24:06.000,8538,1445,2023-05-16 22:24:06.000,595,3203,kiehls-fr,101423
2726833,8538,1445,2023-05-16 22:24:08.000,8538,1445,2023-05-16 22:24:08.000,595,4101,kerastase-emea-west,217765
2726834,8538,1445,2023-05-16 22:24:08.000,8538,1445,2023-05-16 22:24:08.000,595,3602,skinceuticals-fr,40830
2726835,8538,1445,2023-05-16 22:24:09.000,8538,1445,2023-05-16 22:24:09.000,595,1401,kiehls-ksa,27071
2726836,8538,1445,2023-05-16 22:24:09.000,8538,1445,2023-05-16 22:24:09.000,595,3204,kiehls-de,71379
2726837,8538,1445,2023-05-16 22:24:09.000,8538,1445,2023-05-16 22:24:09.000,595,3101,lorealstaffshop-fr,32363
2726838,8538,1445,2023-05-16 22:24:09.000,8538,1445,2023-05-16 22:24:09.000,595,3603,skinceuticals-it,11699
2726839,8538,1445,2023-05-16 22:24:10.000,8538,1445,2023-05-16 22:24:10.000,595,5001,ysl-fr,172487
2887807,8605,425,2023-07-22 05:24:02.000,8605,425,2023-07-22 05:24:02.000,595,2301,nyx-fr,503944
4933,7456,845,2020-05-29 12:24:10.000,7456,845,2020-05-29 12:24:10.000,595,310,nyx,148016
4934,7456,845,2020-05-29 12:24:10.000,7456,845,2020-05-29 12:24:10.000,595,102,urbandecay,4578
4935,7456,845,2020-05-29 12:24:10.000,7456,845,2020-05-29 12:24:10.000,595,1102,skinceuticals-fr,6904
