visit_date,site_id,registered,ua_class,ua_family,ua_engine,ua_os,ua_os_family,device_class_code,device_market_name,device_brand,num_visits,locale_code
2019-06-27,106,false,Browser,Chrome,WebKit/Blink,Linux (Fedora),Linux,Desktop,unknown,unknown,2,UNKNOWN_LOCALE
2019-06-27,111,false,Mobile browser,Chrome Mobile,WebKit/Blink,Android 8.0 Oreo,Android,Smartphone,Galaxy S8,Samsung,2,UNKNOWN_LOCALE
2019-06-27,904,false,Mobile browser,Instagram App,WebKit/Blink,Android 6.0 Marshmallow,Android,Smartphone,Moto G Play,Motorola,2,UNKNOWN_LOCALE
2019-06-27,116,false,Mobile browser,Instagram App,WebKit/Blink,iOS 12,iOS,Smartphone,iPhone 6s Plus,Apple,2,UNKNOWN_LOCALE
2019-06-27,1102,false,Mobile browser,Facebook App,WebKit,Android 7.0 Nougat,Android,Smartphone,Xperia L1,Sony,2,UNKNOWN_LOCALE
2019-06-27,121,false,Mobile browser,Instagram App,WebKit/Blink,Android 8.0 Oreo,Android,Smartphone,P20 Lite,Huawei,2,UNKNOWN_LOCALE
2019-06-27,117,false,Mobile browser,Mobile Samsung Browser,WebKit/Blink,Android 9.0 Pie,Android,Smartphone,Galaxy J6 (2018),Samsung,2,UNKNOWN_LOCALE
2019-06-27,303,false,Mobile browser,Chrome Mobile,WebKit/Blink,Android 9.0 Pie,Android,Smartphone,Honor 8 Pro,Huawei,2,UNKNOWN_LOCALE
2019-06-27,115,false,Mobile browser,Mobile Samsung Browser,WebKit/Blink,Android 8.1 Oreo,Android,Tablet,Galaxy Tab A 10.1,Samsung,2,UNKNOWN_LOCALE
2019-06-27,109,false,Mobile browser,Chrome Mobile,WebKit/Blink,Android 7.0 Nougat,Android,Smartphone,HARRY,Wiko,2,UNKNOWN_LOCALE
2019-06-27,309,false,Mobile browser,Chrome Mobile,WebKit/Blink,Android 8.0 Oreo,Android,Smartphone,Honor 9 Lite,Huawei,2,UNKNOWN_LOCALE
2019-06-27,309,false,Mobile browser,Chrome Mobile,WebKit/Blink,Android 8.1 Oreo,Android,Smartphone,AX7,Oppo,2,UNKNOWN_LOCALE
2019-06-27,114,false,Mobile browser,Facebook App,WebKit,Android 6.0 Marshmallow,Android,Smartphone,Galaxy S5 Neo,Samsung,2,UNKNOWN_LOCALE
2019-06-27,302,false,Mobile browser,Chrome Mobile,WebKit/Blink,Android 8.1 Oreo,Android,Smartphone,Galaxy J5 (2017),Samsung,2,UNKNOWN_LOCALE
2019-06-27,122,false,Mobile browser,Instagram App,WebKit/Blink,Android 8.0 Oreo,Android,Smartphone,Galaxy S7,Samsung,2,UNKNOWN_LOCALE
2019-06-27,122,false,Mobile browser,Chrome Mobile,WebKit/Blink,Android 8.1 Oreo,Android,Smartphone,Galaxy J7 Prime,Samsung,2,UNKNOWN_LOCALE
2019-06-27,109,false,Mobile browser,Facebook App,WebKit,iOS 11,iOS,Smartphone,iPhone 8,Apple,2,UNKNOWN_LOCALE
2019-06-27,309,false,Mobile browser,Chrome Mobile,WebKit/Blink,Android 7.0 Nougat,Android,Smartphone,Lenny4,Wiko,2,UNKNOWN_LOCALE
2019-06-27,801,false,Mobile browser,Chrome Mobile,WebKit/Blink,Android 9.0 Pie,Android,Smartphone,Mate 20,Huawei,2,UNKNOWN_LOCALE
2019-06-27,109,true,Browser,Firefox,Gecko,macOS 10.12 Sierra,macOS,Desktop,Mac,Apple,2,UNKNOWN_LOCALE
2019-06-27,112,false,Mobile browser,Chrome Mobile,WebKit/Blink,Android 9.0 Pie,Android,Smartphone,8,Nokia,2,UNKNOWN_LOCALE
2019-06-27,304,false,Mobile browser,Mobile Samsung Browser,WebKit/Blink,Android 8.0 Oreo,Android,Smartphone,Galaxy S9,Samsung,2,UNKNOWN_LOCALE
2019-06-27,115,false,Mobile browser,Mobile Samsung Browser,WebKit/Blink,Android 7.0 Nougat,Android,Smartphone,Galaxy S7,Samsung,2,UNKNOWN_LOCALE
2019-06-27,121,false,Mobile browser,Chrome Mobile,WebKit/Blink,Android 8.0 Oreo,Android,Smartphone,Galaxy S9,Samsung,2,UNKNOWN_LOCALE
2019-06-27,114,false,Mobile browser,Pinterest App,unknown,Android 9.0 Pie,Android,Smartphone,Galaxy A20e,Samsung,2,UNKNOWN_LOCALE
2019-06-27,305,false,Mobile browser,Chrome Mobile,WebKit/Blink,Android 7.1 Nougat,Android,Smartphone,Q6a,LG,2,UNKNOWN_LOCALE
2019-06-27,121,false,Mobile browser,Opera Mobile,Presto/WebKit,Android 8.0 Oreo,Android,Smartphone,G6,LG,2,UNKNOWN_LOCALE
2019-06-27,902,false,Mobile browser,Chrome Mobile,WebKit/Blink,Android 8.1 Oreo,Android,Smartphone,View2 Plus,Wiko,2,UNKNOWN_LOCALE
2019-06-27,301,false,Mobile browser,Mobile Samsung Browser,WebKit/Blink,Android 7.1 Nougat,Android,Smartphone,Galaxy J5 (2016),Samsung,2,UNKNOWN_LOCALE
2019-06-27,117,false,Mobile browser,Facebook App,WebKit,Android 8.0 Oreo,Android,Smartphone,Galaxy J3 (2017),Samsung,2,UNKNOWN_LOCALE
2019-06-27,106,false,Mobile browser,Chrome Mobile,WebKit/Blink,Android 6.0 Marshmallow,Android,Smartphone,P9,Huawei,2,UNKNOWN_LOCALE
2019-06-27,904,false,Mobile browser,Instagram App,WebKit/Blink,Android 7.1 Nougat,Android,Smartphone,Aquaris U Plus,bq,2,UNKNOWN_LOCALE
2019-06-27,103,false,Mobile browser,Facebook App,WebKit,Android 8.1 Oreo,Android,Smartphone,Redmi 6A,Xiaomi,2,UNKNOWN_LOCALE
2019-06-27,902,false,Mobile browser,Chrome Mobile,WebKit/Blink,Android 8.1 Oreo,Android,Smartphone,V7+,Vivo,2,UNKNOWN_LOCALE
2019-06-30,903,false,Mobile browser,Safari mobile,WebKit,iOS 12,iOS,Smartphone,iPhone,Apple,1646,UNKNOWN_LOCALE
