site_id,request_date,total_requests,total_response_time_ms,cache_hit_requests,error_requests,avg_response_time_ms,cache_hit_rate,error_rate,nglora_version,compatibility_mode
105,2019-01-05,3,241,0,0,80.33333333333333,0.0,0.0,77.3.0,22.7
105,2019-01-07,1,20,0,0,20.0,0.0,0.0,77.3.0,22.7
106,2018-10-19,10046,1030827,8,0,102.6106908222178,0.0007963368504877563,0.0,77.1.0,22.7
106,2018-10-20,17805,1652171,1,0,92.7925301881494,5.616399887672002e-05,0.0,77.1.0,22.7
106,2018-10-21,8585,4862179,5,0,566.3574839836925,0.0005824111822947001,0.0,77.1.0,22.7
106,2018-10-22,15725,1789572,6,0,113.80426073131956,0.00038155802861685216,0.0,77.1.0,22.7
106,2018-10-23,7156,575634,7,0,80.44074902179989,0.0009782001117942985,0.0,77.1.0,22.7
106,2018-10-24,20314,1052984,2,0,51.83538446391651,9.845426799251748e-05,0.0,77.1.0,22.7
106,2018-10-25,4459,1067099,5,0,239.3135232114824,0.001121327651939897,0.0,77.1.0,22.7
106,2018-10-26,58259,7976618,3,0,136.91649358897337,5.149418973892446e-05,0.0,77.1.0,22.7
106,2018-10-28,5072,1155229,4,0,227.76597003154575,0.0007886435331230284,0.0,77.1.0,22.7
106,2018-10-30,1793,132257,1,0,73.76296709425544,0.0005577244841048522,0.0,77.1.0,22.7
106,2018-11-01,11216,391636,1,0,34.91761768901569,8.91583452211127e-05,0.0,77.1.0,22.7
106,2018-11-03,1276,241065,1,0,188.92241379310346,0.0007836990595611285,0.0,77.1.0,22.7
106,2018-11-05,3196,1258830,0,0,393.8767209011264,0.0,0.0,77.1.0,22.7
106,2018-11-07,528,97721,2,0,185.0776515151515,0.003787878787878788,0.0,77.1.0,22.7
106,2018-11-09,619,106208,0,0,171.5799676898223,0.0,0.0,77.1.0,22.7
106,2018-11-11,9457,853816,1,0,90.28402241725706,0.00010574177857671566,0.0,77.1.0,22.7
106,2018-11-13,2261,72997,1,0,32.28527200353826,0.0004422821760283061,0.0,77.1.0,22.7
106,2018-11-15,11,1561,0,0,141.9090909090909,0.0,0.0,77.1.0,22.7
106,2019-01-05,22419,4188603,1,0,186.83273116552922,4.460502252553638e-05,0.0,77.3.0,22.7
106,2019-01-07,695,781168,0,0,1123.9827338129496,0.0,0.0,77.3.0,22.7
106,2019-01-09,41543,6813540,2,0,164.0117468646944,4.8142888091856634e-05,0.0,77.3.0,22.7
107,2018-10-19,73,20280,0,0,277.8082191780822,0.0,0.0,77.1.0,22.7
107,2018-10-20,477,14368,2,0,30.12159329140461,0.0041928721174004195,0.0,77.1.0,22.7
107,2018-10-21,1722,163828,4,0,95.13821138211382,0.0023228803716608595,0.0,77.1.0,22.7
107,2018-10-22,638,195303,3,0,306.11755485893417,0.004702194357366771,0.0,77.1.0,22.7
107,2018-10-23,9110,2717602,2,0,298.3097694840834,0.0002195389681668496,0.0,77.1.0,22.7
107,2018-10-24,3137,1533319,2,0,488.78514504303473,0.000637551801083838,0.0,77.1.0,22.7
107,2018-10-25,158,31326,4,0,198.26582278481013,0.02531645569620253,0.0,77.1.0,22.7
107,2018-10-26,986,72636,1,0,73.66734279918865,0.0010141987829614604,0.0,77.1.0,22.7
107,2018-10-28,532,77185,1,0,145.0845864661654,0.0018796992481203006,0.0,77.1.0,22.7
107,2018-10-30,7471,873389,0,0,116.90389506090216,0.0,0.0,77.1.0,22.7
107,2018-11-01,475,188232,3,0,396.2778947368421,0.00631578947368421,0.0,77.1.0,22.7
107,2018-11-03,197,93499,2,0,474.61421319796955,0.01015228426395939,0.0,77.1.0,22.7
107,2018-11-05,65,43162,0,0,664.0307692307692,0.0,0.0,77.1.0,22.7
107,2018-11-07,3023,76202,5,0,25.207409857757195,0.0016539861065167053,0.0,77.1.0,22.7
107,2018-11-09,57,46081,1,0,808.438596491228,0.017543859649122806,0.0,77.1.0,22.7
107,2018-11-11,3,81,0,0,27.0,0.0,0.0,77.1.0,22.7
107,2018-11-13,11,3295,0,0,299.54545454545456,0.0,0.0,77.1.0,22.7
107,2019-01-05,77,27785,1,0,360.84415584415586,0.012987012987012988,0.0,77.3.0,22.7
107,2019-01-07,8,1098,1,0,137.25,0.125,0.0,77.3.0,22.7
107,2019-01-09,216,25322,1,0,117.23148148148148,0.004629629629629629,0.0,77.3.0,22.7
107,2019-01-11,1,22,0,0,22.0,0.0,0.0,77.3.0,22.7
109,2018-10-19,9502,1158996,4,0,121.97390023153021,0.0004209640075773521,0.0,77.1.0,22.7
109,2018-10-20,35891,8853428,8,0,246.67543395280154,0.0002228971051238472,0.0,77.1.0,22.7
109,2018-10-21,26880,57544782,7,0,2140.8029017857143,0.00026041666666666666,0.0,77.1.0,22.7
109,2018-10-22,95757,182057051,13,0,1901.2401286590014,0.0001357603099512307,0.0,77.1.0,22.7
109,2018-10-23,25014,4021654,3,0,160.7761253697929,0.00011993283761093787,0.0,77.1.0,22.7
109,2018-10-24,38240,6746009,12,0,176.4123692468619,0.00031380753138075313,0.0,77.1.0,22.7
109,2018-10-25,24022,15667338,13,0,652.2078927649654,0.0005411705936225127,0.0,77.1.0,22.7
109,2018-10-26,11480,8020349,5,0,698.6366724738676,0.00043554006968641115,0.0,77.1.0,22.7
109,2018-10-28,39621,5518767,1,0,139.2889376845612,2.523914085964514e-05,0.0,77.1.0,22.7
109,2018-10-30,19344,5490193,3,0,283.8189102564103,0.00015508684863523573,0.0,77.1.0,22.7
109,2018-11-01,10622,4484514,2,0,422.1911127847863,0.00018828845791752966,0.0,77.1.0,22.7
109,2018-11-03,10812,1303240,6,0,120.53644099149093,0.0005549389567147614,0.0,77.1.0,22.7
109,2018-11-05,1082,167448,2,0,154.75785582255082,0.0018484288354898336,0.0,77.1.0,22.7
109,2018-11-07,10256,1991235,1,0,194.15317862714508,9.750390015600624e-05,0.0,77.1.0,22.7
109,2018-11-09,7458,656444,3,0,88.0187717886833,0.00040225261464199515,0.0,77.1.0,22.7
109,2018-11-11,2911,1288555,4,0,442.6502919958777,0.0013740982480247338,0.0,77.1.0,22.7
109,2018-11-13,145,18402,1,0,126.9103448275862,0.006896551724137931,0.0,77.1.0,22.7
109,2018-11-15,3,235,1,0,78.33333333333333,0.3333333333333333,0.0,77.1.0,22.7
109,2018-11-17,6,1135,0,0,189.16666666666666,0.0,0.0,77.1.0,22.7
109,2019-01-05,7935,4054532,1,0,510.968115942029,0.0001260239445494644,0.0,77.3.0,22.7
109,2019-01-07,1182,1421781,2,0,1202.8604060913706,0.001692047377326565,0.0,77.3.0,22.7
109,2019-01-09,3724,541974,2,0,145.53544575725027,0.0005370569280343716,0.0,77.3.0,22.7
109,2019-01-11,5838,528693,0,0,90.5606372045221,0.0,0.0,77.3.0,22.7
111,2018-10-19,3623,888934,1,0,245.3585426442175,0.0002760143527463428,0.0,77.1.0,22.7
111,2018-10-20,2904,758432,0,0,261.168044077135,0.0,0.0,77.1.0,22.7
111,2018-10-21,29660,1285525,0,0,43.34204315576534,0.0,0.0,77.1.0,22.7
111,2018-10-22,10607,3576643,1,0,337.1964740265862,9.427736400490242e-05,0.0,77.1.0,22.7
111,2018-10-23,1310,82461,0,0,62.94732824427481,0.0,0.0,77.1.0,22.7
111,2018-10-24,109,11088,0,0,101.72477064220183,0.0,0.0,77.1.0,22.7
111,2018-10-25,269,57792,0,0,214.84014869888475,0.0,0.0,77.1.0,22.7
111,2018-10-26,3460,995803,0,0,287.8043352601156,0.0,0.0,77.1.0,22.7
111,2018-10-28,35066,3790560,0,0,108.09787258312896,0.0,0.0,77.1.0,22.7
111,2018-10-30,4054,612232,0,0,151.01924025653676,0.0,0.0,77.1.0,22.7
111,2018-11-01,4533,460999,0,0,101.69843370836091,0.0,0.0,77.1.0,22.7
111,2018-11-03,111,292185,0,0,2632.2972972972975,0.0,0.0,77.1.0,22.7
111,2018-11-05,2147,327684,0,0,152.6241266884024,0.0,0.0,77.1.0,22.7
111,2018-11-07,75,11795,0,0,157.26666666666668,0.0,0.0,77.1.0,22.7
111,2018-11-09,7413,960774,0,0,129.60663698907325,0.0,0.0,77.1.0,22.7
111,2018-11-11,36865,974146,0,0,26.424684660246847,0.0,0.0,77.1.0,22.7
111,2018-11-13,123,10041,1,0,81.63414634146342,0.008130081300813009,0.0,77.1.0,22.7
111,2018-11-15,3,318,0,0,106.0,0.0,0.0,77.1.0,22.7
111,2019-01-05,73,12435,0,0,170.34246575342465,0.0,0.0,77.3.0,22.7
111,2019-01-07,6,258,0,0,43.0,0.0,0.0,77.3.0,22.7
111,2019-01-09,197,13853,0,0,70.31979695431473,0.0,0.0,77.3.0,22.7
112,2018-10-19,6206,2265445,5,0,365.04108926844987,0.0008056719303899452,0.0,77.1.0,22.7
112,2018-10-20,6606,1542234,3,0,233.4595821980018,0.00045413260672116256,0.0,77.1.0,22.7
