recommendation_date,site_id,recommender_name,num_recommender_views,num_product_views,num_clicks,num_cart_adds,num_products_purchased,num_orders,std_attributed_revenue
2020-02-07,121,PDP-RealTime,1325,3975,40,4,0,0,0.000000
2020-02-07,109,product-to-product-AddToCart,110806,330695,3434,900,248,205,7953.660000
2020-02-07,106,PDP-real-time,11591,34398,555,84,21,20,432.290000
2020-02-07,106,Search,36,194,2,1,1,1,14.200000
2020-02-07,309,Einstein-Cart-Page,111,555,4,3,0,0,0.000000
2020-02-07,302,PDP-Real-Time,5342,16026,232,50,6,5,112.920000
2020-01-30,121,Checkout-Real-Time,9,54,0,0,0,0,0.000000
2020-01-30,109,products-in-all-categories-Cart-Page,1750,17242,39,9,2,2,48.010000
2020-01-30,302,Checkout,105,630,6,5,1,1,16.560000
2020-01-30,121,Search-All-Categ,3,18,1,0,0,0,0.000000
2020-01-30,109,product-to-product-AddToCart,34428,102676,1717,242,54,44,1290.510000
2020-01-30,106,PDP-real-time,163,482,10,0,0,0,0.000000
2020-01-30,302,Search,1,6,0,0,0,0,0.000000
2020-01-30,121,PDP-RealTime,76,228,0,0,0,0,0.000000
2020-01-30,112,Cart-Page-All-Categories,955,4775,29,5,1,1,24.160000
2020-01-30,302,PDP-Real-Time,332,996,8,2,1,1,22.760000
2020-01-30,106,Checkout,16,80,1,1,0,0,0.000000
2020-01-30,112,Real-Time-Recommendations-PDP,9985,99804,576,90,16,16,493.900000
2020-01-30,106,Search,2,12,0,0,0,0,0.000000
2020-01-30,112,Real-Time-Recommendations-Add-to-Cart-Popup,15963,79813,1071,240,57,48,1901.490000
2020-01-30,109,product-to-product-PDP-Full-Predictive,17002,84844,1021,69,12,12,323.850000
2020-02-07,121,Search-All-Categ,2,12,0,0,0,0,0.000000
2020-02-07,109,products-in-all-categories-Cart-Page,5908,58736,227,61,15,15,435.240000
2020-02-07,112,Cart-Page-All-Categories,904,4520,25,2,0,0,0.000000
2020-02-07,112,Real-Time-Recommendations-Add-to-Cart-Popup,16810,84038,1274,260,65,58,1926.370000
2020-02-06,106,Checkout,2682,12557,147,48,21,18,434.880000
2020-02-06,121,PDP-RealTime,1666,4998,63,9,1,1,43.330000
2020-02-06,106,Search,53,277,3,0,0,0,0.000000
2020-02-06,121,Search-All-Categ,16,96,0,0,0,0,0.000000
2020-02-06,112,Real-Time-Recommendations-PDP,8835,88230,531,71,18,17,578.820000
2020-02-06,302,Checkout,634,3804,36,12,4,3,88.720000
2020-02-06,112,Real-Time-Recommendations-Add-to-Cart-Popup,16123,80593,1218,234,77,66,2387.690000
2020-02-06,302,Search,13,78,1,0,0,0,0.000000
2020-02-06,112,Cart-Page-All-Categories,814,4070,22,2,1,1,51.640000
2020-02-06,106,PDP-real-time,12283,35826,705,146,29,26,569.010000
2020-02-06,109,product-to-product-AddToCart,68715,205045,2561,429,102,86,2900.430000
2020-02-06,109,product-to-product-PDP-Full-Predictive,28619,142764,1333,118,24,23,716.290000
2020-02-06,109,products-in-all-categories-Cart-Page,2279,22605,81,13,3,3,80.720000
2020-02-06,309,Einstein-Cart-Page,115,574,4,2,1,1,13.210000
2020-02-09,121,Checkout-Real-Time,432,2592,33,17,5,3,69.640000
2020-02-09,106,PDP-real-time,7685,22818,464,96,15,13,297.410000
2020-02-09,121,Search-All-Categ,2,12,0,0,0,0,0.000000
2020-02-09,109,product-to-product-PDP-Full-Predictive,30112,150074,1863,303,86,69,2523.710000
2020-02-09,109,products-in-all-categories-Cart-Page,6508,64647,250,45,14,13,385.090000
2020-02-09,112,Real-Time-Recommendations-PDP,12461,124613,813,118,31,30,933.790000
2020-02-09,121,PDP-RealTime,1493,4479,59,16,1,1,25.500000
2020-02-09,106,Checkout,1872,9175,121,28,12,11,216.910000
2020-02-09,302,Search,17,102,1,0,0,0,0.000000
2020-02-09,112,Real-Time-Recommendations-Add-to-Cart-Popup,23419,117078,1824,392,102,93,3280.380000
2020-02-09,112,Cart-Page-All-Categories,1337,6685,46,8,3,3,65.790000
2020-02-09,309,Einstein-Cart-Page,119,595,5,1,0,0,0.000000
2020-02-09,302,Checkout,1626,9756,65,19,10,10,221.220000
2020-02-09,302,PDP-Real-Time,6208,18624,263,51,11,10,250.970000
2020-02-09,109,product-to-product-AddToCart,70275,209771,3395,942,277,234,8264.740000
2020-02-09,106,Search,32,178,0,0,0,0,0.000000
2020-02-10,121,PDP-RealTime,1346,4038,54,7,0,0,0.000000
