search_date,site_id,registered,device_class_code,locale_code,query,has_results,num_searches,num_visits,num_orders,std_revenue,num_units
2020-09-24,103,true,desktop,pl_PL,cerave,true,1,1,1,7.910000,4
2020-09-24,103,true,desktop,pl_PL,EFFACLAR OCZYSZCZAJĄCY ŻEL 400 ML,true,1,1,1,7.910000,4
2020-09-24,103,true,desktop,pl_PL,LA ROCHE-POSAY,true,2,1,1,7.910000,4
2020-09-24,103,true,desktop,pl_PL,TOLERIANE PURIFYING FOAMING FACIAL WASH,false,1,1,1,7.910000,4
2020-09-24,103,true,smartphone,pl_PL,Cerave,true,9,1,1,22.750000,6
2020-09-24,103,true,smartphone,pl_PL,CeraVe,true,5,1,1,21.070000,4
2020-09-24,103,true,smartphone,pl_PL,Vichy Normaderm Phytosolution żel głęboko oczyszczający przeciw niedoskonałościom skóry trądzikowej,false,1,1,1,10.790000,5
2020-09-24,103,true,smartphone,pl_PL,Vichy normaderm phytosolution żel głęboko oczyszczający skóry trądzikowej,true,1,1,1,10.790000,5
2020-09-24,103,true,unknown,pl_PL,slow age,true,2,1,1,1.870000,7
2020-09-24,103,true,unknown,pl_PL,toleriane,true,1,1,1,1.870000,7
2020-09-24,106,true,desktop,de_DE,Armor,false,1,1,1,50.440000,2
2020-09-24,106,true,smartphone,de_DE,Optical,true,3,1,1,57.540000,3
2020-09-24,106,true,unknown,de_DE,Kajalstift,true,1,1,1,28.450000,3
2020-09-24,106,true,unknown,de_DE,Primer,true,4,1,1,40.080000,5
2020-09-24,106,true,unknown,nl_NL,naked,true,2,1,1,26.360000,2
2020-09-24,109,true,desktop,de_AT,Solutions’ Centella Recovery Skin-Salve,false,1,1,1,110.980000,8
2020-09-24,109,true,desktop,de_CH,blue herbal,true,2,1,1,87.020000,9
2020-09-24,109,true,desktop,de_DE,cannabis collection,true,1,1,1,87.590000,9
2020-09-24,109,true,desktop,de_DE,LIGHT FLIGHT,true,1,1,1,28.970000,5
2023-08-15,2401,true,smartphone,es_ES,Primer,true,12,1,1,68.980000,9
2020-09-24,109,true,desktop,fr_FR,damage repairing,true,1,1,1,62.500000,8
2020-09-24,109,true,desktop,nl_NL,eye serum,true,1,1,1,111.400000,7
2020-09-24,109,true,desktop,nl_NL,Facial Fuel Energizing Facewash,true,1,1,1,57.520000,2
2023-08-15,2501,true,desktop,en_GB,clearlysolution,false,2,1,1,29.060000,7
2020-09-24,109,true,desktop,nl_NL,hand,true,5,1,1,73.380000,7
2020-09-24,109,true,desktop,nl_NL,line reducing,true,1,1,1,115.040000,10
2020-09-24,109,true,desktop,nl_NL,mask,true,1,1,1,27.760000,5
2020-09-24,109,true,desktop,nl_NL,pure vitality,true,1,1,1,115.040000,10
2020-09-24,109,true,desktop,nl_NL,serum,true,1,1,1,111.400000,7
2020-09-24,109,true,desktop,nl_NL,ultra facial,true,2,1,1,73.380000,7
2020-09-24,109,true,desktop,nl_NL,Ultra Facial Cleanser,true,2,1,1,25.120000,5
2020-09-24,109,true,desktop,nl_NL,vitality,true,1,1,1,115.040000,10
2020-09-24,109,true,smartphone,de_AT,Daily,true,2,1,1,75.680000,9
2020-09-24,109,true,smartphone,de_AT,Lip balm,true,1,1,1,56.660000,5
2020-09-24,109,true,smartphone,de_AT,ultra facial,true,1,1,1,75.680000,9
2020-09-24,109,true,smartphone,de_AT,Ultra facial Deep moisture balm,true,2,1,1,46.660000,5
2020-09-24,109,true,smartphone,de_DE,bestseller,true,1,1,1,59.310000,11
2020-09-24,109,true,smartphone,de_DE,Cream,true,5,1,1,97.240000,8
2020-09-24,109,true,smartphone,de_DE,Deep Pore,true,1,1,1,71.720000,8
2020-09-24,109,true,smartphone,de_DE,Deep Pore Daily,true,1,1,1,71.720000,8
2020-09-24,109,true,smartphone,de_DE,Eye,true,1,1,1,59.310000,11
2020-09-24,109,true,smartphone,de_DE,Hydro- Plumping Re- Texturizing serum concentrate,true,1,1,1,82.760000,5
2020-09-24,109,true,smartphone,de_DE,Maske,true,1,1,1,89.310000,10
2020-09-24,109,true,smartphone,de_DE,Pore,true,1,1,1,96.200000,6
2020-09-24,109,true,smartphone,de_DE,Rare earth,true,1,1,1,71.720000,8
2020-09-24,109,true,smartphone,de_DE,Return,false,1,1,1,97.240000,8
2020-09-24,109,true,smartphone,de_DE,Scrub,true,1,1,1,59.310000,11
2020-09-24,109,true,smartphone,de_DE,Teebaum,false,1,1,1,71.720000,8
2020-09-24,109,true,smartphone,es_ES,Antiedad,true,1,1,1,24.380000,4
2020-09-24,109,true,smartphone,es_ES,Contorno de ojos,true,1,1,1,24.380000,4
2020-09-24,109,true,smartphone,es_ES,Crema noche,true,2,1,1,41.320000,5
2020-09-24,109,true,smartphone,es_ES,Granos,true,1,1,1,16.120000,4
2020-09-24,109,true,smartphone,it_IT,Facial fuel,true,2,1,1,79.670000,6
2020-09-24,109,true,smartphone,nl_NL,Clearly corrective,true,1,1,1,40.000000,4
2020-09-24,109,true,smartphone,nl_NL,Face wash,true,1,1,1,78.010000,6
2020-09-24,109,true,smartphone,nl_NL,Haar,true,1,1,1,65.460000,5
2020-09-24,109,true,smartphone,nl_NL,Multi corrective eye,true,1,1,1,78.010000,6
2020-09-24,109,true,smartphone,nl_NL,Oil,true,2,1,1,124.950000,8
2020-09-24,109,true,smartphone,nl_NL,Rare earth,true,1,1,1,62.810000,6
2020-09-24,109,true,smartphone,nl_NL,Scrub,true,1,1,1,92.900000,10
2020-09-24,109,true,smartphone,nl_NL,Ultra,true,1,1,1,39.010000,5
