recommendation_date,site_id,num_recommender_views,num_product_views,num_clicks,num_cart_adds,num_products_purchased,num_orders,std_attributed_revenue
2019-10-12,112,33193,331668,2499,560,126,100,4164.702463
2020-01-30,302,438,1632,14,7,2,2,39.320000
2019-11-17,114,42,70,0,0,0,0,0.000000
2019-11-07,109,70718,676578,5464,659,87,66,2832.254970
2019-12-29,109,97807,973405,9006,718,91,66,2304.762656
2019-11-18,112,41806,415508,3499,724,148,113,4964.485217
2019-09-12,109,416,4151,35,49,3,1,38.739234
2020-01-01,109,48040,476827,4493,584,83,64,2533.518749
2019-12-27,109,83194,828099,7739,629,85,66,2462.740575
2020-01-30,121,88,300,1,0,0,0,0.000000
2019-09-06,112,29837,298040,2385,506,115,90,1253.856054
2020-03-05,109,65192,251299,3780,1039,208,167,5711.890000
2019-10-28,109,81423,782222,5161,570,91,72,2803.941091
2019-10-18,112,33981,339378,2318,498,126,95,3727.696974
2019-12-24,109,38658,384160,3184,368,63,41,1800.325981
2020-01-15,109,58247,224611,2991,371,55,47,1470.427987
2019-10-16,112,50628,505825,2842,654,133,97,4578.176232
2019-09-30,109,72205,719238,5027,936,226,150,5979.736747
2020-01-02,112,36695,363553,3142,657,129,90,3520.024161
2019-12-03,112,51957,497264,4102,949,209,162,5855.902113
2019-09-13,109,52184,521050,4005,705,78,54,2333.946572
2019-12-20,109,47570,472133,3901,482,98,70,2870.651435
2020-01-11,112,32924,329187,2913,605,142,114,4009.158637
2020-01-14,112,29080,201384,2038,433,109,87,3215.883724
2019-12-13,109,79883,791314,6291,654,118,81,3031.757353
2019-10-27,112,44538,445287,3282,612,129,95,3525.507813
2019-11-23,112,49217,482304,0,0,0,0,0.000000
2019-11-16,112,38749,386443,3358,762,156,114,4323.258835
2020-01-04,121,0,0,1,0,0,0,0.000000
2019-09-04,109,59947,598022,4443,756,172,122,2039.512585
2020-01-21,109,61294,236494,3548,409,66,53,2040.786330
2020-03-05,309,145,725,4,0,0,0,0.000000
2019-12-18,112,29558,286465,2377,609,175,141,5478.653413
2019-09-26,109,78182,781008,6216,586,93,64,2963.355399
2019-12-17,112,18984,185474,1556,398,140,107,4171.723868
2020-03-05,112,30863,203642,2031,469,127,107,4079.360000
2020-04-20,116,5660,56605,148,8,2,2,110.620000
2020-04-22,117,4804,47846,122,44,14,13,426.110000
2020-04-22,109,180656,664004,6960,1794,381,306,11742.060000
2020-04-22,112,117436,765465,8809,2882,840,643,23402.120000
2020-04-22,114,7715,77759,142,21,4,4,254.360000
2020-04-22,116,3729,37659,62,20,2,2,40.260000
2020-04-22,121,7641,27303,441,82,10,9,251.650000
2020-04-22,309,899,4494,37,16,2,2,31.910000
2020-04-24,109,235873,860472,9788,3091,712,565,19785.440000
2020-04-24,112,108579,700545,8206,2814,903,683,25475.300000
2020-04-24,117,3,30,0,0,0,0,0.000000
2020-04-24,114,2,20,0,0,0,0,0.000000
2020-04-12,109,123800,481160,6366,1919,538,426,15007.830000
2020-04-12,121,4854,17427,279,38,7,5,101.310000
2020-04-12,309,830,4141,26,6,1,1,19.630000
2020-04-24,309,725,3625,24,8,1,1,35.070000
2020-04-24,121,8696,31279,536,80,8,8,190.640000
2020-04-02,117,4501,44999,92,20,5,5,131.640000
2020-03-14,109,49225,188353,2778,856,214,172,5837.770000
2020-03-14,112,29859,197030,1940,545,152,116,4210.840000
2020-03-14,114,4533,45471,100,10,1,1,18.290000
2020-03-14,117,4599,45993,101,26,3,3,150.320000
2020-03-14,309,201,1005,11,7,2,2,32.850000
2020-03-14,116,7268,73215,63,12,1,1,72.520000
2020-03-17,116,4433,44622,74,29,6,6,532.630000
2020-03-17,117,3294,32847,60,10,4,4,168.460000
2020-04-02,309,1069,5335,69,27,13,12,334.360000
2020-04-02,109,104692,397966,5303,1617,373,291,11072.530000
2020-04-02,114,5121,51698,55,6,0,0,0.000000
2020-04-02,121,4159,14520,245,68,9,7,217.650000
2020-04-02,116,2113,21124,35,7,0,0,0.000000
2020-04-02,112,68483,441671,5003,1710,571,443,16939.310000
2020-04-11,309,705,3522,24,8,5,5,94.070000
2020-04-11,112,74386,486648,5551,1804,545,415,15831.760000
2020-04-11,109,121743,464299,6054,1679,418,335,11931.980000
2020-04-11,117,6419,64459,136,30,6,6,299.720000
2020-04-11,116,15092,148351,227,63,20,19,604.410000
2020-04-11,121,5642,20298,326,75,16,13,376.980000
2020-04-11,114,6977,70136,126,9,2,2,35.690000
2020-04-27,117,3,30,0,0,0,0,0.000000
2020-04-27,112,125223,799841,9539,3336,1085,838,30290.240000
2020-04-27,114,4,40,0,0,0,0,0.000000
2020-04-27,109,200532,721763,7004,1667,350,293,10130.020000
2020-04-27,309,716,3569,33,11,2,2,38.470000
2020-04-27,121,6665,24550,363,95,9,9,235.290000
2020-04-30,112,95790,616907,6823,2138,680,530,19494.230000
2020-04-12,114,7865,79382,147,30,3,3,101.200000
2020-04-30,121,77909,296247,7332,2062,274,233,7465.510000
2020-04-30,309,551,2753,33,15,3,3,70.230000
2020-04-03,114,6259,62763,106,7,0,0,0.000000
2020-04-03,112,77137,503140,5249,1783,568,451,16491.700000
2020-04-03,309,4097,20477,225,72,12,12,295.380000
2020-04-03,116,3873,38089,155,9,3,3,78.430000
2020-04-03,117,4493,45049,90,30,8,7,397.330000
2020-04-03,121,5208,18942,376,113,9,6,178.250000
2020-04-03,109,158877,637120,8196,2874,734,584,21622.830000
2020-04-30,109,197945,716189,7723,2249,596,474,17735.600000
2020-04-30,116,2,20,0,0,0,0,0.000000
2020-04-21,309,830,4149,34,8,0,0,0.000000
2020-04-21,114,10062,101469,135,13,1,1,46.990000
2020-04-21,121,9429,36513,585,199,36,30,729.120000
2020-04-15,112,85323,557500,6498,2117,655,501,19283.070000
2020-04-15,117,6272,62852,234,73,23,20,916.240000
2020-04-15,121,4773,17100,286,73,6,6,223.610000
2020-03-15,112,34868,229546,2229,654,194,155,6008.580000
2020-03-15,109,51610,197471,2824,918,247,188,7067.050000
2020-03-15,117,5103,50965,121,30,7,6,455.530000
2020-03-15,114,4898,49122,108,11,4,3,240.320000
2020-03-15,309,275,1375,4,2,1,1,23.960000
2020-03-15,116,6398,63451,192,19,3,3,102.560000
2020-04-09,117,5095,50790,156,43,17,13,775.770000
2020-04-09,116,6725,66404,189,44,11,9,341.850000
2020-04-09,309,762,3802,27,9,1,1,23.150000
2020-04-09,121,11317,43260,697,164,30,26,583.410000
2020-04-09,109,187651,710651,7963,2325,678,525,20443.150000
2020-04-09,114,9076,91643,175,23,0,0,0.000000
2020-04-09,112,65756,429723,4702,1517,474,371,13512.630000
2020-04-15,114,6891,69373,135,27,3,3,87.500000
2020-04-15,116,7855,79008,149,34,9,8,190.960000
2020-04-15,309,1270,6346,54,23,4,3,74.390000
2020-04-15,109,115626,439794,5234,1571,337,269,9715.020000
2020-04-21,109,194135,706798,6809,1671,369,299,10819.630000
2020-04-21,116,3815,38524,80,7,2,2,62.980000
2020-04-21,112,93590,609973,7083,2226,725,550,19928.830000
2020-04-21,117,5704,57030,140,44,5,5,241.210000
2020-05-03,112,103826,677845,8056,2545,756,603,22511.170000
2020-05-03,109,160421,582700,6373,1753,423,348,12584.120000
2020-05-03,114,1,10,0,0,0,0,0.000000
2020-05-03,309,517,2583,29,8,2,2,65.300000
2020-05-03,116,1,10,0,0,0,0,0.000000
2020-05-03,121,32642,125028,2623,676,93,79,2356.830000
2020-04-25,117,6,60,0,0,0,0,0.000000
2020-04-25,109,222743,803840,9130,2533,616,461,17013.990000
2020-04-25,114,6,56,0,0,0,0,0.000000
2020-04-25,121,7767,28281,474,132,15,13,353.990000
2020-05-05,1801,436,2123,15,0,0,0,0.000000
2020-05-05,112,99782,654188,7398,2268,674,526,19227.680000
2020-05-05,109,357978,1400949,16214,5959,1792,1422,49457.460000
2020-05-05,309,453,2265,12,6,0,0,0.000000
2020-05-05,121,8770,31545,568,105,21,17,518.820000
2020-05-07,109,297757,1212094,16508,5406,1844,1466,50250.310000
2020-05-07,112,83621,548432,6182,1972,657,511,19435.830000
2020-05-07,121,12101,45393,684,164,39,28,864.430000
2020-05-07,309,371,1855,19,8,1,1,12.320000
2020-05-07,1801,2856,13863,194,0,0,0,0.000000
2020-05-13,112,73337,476437,5649,1730,576,443,16953.580000
2020-05-13,309,532,2659,16,2,0,0,0.000000
2020-05-13,109,189511,759846,11372,3144,646,505,15870.230000
2020-05-13,121,4459,15750,299,56,11,8,291.900000
2020-03-22,117,7965,79203,210,73,13,12,729.910000
2020-03-22,114,6732,68739,87,23,2,2,55.550000
2020-03-22,116,4037,40226,215,14,0,0,0.000000
2020-03-22,121,2908,9933,190,31,2,2,37.770000
2020-03-22,309,962,4810,42,15,3,3,70.570000
2020-03-22,109,74745,291460,4310,1339,317,245,9389.610000
2020-03-22,112,42203,273266,2690,1009,389,312,11322.360000
2020-04-05,117,3847,38532,89,30,5,5,135.570000
2020-04-05,121,4855,17427,379,116,13,10,303.510000
2020-04-05,112,77010,501937,5496,1855,598,473,17079.420000
2020-04-05,109,125444,487873,6822,2042,531,420,15744.110000
2020-04-05,114,6422,64380,125,15,4,3,227.690000
2020-04-05,116,3704,36849,156,3,0,0,0.000000
2020-04-05,309,3507,17515,229,72,16,16,421.680000
2020-05-13,1801,2584,12617,121,0,0,0,0.000000
2020-05-16,112,79051,519128,6498,1920,628,477,18126.550000
2020-05-16,309,254,1270,16,6,1,1,19.570000
2020-05-16,1801,2837,13940,154,0,0,0,0.000000
2020-05-16,121,3983,13893,252,47,7,6,138.780000
2020-05-01,112,101553,659251,7626,2296,659,530,19140.220000
2020-05-01,121,44017,169932,3742,1119,170,143,4406.860000
2020-05-01,109,190189,699300,8161,2343,659,532,20127.540000
2020-05-01,309,554,2768,22,11,1,1,47.340000
2020-05-16,109,135874,549854,8255,2454,564,428,14528.210000
2020-04-25,309,666,3327,25,10,2,2,58.040000
2020-04-25,116,10,98,1,0,0,0,0.000000
2020-04-25,112,117767,768191,9315,2974,945,706,26811.050000
2020-05-21,309,222,1109,12,1,0,0,0.000000
2020-05-06,1801,3598,17395,259,0,0,0,0.000000
2020-03-20,117,4006,40060,70,23,9,8,357.760000
2020-03-20,121,2367,8274,152,21,5,4,123.210000
2020-03-20,116,2590,25956,50,12,0,0,0.000000
2020-03-20,109,76551,304445,4280,1511,311,244,8179.950000
2020-03-20,309,749,3742,24,9,3,2,44.490000
2020-03-20,114,6685,68171,73,23,3,3,107.200000
2020-03-20,302,1,6,0,0,0,0,0.000000
2020-03-20,112,33344,214573,1919,792,264,211,8029.720000
2020-03-24,117,2935,29212,49,15,4,4,115.010000
2020-03-24,116,2482,24908,61,21,1,1,110.540000
2020-03-24,309,913,4563,32,15,5,5,101.500000
2020-03-24,114,5048,51084,89,4,1,1,87.560000
2020-03-24,121,3021,10695,214,50,3,3,68.580000
2020-03-24,112,48044,311146,2973,1151,374,311,10360.550000
2020-03-24,109,71606,278550,3899,1249,242,205,6786.530000
2020-05-06,112,88630,576972,6551,1962,670,502,19432.140000
2020-05-02,116,1,10,0,0,0,0,0.000000
2020-03-28,109,107771,421518,6469,2213,607,465,17710.970000
2020-03-28,116,3235,32430,74,26,5,5,266.900000
2020-05-02,309,418,2088,18,11,0,0,0.000000
2020-04-26,121,8409,30108,545,104,21,14,467.480000
2020-03-28,309,1048,5240,61,16,5,5,146.610000
2020-03-28,117,3870,38482,77,23,6,6,197.210000
2020-03-28,114,5407,54205,101,3,1,1,80.320000
2020-03-28,121,3470,12318,214,50,7,4,245.500000
2020-03-28,112,59020,380015,4241,1463,469,377,12705.320000
2020-04-01,114,6190,62009,104,11,2,2,38.060000
2020-04-01,309,1042,5204,42,26,9,8,214.460000
2020-04-13,116,6342,63921,117,40,5,5,171.090000
2020-04-13,109,109543,417232,5516,1489,338,271,9633.440000
2020-04-13,121,5569,19839,295,49,5,5,112.730000
2020-04-13,112,93982,613690,6993,2089,636,487,17898.730000
2020-04-13,309,1236,6179,46,23,6,5,167.710000
2020-04-13,117,6042,60574,170,59,19,16,688.220000
2020-04-13,114,6658,67447,89,21,3,3,103.480000
2020-04-26,117,4,39,0,0,0,0,0.000000
2020-04-26,109,227428,812973,8707,2179,519,419,15482.630000
2020-04-26,112,122863,788474,9576,3181,1034,791,29723.290000
2020-04-26,309,636,3179,25,6,4,4,55.900000
2020-05-02,112,98342,639259,7506,2249,678,537,20755.370000
2020-05-02,109,153706,563734,6196,1650,447,351,13040.160000
2020-05-02,121,36401,138756,3095,856,134,110,3586.010000
2020-05-21,121,9340,38268,760,279,41,38,1405.430000
2020-05-21,1801,5330,26237,166,0,0,0,0.000000
