business_channel_id,registered,site_id,first_time_buyer,promotion_id,coupon_id,device_class_code,locale_code,std_revenue,num_orders,num_units,std_tax,std_shipping,num_promotion_uses,std_total_discount,submit_date,campaign_id,std_item_discount,std_order_discount,std_shipping_discount,std_order_net,std_shipping_net,std_discount,num_order_units
7,false,113,true,11184,10080,smartphone,UNKNOWN_LOCALE,17.350000,1,1.000000,2.810000,0.980000,1,4.970000,2017-01-01,,4.970000,0.000000,0.000000,26.700000,,,
7,false,113,true,11201,1,desktop,UNKNOWN_LOCALE,140.020000,4,14.000000,23.350000,13.860000,4,15.830000,2017-01-01,,0.000000,0.000000,15.830000,138.670000,,,
7,true,116,true,30176,1,desktop,UNKNOWN_LOCALE,458.190000,5,72.000000,76.220000,0.000000,5,0.000000,2017-01-01,,0.000000,0.000000,0.000000,560.670000,,,
7,false,113,true,11201,1,smartphone,UNKNOWN_LOCALE,17.350000,1,3.000000,2.810000,2.970000,1,3.960000,2017-01-01,,0.000000,0.000000,3.960000,26.700000,,,
7,false,113,true,1670004,20066,desktop,UNKNOWN_LOCALE,35.030000,1,5.000000,5.840000,1.970000,1,0.000000,2017-01-01,,0.000000,0.000000,0.000000,55.500000,,,
7,false,114,true,11554,1,smartphone,UNKNOWN_LOCALE,82.060000,1,18.000000,14.240000,0.000000,1,0.000000,2017-01-01,,0.000000,0.000000,0.000000,64.460000,,,
7,false,116,false,30093,1,smartphone,UNKNOWN_LOCALE,71.590000,1,2.000000,12.990000,5.260000,1,0.000000,2017-01-01,,0.000000,0.000000,0.000000,61.710000,,,
7,false,116,true,11234,10360,desktop,UNKNOWN_LOCALE,27.160000,1,1.000000,4.650000,1.050000,1,4.940000,2017-01-01,,4.940000,0.000000,0.000000,47.260000,,,
7,false,116,true,11234,10360,smartphone,UNKNOWN_LOCALE,55.750000,2,3.000000,9.100000,0.000000,2,20.280000,2017-01-01,,20.280000,0.000000,0.000000,173.470000,,,
7,false,116,true,30093,1,desktop,UNKNOWN_LOCALE,87.660000,3,18.000000,16.090000,7.680000,3,0.000000,2017-01-01,,0.000000,0.000000,0.000000,145.170000,,,
7,false,116,true,30093,1,smartphone,UNKNOWN_LOCALE,114.830000,3,17.000000,19.670000,3.490000,3,0.000000,2017-01-01,,0.000000,0.000000,0.000000,223.590000,,,
7,false,116,true,30176,1,desktop,UNKNOWN_LOCALE,58.920000,1,18.000000,9.820000,0.000000,1,0.000000,2017-01-01,,0.000000,0.000000,0.000000,70.000000,,,
7,false,116,true,30176,1,smartphone,UNKNOWN_LOCALE,111.550000,2,26.000000,18.260000,0.000000,2,0.000000,2017-01-01,,0.000000,0.000000,0.000000,173.470000,,,
7,false,117,false,10379,1,desktop,UNKNOWN_LOCALE,85.384936,1,1.000000,14.226913,5.958180,1,5.958180,2017-01-01,,0.000000,0.000000,5.958180,57.670018,,,
7,false,117,false,10379,1,smartphone,UNKNOWN_LOCALE,177.302758,4,5.000000,29.579782,23.832720,4,23.832720,2017-01-01,,0.000000,0.000000,23.832720,119.714842,,,
7,false,117,false,10379,1,tablet,UNKNOWN_LOCALE,40.522659,1,1.000000,6.755731,5.958180,1,5.958180,2017-01-01,,0.000000,0.000000,5.958180,27.363057,,,
7,false,117,true,10320,10114,desktop,UNKNOWN_LOCALE,49.741417,3,3.000000,8.139718,8.937270,3,9.042828,2017-01-01,,9.042828,0.000000,0.000000,65.973937,,,
7,false,117,true,10320,10114,smartphone,UNKNOWN_LOCALE,19.903604,1,1.000000,3.260579,2.979090,1,3.612440,2017-01-01,,3.612440,0.000000,0.000000,26.389575,,,
7,false,117,true,10379,1,desktop,UNKNOWN_LOCALE,296.524992,8,9.000000,49.283999,38.728170,8,47.665440,2017-01-01,,0.000000,0.000000,47.665440,232.615307,,,
7,false,117,true,10379,1,smartphone,UNKNOWN_LOCALE,241.318002,4,7.000000,40.170798,20.853630,4,23.832720,2017-01-01,,0.000000,0.000000,23.832720,175.930500,,,
7,false,121,false,11370,1,tablet,UNKNOWN_LOCALE,12.620000,1,2.000000,3.160000,5.260000,1,0.000000,2017-01-01,,0.000000,0.000000,0.000000,15.000000,,,
7,false,121,true,11370,1,desktop,UNKNOWN_LOCALE,158.330000,5,12.000000,29.220000,18.410000,5,0.000000,2017-01-01,,0.000000,0.000000,0.000000,191.660000,,,
7,false,121,true,11370,1,smartphone,UNKNOWN_LOCALE,148.860000,4,12.000000,26.560000,14.030000,4,0.000000,2017-01-01,,0.000000,0.000000,0.000000,201.260000,,,
7,false,121,true,310024,1,desktop,UNKNOWN_LOCALE,66.810000,2,6.000000,11.130000,4.390000,2,8.750000,2017-01-01,,0.000000,0.000000,8.750000,105.840000,,,
7,false,121,true,310024,1,smartphone,UNKNOWN_LOCALE,94.680000,2,8.000000,15.790000,5.260000,2,10.500000,2017-01-01,,0.000000,0.000000,10.500000,150.010000,,,
7,false,302,false,10534,1,desktop,UNKNOWN_LOCALE,605.165739,18,52.000000,100.327306,91.460406,18,107.247238,2017-01-01,,0.000000,0.000000,107.247238,457.360659,,,
7,false,302,false,10534,1,smartphone,UNKNOWN_LOCALE,1016.198027,23,52.000000,169.116129,129.297195,23,137.038135,2017-01-01,,0.000000,0.000000,137.038135,709.117205,,,
7,false,302,false,10534,1,tablet,UNKNOWN_LOCALE,73.796980,1,4.000000,12.303406,5.958180,1,5.958180,2017-01-01,,0.000000,0.000000,5.958180,49.835246,,,
7,false,302,false,11744,20541,desktop,UNKNOWN_LOCALE,76.588412,3,6.000000,12.526252,6.134109,3,13.933696,2017-01-01,,13.933696,0.000000,0.000000,101.605729,,,
7,false,302,false,11744,20541,smartphone,UNKNOWN_LOCALE,36.136125,2,2.000000,5.922994,2.369198,2,6.568072,2017-01-01,,6.568072,0.000000,0.000000,47.935197,,,
7,false,302,false,11854,1,desktop,UNKNOWN_LOCALE,1.642018,7,7.000000,0.000000,9.676178,7,16.912784,2017-01-01,,16.912784,0.000000,0.000000,194.942724,,,
7,false,302,false,11854,1,smartphone,UNKNOWN_LOCALE,0.938296,4,4.000000,0.000000,5.348288,4,9.664448,2017-01-01,,9.664448,0.000000,0.000000,110.496083,,,
7,false,302,true,10534,1,desktop,UNKNOWN_LOCALE,1727.754807,38,94.000000,287.259323,202.132419,38,226.457748,2017-01-01,,0.000000,0.000000,226.457748,1259.111138,,,
7,false,302,true,10534,1,smartphone,UNKNOWN_LOCALE,3085.703695,84,189.000000,512.262711,435.533556,84,500.487092,2017-01-01,,0.000000,0.000000,500.487092,2299.435103,,,
7,false,302,true,10534,1,tablet,UNKNOWN_LOCALE,790.045234,17,48.000000,131.349712,92.738838,17,101.265598,2017-01-01,,0.000000,0.000000,101.265598,539.027596,,,
7,false,302,true,11744,20541,desktop,UNKNOWN_LOCALE,143.911149,6,7.000000,23.562958,11.787343,6,26.178458,2017-01-01,,26.178458,0.000000,0.000000,190.861136,,,
7,false,302,true,11744,20541,smartphone,UNKNOWN_LOCALE,337.188397,17,20.000000,55.124891,31.315629,17,61.329373,2017-01-01,,61.329373,0.000000,0.000000,447.297436,,,
7,false,302,true,11744,20541,tablet,UNKNOWN_LOCALE,9.945938,1,1.000000,1.618561,1.184599,1,1.806220,2017-01-01,,1.806220,0.000000,0.000000,13.194788,,,
