coupon_id,ncoupon_id,coupon_type,description,is_enabled,redemption_limit,codes_count
starts 6/6 (6/5 9pm PST or 6/6 12am EST) ends 6/11 @12:15am PST),true,0,1
10032,FreeExpShip1,1,Free Expedited Shipping for orders over $150,true,0,1
10033,GTM Discount,1,null,true,0,1
10034,GTM bonus,1,null,true,0,1
10035,GTM-both,1,null,true,0,1
10036,HANDLE,1,Choose your own extension handle (pink  lavender  gray  white) with any PLUS purchase,true,0,1
10037,Hydrate-pollution-gwp,1,With any $149 purchase or more  receive a Barrel Bag + 1oz Gentle Hydro Cleanser Sample + 1 oz Deep Pore Cleanser Sample + 1 Delicate Brush head.,true,0,1
10038,LUCKY15,1,15% off all online exclusive skus
Flight dates: March 17 – March 18 at noon PST (we can turn this on now and end date/time should be noon PST 3/18),true,0,1
10039,MOSAICSUMMER,1,Receive a FREE Mosaic Barrel bag with a purchase of $99 or more!  Use codeL: MOSAICSUMMER at checkout.,true,0,1
10040,MixAndMatchBrushhead,1,null,true,0,1
30001,WELCOME10,1,null,true,0,1
30002,EYE10,1,null,true,0,1
30003,SATURDAYTREAT,1,null,true,0,1
30004,SAYSI,1,null,true,0,1
30005,TRIO,1,null,true,0,1
30006,SPARKLING,1,null,true,0,1
30007,TOGETHER,1,null,true,0,1
30008,EYESTOKILL,1,null,true,0,1
30009,EXCLUSIVE15,1,null,true,0,1
30010,VIP15,1,null,true,0,1
10041,AQUAPOWER20,1,null,true,0,1
10042,AQUASOURCE20,1,null,true,0,1
10043,BENVENUTA,1,null,true,0,1
10044,BENVENUTO,1,null,true,0,1
10045,BIENVENIDO,1,null,true,0,1
10046,BIODE30,1,null,true,0,1
10047,BIRTHDAY,1,null,true,0,1
10048,BLACK,1,null,true,0,1
10049,Bonus products,1,null,true,0,1
10050,CADEAU,1,null,true,0,1
30011,COCOON,1,null,true,0,1
30012,COUPON50,1,null,true,1,1
30013,CUMPLE,1,null,true,0,1
30014,ETOILE,1,null,true,0,1
30015,EXCLU17,1,null,true,0,1
30016,FALL,1,null,true,0,1
30017,FEMME20,1,null,true,0,1
30018,FETES,1,null,true,0,1
30019,FIVEOFFALL,1,null,true,0,1
30020,FORCE,1,null,true,0,1
10051,FREE,1,null,true,0,1
10052,FREESHIP,1,null,true,0,1
10053,FREESHIP-DE,1,null,true,0,1
10054,GESCHENK,1,null,true,0,1
10055,GIFT,1,null,true,0,1
10056,GWP_coupon,1,null,true,0,1
10057,HOMME20,1,null,true,0,1
10059,ICE,1,null,true,0,1
10060,LAURY25,1,null,true,0,1
10061,LIEFERUNG,1,null,true,0,1
10062,LOYALTY,1,null,true,0,1
10063,NETTOYANTS15,1,null,true,0,1
10064,NEWYEAR,1,null,true,0,1
10065,PROMO50,1,null,true,1,1
10066,REGALO,1,null,true,0,1
10067,SALES,1,null,true,0,1
10068,SALESMEN,1,null,true,0,1
10069,SHIP,1,null,true,0,1
10070,SORPRESA,1,null,true,0,1
10071,VALENTINE,1,null,true,0,1
10072,VIP,1,null,true,0,1
10073,VIP20,1,null,true,0,1
10074,WILLKOMMEN,1,null,true,0,1
10075,WINTER,1,null,true,0,1
10076,XMAS,1,null,true,0,1
10077,YEUX30,1,null,true,0,1
10078,diagnostic10,1,diagnostic10,true,0,1
10079,gwpfr,1,null,true,0,1
10080,VIP16_1511,1,null,true,0,1
10081,SIMONE17,1,null,true,0,1
10082,MONDAY,1,null,true,0,1
