business_channel_id,registered,site_id,first_time_buyer,sku_id,product_id,device_class_code,locale_code,std_revenue,num_orders,num_units,std_tax,std_shipping,std_total_discount,submit_date,std_promotional_discount
7,false,109,true,28212,15746,smartphone,UNKNOWN_LOCALE,0.000000,1,1.000000,0.170000,0.840000,0.000000,2017-01-01,0.000000
7,false,109,true,29028,16486,desktop,UNKNOWN_LOCALE,37.000000,1,1.000000,6.840000,3.330000,0.000000,2017-01-01,0.000000
7,false,109,true,29658,17115,smartphone,UNKNOWN_LOCALE,0.000000,1,1.000000,0.160000,0.830000,0.000000,2017-01-01,0.000000
7,false,112,false,26096,13686,desktop,UNKNOWN_LOCALE,31.081055,1,1.000000,5.184085,4.832224,4.832224,2017-01-01,0.000000
7,false,112,false,26277,15120,tablet,UNKNOWN_LOCALE,13.488005,1,1.000000,2.251910,0.961753,0.961753,2017-01-01,0.000000
7,false,112,false,27539,247914,tablet,UNKNOWN_LOCALE,56.297760,1,1.000000,9.382960,0.598164,0.598164,2017-01-01,0.000000
7,false,112,false,27828,15382,desktop,UNKNOWN_LOCALE,57.470630,1,1.000000,9.582348,0.539520,0.539520,2017-01-01,0.000000
7,false,116,true,31663,18655,desktop,UNKNOWN_LOCALE,0.000000,1,1.000000,0.000000,0.000000,0.000000,2017-01-01,0.000000
7,false,112,false,28002,151071,smartphone,UNKNOWN_LOCALE,20.525225,1,1.000000,3.424780,1.208056,1.208056,2017-01-01,0.000000
7,false,112,false,28018,15558,desktop,UNKNOWN_LOCALE,46.774056,1,1.000000,7.647112,1.208056,5.453845,2017-01-01,4.245789
7,false,112,false,28137,15677,desktop,UNKNOWN_LOCALE,42.223320,1,1.000000,7.037220,0.598164,0.598164,2017-01-01,0.000000
7,false,112,false,28138,15678,desktop,UNKNOWN_LOCALE,37.625670,1,1.000000,6.157568,1.208056,4.632836,2017-01-01,3.424780
7,false,112,false,28166,15703,desktop,UNKNOWN_LOCALE,0.000000,2,2.000000,0.000000,2.181538,2.181538,2017-01-01,0.000000
7,false,112,false,28166,15703,smartphone,UNKNOWN_LOCALE,0.000000,4,4.000000,0.000000,4.234060,4.234060,2017-01-01,0.000000
7,false,112,false,28166,15703,tablet,UNKNOWN_LOCALE,0.000000,2,2.000000,0.000000,1.571645,1.571645,2017-01-01,0.000000
7,false,112,false,28215,15748,desktop,UNKNOWN_LOCALE,25.216705,1,1.000000,4.198875,0.527792,0.527792,2017-01-01,0.000000
7,false,112,false,28215,15748,smartphone,UNKNOWN_LOCALE,50.433410,2,2.000000,8.397750,2.416112,2.416112,2017-01-01,0.000000
7,false,112,false,28280,15809,tablet,UNKNOWN_LOCALE,17.593050,1,1.000000,2.932175,0.961753,0.961753,2017-01-01,0.000000
7,false,112,false,28345,15869,desktop,UNKNOWN_LOCALE,19.352355,1,1.000000,3.225393,0.527792,0.527792,2017-01-01,0.000000
7,false,112,false,28376,15895,smartphone,UNKNOWN_LOCALE,28.148880,1,1.000000,4.691480,1.208056,1.208056,2017-01-01,0.000000
7,false,112,false,28392,15910,desktop,UNKNOWN_LOCALE,32.840360,1,1.000000,5.477303,0.961753,0.961753,2017-01-01,0.000000
7,false,112,false,28461,15971,tablet,UNKNOWN_LOCALE,36.358970,1,1.000000,6.063738,1.208056,1.208056,2017-01-01,0.000000
7,false,112,false,28583,16076,smartphone,UNKNOWN_LOCALE,17.593050,1,1.000000,2.932175,1.208056,1.208056,2017-01-01,0.000000
7,false,112,false,28587,16081,desktop,UNKNOWN_LOCALE,0.000000,7,7.000000,0.000000,6.955118,6.955118,2017-01-01,0.000000
7,false,112,false,28587,16081,smartphone,UNKNOWN_LOCALE,0.000000,5,5.000000,0.000000,5.442116,5.442116,2017-01-01,0.000000
7,false,112,false,28587,16081,tablet,UNKNOWN_LOCALE,0.000000,2,2.000000,0.000000,2.181538,2.181538,2017-01-01,0.000000
7,false,112,false,28591,16084,smartphone,UNKNOWN_LOCALE,41.050450,1,1.000000,6.837832,0.598164,0.598164,2017-01-01,0.000000
7,false,112,false,28608,16101,desktop,UNKNOWN_LOCALE,35.186100,2,2.000000,5.864350,2.169809,2.169809,2017-01-01,0.000000
7,false,112,false,28608,16101,tablet,UNKNOWN_LOCALE,17.593050,1,1.000000,2.932175,0.598164,0.598164,2017-01-01,0.000000
7,false,112,false,28635,326758,desktop,UNKNOWN_LOCALE,40.464015,1,1.000000,6.744003,0.598164,0.598164,2017-01-01,0.000000
7,false,112,false,28647,16126,desktop,UNKNOWN_LOCALE,39.877580,1,1.000000,6.650173,1.208056,1.208056,2017-01-01,0.000000
