promotion_id,npromotion_id,display_name,promotion_class,is_continuous,valid_from,valid_to
17820013,SHIPPING_RL_1_ROUGE_20190927,SHIPPING_RL_1_ROUGE_20190927,SHIPPING,true,,
17690002,FR-Discount25%-FrenchDays-2019,FR-Discount25%-FrenchDays-2019,PRODUCT,true,,
17820014,IT_Discount_MUS20_20190926,IT_Discount_MUS20_20190926,PRODUCT,true,,
17820015,GWP_AZFGSUR30_20190917,GWP_AZFGSUR30_20190917,ORDER,true,,
17660001,Promo-frenchdays-0919,Promo-frenchdays-0919,ORDER,true,,
17820016,FR-test-callout-discount,FR-test-callout-discount,PRODUCT,true,,
17820017,IT-time-to-change-it,IT-time-to-change-it,PRODUCT,true,,
17730001,IT-WELCOME-TRIGGER,IT-WELCOME-TRIGGER,ORDER,true,,
17630001,DISCOUNT20_FRENCH_OFFER_20190923,DISCOUNT20_FRENCH_OFFER_20190923,PRODUCT,true,,
17680001,FR-Discount25%-Frenchdays1-Septembre2019,FR-Discount25%-Frenchdays1-Septembre2019,ORDER,true,,
17600001,UDC-IT-FRIENDS-AND-FANATICS-SEPT19-EARLY-ACCESS,UDC-IT-FRIENDS-AND-FANATICS-SEPT19-EARLY-ACCESS,PRODUCT,true,,
17720001,FR-Discount40%-ECENTBIO,FR-Discount40%-ECENTBIO,PRODUCT,true,,
17800001,SHIPPING_CO_REVITALIFT_20190924,SHIPPING_CO_REVITALIFT_20190924,SHIPPING,true,,
17760001,Discount_REVITALIFT_20190924,Discount_REVITALIFT_20190924,PRODUCT,true,,
17780001,FR_DISCOUNT_FRENCHY_30_20190916,FR_DISCOUNT_FRENCHY_30_20190916,PRODUCT,true,,
17590001,FR-FAMILY-GWP-F&F,FR-FAMILY-GWP-F&F,ORDER,true,,
17640001,UDC-IT-FRIENDS-AND-FANATICS-SEPT19-INFLUENCER,UDC-IT-FRIENDS-AND-FANATICS-SEPT19-INFLUENCER,ORDER,true,,
17790001,FR_DISCOUNT_FRENCHY_25_20190927,FR_DISCOUNT_FRENCHY_25_20190927,PRODUCT,true,,
17770001,FR-GWP-RASAGE-FrenchDays,FR-GWP-RASAGE-FrenchDays,ORDER,true,,
17810001,GWP_APFW2019_20190909,GWP_APFW2019_20190909,ORDER,true,,
