site_id,date,best_practices_score,score_cache_hit_rate,score_avg_response,score_error_rate,score_includes_ps,score_coupons,score_api_ratio,avg_response_time_ms,cache_hit_rate,error_rate,total_requests,product_show_include_count,coupon_count,api_requests,api_ratio
105,2018-10-20,26,1,5,5,5,5,5,37.916666666666664,0.05555555555555555,0.0,36,0.0,0.0,0.0,0.0
105,2018-10-21,26,1,5,5,5,5,5,29.92208695652174,0.00034782608695652176,0.0,2875,0.0,0.0,0.0,0.0
105,2018-10-22,23,1,2,5,5,5,5,715.3268292682927,0.004878048780487805,0.0,205,0.0,0.0,0.0,0.0
105,2018-10-23,24,1,3,5,5,5,5,317.94805194805195,0.0,0.0,462,0.0,0.0,0.0,0.0
105,2018-10-24,26,1,5,5,5,5,5,91.29508196721312,0.00819672131147541,0.0,122,0.0,0.0,0.0,0.0
105,2018-10-25,26,1,5,5,5,5,5,111.08239700374531,0.011235955056179775,0.0,267,0.0,0.0,0.0,0.0
105,2018-10-26,26,1,5,5,5,5,5,38.47529411764706,0.002352941176470588,0.0,425,0.0,0.0,0.0,0.0
105,2018-10-28,26,1,5,5,5,5,5,199.36708860759492,0.012658227848101266,0.0,79,1.0,0.0,0.0,0.0
105,2018-10-30,26,1,5,5,5,5,5,39.0,0.0,0.0,3,0.0,0.0,0.0,0.0
105,2018-11-01,26,1,5,5,5,5,5,43.43295019157088,0.0,0.0,261,0.0,0.0,0.0,0.0
105,2018-11-03,26,1,5,5,5,5,5,56.0,0.0,0.0,1,0.0,0.0,0.0,0.0
105,2018-11-07,26,1,5,5,5,5,5,5.732673267326732,0.0,0.0,505,0.0,0.0,0.0,0.0
105,2018-11-09,26,1,5,5,5,5,5,6.674242424242424,0.0,0.0,132,0.0,0.0,0.0,0.0
105,2019-01-05,26,1,5,5,5,5,5,80.33333333333333,0.0,0.0,3,0.0,0.0,0.0,0.0
105,2019-01-07,26,1,5,5,5,5,5,20.0,0.0,0.0,1,0.0,0.0,0.0,0.0
106,2018-10-19,26,1,5,5,5,5,5,102.6106908222178,0.0007963368504877563,0.0,10046,0.0,0.0,0.0,0.0
106,2018-10-20,26,1,5,5,5,5,5,92.7925301881494,5.616399887672002e-05,0.0,17805,0.0,0.0,0.0,0.0
106,2018-10-21,23,1,2,5,5,5,5,566.3574839836925,0.0005824111822947001,0.0,8585,1.0,0.0,0.0,0.0
106,2018-10-22,26,1,5,5,5,5,5,113.80426073131956,0.00038155802861685216,0.0,15725,0.0,0.0,0.0,0.0
106,2018-10-23,26,1,5,5,5,5,5,80.44074902179989,0.0009782001117942985,0.0,7156,0.0,0.0,0.0,0.0
106,2018-10-24,26,1,5,5,5,5,5,51.83538446391651,9.845426799251748e-05,0.0,20314,0.0,0.0,0.0,0.0
106,2018-10-25,26,1,5,5,5,5,5,239.3135232114824,0.001121327651939897,0.0,4459,0.0,0.0,0.0,0.0
106,2018-10-26,26,1,5,5,5,5,5,136.91649358897337,5.149418973892446e-05,0.0,58259,0.0,0.0,0.0,0.0
106,2018-10-28,26,1,5,5,5,5,5,227.76597003154575,0.0007886435331230284,0.0,5072,1.0,0.0,0.0,0.0
106,2018-10-30,26,1,5,5,5,5,5,73.76296709425544,0.0005577244841048522,0.0,1793,2.0,0.0,0.0,0.0
106,2018-11-01,26,1,5,5,5,5,5,34.91761768901569,8.91583452211127e-05,0.0,11216,0.0,0.0,0.0,0.0
106,2018-11-03,26,1,5,5,5,5,5,188.92241379310346,0.0007836990595611285,0.0,1276,0.0,0.0,0.0,0.0
106,2018-11-05,24,1,3,5,5,5,5,393.8767209011264,0.0,0.0,3196,0.0,0.0,0.0,0.0
106,2018-11-07,26,1,5,5,5,5,5,185.0776515151515,0.003787878787878788,0.0,528,0.0,0.0,0.0,0.0
106,2018-11-09,26,1,5,5,5,5,5,171.5799676898223,0.0,0.0,619,0.0,0.0,0.0,0.0
106,2018-11-11,26,1,5,5,5,5,5,90.28402241725706,0.00010574177857671566,0.0,9457,0.0,0.0,0.0,0.0
106,2018-11-13,26,1,5,5,5,5,5,32.28527200353826,0.0004422821760283061,0.0,2261,0.0,0.0,0.0,0.0
106,2018-11-15,26,1,5,5,5,5,5,141.9090909090909,0.0,0.0,11,0.0,0.0,0.0,0.0
106,2019-01-05,26,1,5,5,5,5,5,186.83273116552922,4.460502252553638e-05,0.0,22419,0.0,0.0,0.0,0.0
106,2019-01-07,22,1,1,5,5,5,5,1123.9827338129496,0.0,0.0,695,0.0,0.0,0.0,0.0
