request_date,site_id,api_resource,api_name,api_version,status_code,method,num_requests,response_time,num_requests_bucket1,num_requests_bucket2,num_requests_bucket3,num_requests_bucket4,num_requests_bucket5,num_requests_bucket6,num_requests_bucket7,num_requests_bucket8,num_requests_bucket9,num_requests_bucket10,num_requests_bucket11,api_family
2025-06-24 00:00:00.000,-1,/ping,echo,v1,200,GET,4345,2574320,2057,1875,294,102,13,2,0,1,0,0,1,samples
2023-11-17 00:00:00.000,-1,__UNKNOWN__,echo,v1,200,GET,4297,2299870,2083,2092,101,13,1,1,2,2,0,1,1,
2023-11-09 00:00:00.000,-1,__UNKNOWN__,echo,v1,200,GET,4320,2391437,2061,2052,180,18,4,2,2,0,0,1,0,
2023-11-15 00:00:00.000,-1,__UNKNOWN__,echo,v1,200,GET,4317,2315533,2112,2069,105,18,5,4,2,1,1,0,0,
2023-11-10 00:00:00.000,-1,__UNKNOWN__,echo,v1,200,GET,4305,2341712,2083,2076,108,31,1,1,1,2,0,1,1,
2023-11-16 00:00:00.000,-1,__UNKNOWN__,echo,v1,200,GET,4281,2270988,2085,2038,150,6,2,0,0,0,0,0,0,
2023-11-18 00:00:00.000,-1,__UNKNOWN__,echo,v1,200,GET,4313,2252634,2123,2100,71,12,2,1,0,0,1,0,3,
2023-11-19 00:00:00.000,-1,__UNKNOWN__,echo,v1,200,GET,4290,2221263,2084,2113,88,2,2,0,0,0,1,0,0,
2023-11-20 00:00:00.000,-1,__UNKNOWN__,echo,v1,200,GET,4323,2254662,2141,2110,67,4,1,0,0,0,0,0,0,
2023-11-21 00:00:00.000,-1,__UNKNOWN__,echo,v1,499,GET,1,10008,0,0,0,0,0,0,0,0,0,0,1,
2025-06-25 00:00:00.000,-1,/ping,echo,v1,200,GET,599,349338,295,246,44,11,3,0,0,0,0,0,0,samples
2023-11-22 00:00:00.000,-1,__UNKNOWN__,echo,v1,499,GET,3,28021,0,0,0,0,0,0,0,0,0,0,3,
2023-11-24 00:00:00.000,-1,__UNKNOWN__,echo,v1,200,GET,4308,2256647,2136,2101,62,9,0,0,0,0,0,0,0,
2025-06-21 00:00:00.000,-1,/ping,echo,v1,200,GET,4351,2374634,2311,1719,228,83,9,0,0,0,0,1,0,samples
2023-11-22 00:00:00.000,-1,__UNKNOWN__,echo,v1,200,GET,4310,2238726,2144,2108,52,6,0,0,0,0,0,0,0,
2023-11-23 00:00:00.000,-1,__UNKNOWN__,echo,v1,200,GET,4320,2230088,2167,2073,73,6,1,0,0,0,0,0,0,
2023-11-21 00:00:00.000,-1,__UNKNOWN__,echo,v1,200,GET,4304,2269733,2125,2075,96,7,1,0,0,0,0,0,0,
2023-12-21 00:00:00.000,-1,__UNKNOWN__,echo,v1,200,GET,4293,2258975,2149,2001,134,8,1,0,0,0,0,0,0,
2023-12-01 00:00:00.000,-1,__UNKNOWN__,echo,v1,499,GET,1,9008,0,0,0,0,0,0,0,0,0,0,1,
2023-12-04 00:00:00.000,-1,__UNKNOWN__,echo,v1,404,GET,34,16490,20,14,0,0,0,0,0,0,0,0,0,
2023-12-17 00:00:00.000,-1,__UNKNOWN__,echo,v1,200,GET,4322,2252932,2157,2064,88,11,1,0,0,0,0,0,1,
2023-12-01 00:00:00.000,-1,__UNKNOWN__,echo,v1,200,GET,4301,2291509,2138,2036,115,11,1,0,0,0,0,0,0,
2023-12-10 00:00:00.000,-1,__UNKNOWN__,echo,v1,499,GET,1,9008,0,0,0,0,0,0,0,0,0,0,1,
2023-12-28 00:00:00.000,-1,__UNKNOWN__,echo,v1,200,GET,4317,2257592,2128,2077,98,11,3,0,0,0,0,0,0,
2023-12-09 00:00:00.000,-1,__UNKNOWN__,echo,v1,200,GET,4285,2229830,2150,2003,125,6,1,0,0,0,0,0,0,
2023-11-26 00:00:00.000,-1,__UNKNOWN__,echo,v1,200,GET,4319,2221700,2160,2099,45,14,1,0,0,0,0,0,0,
2023-11-25 00:00:00.000,-1,__UNKNOWN__,echo,v1,200,GET,4305,2224718,2141,2097,57,10,0,0,0,0,0,0,0,
2023-12-04 00:00:00.000,-1,__UNKNOWN__,echo,v1,200,GET,4189,2238495,2086,1923,163,15,1,0,0,1,0,0,0,
2023-12-13 00:00:00.000,-1,__UNKNOWN__,echo,v1,200,GET,4312,2323656,2124,1965,204,12,3,1,1,1,1,0,0,
2023-12-05 00:00:00.000,-1,__UNKNOWN__,echo,v1,499,GET,1,10009,0,0,0,0,0,0,0,0,0,0,1,
