visit_date,site_id,registered,device_class_code,num_visits,num_converted_visits,visit_duration,locale_code,search_state,num_orders,std_revenue,num_units,num_baskets,num_checkouts
2019-06-29,801,false,Smartphone,1116,3,164676356,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,903,false,Desktop,534,10,165321205,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,122,false,Smartphone,849,0,138707155,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,904,true,Tablet,28,7,14740545,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,112,true,Tablet,14,7,13090715,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,1303,false,Desktop,44,0,7273443,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,121,true,Smartphone,123,16,45768839,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,901,false,Smartphone,5974,7,990944849,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,901,true,Desktop,86,6,24812906,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,1001,false,Smartphone,29,0,2569109,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,120,false,Tablet,131,0,18336212,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,308,false,Smartphone,2227,8,346208239,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,103,true,Tablet,2,0,747953,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,304,false,Tablet,192,3,38280836,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,904,true,Smartphone,444,55,279600357,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,107,false,Desktop,39,0,4992846,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,1103,false,Smartphone,770,6,64007679,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,601,false,Smartphone,1140,0,99521763,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,106,false,Tablet,225,3,35246878,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,114,true,Tablet,7,2,12183632,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,1201,true,Smartphone,4,0,1917684,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,303,false,Game console,1,0,20756,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,1102,true,Desktop,138,2,9183992,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,116,false,Desktop,2498,5,343723059,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,111,false,Tablet,48,6,29276779,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,303,true,Smartphone,59,14,42540409,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,113,false,Smartphone,3155,7,365396202,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,1102,true,Smartphone,5,2,3095054,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,302,false,Desktop,987,19,193945243,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,103,true,Smartphone,24,4,17886442,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,1202,true,Smartphone,6,2,4680241,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,302,true,Smartphone,175,53,86045602,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,301,true,Desktop,43,3,5939158,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,501,false,Smartphone,204,2,21101562,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,903,false,Smartphone,2050,24,331389118,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,116,true,Smartphone,123,23,69825503,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,306,false,Tablet,23,0,4359696,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,1001,false,Tablet,1,0,61396,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,1001,true,Tablet,1,0,173279,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,103,false,Tablet,55,0,5316702,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,121,false,Smartphone,2539,5,324420866,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,1002,false,Smartphone,58,0,1480223,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,103,false,Desktop,496,0,87015379,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,601,false,Desktop,55,0,9247524,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,902,true,Desktop,404,72,335060081,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,904,false,Desktop,806,6,246535756,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,120,true,Smartphone,18,6,31269256,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,115,false,Smartphone,1564,0,198759682,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,1302,false,Smartphone,1862,0,114649378,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,120,true,Desktop,58,4,13739736,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,122,false,Tablet,68,0,14724756,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,901,true,Tablet,2,1,237326,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,121,false,Desktop,842,5,151569297,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,904,false,Tablet,374,2,83691442,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,102,true,Desktop,52,0,4059759,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,113,true,Desktop,70,15,49103779,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,307,false,Desktop,40,0,6075521,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,1101,false,Desktop,571,0,49397873,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,118,false,Desktop,86,0,32862361,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,301,false,Desktop,236,5,55218978,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,902,true,Smartphone,1075,108,501098550,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,1201,false,Tablet,120,0,14203573,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,1103,true,Smartphone,11,5,7998986,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,903,true,Smartphone,80,15,39039595,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,302,false,Smartphone,11101,68,1227452694,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,309,false,Smartphone,4339,43,656391984,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,307,false,Smartphone,151,0,18465798,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,305,false,Tablet,72,0,7318024,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,109,false,Desktop,3066,54,958004517,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,301,false,Tablet,175,3,40037732,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,1004,false,Tablet,2,0,668105,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,1701,true,Smartphone,1,0,346144,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,106,true,Smartphone,119,10,31916815,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,1701,true,Desktop,1,0,70991,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,117,false,Desktop,1011,15,217216554,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,308,false,Desktop,596,7,169290782,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,1701,false,Desktop,132,0,20214186,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,1201,true,Tablet,1,0,110777,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,116,false,Tablet,488,2,76313220,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,1002,false,Tablet,1,0,5442,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,309,false,Tablet,179,0,46595700,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,1102,true,Tablet,1,0,238365,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,121,false,Tablet,110,1,18195079,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,1303,false,Smartphone,607,0,38875930,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,303,false,Tablet,563,3,89887575,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,103,true,Desktop,112,2,16508072,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,1101,true,Tablet,2,1,328487,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,122,false,Desktop,229,0,48140666,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,102,false,Tablet,8,0,2163227,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,114,false,Game console,1,0,29821,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,109,true,Smartphone,323,98,241921794,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,114,true,Desktop,234,3,30422791,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,303,true,Tablet,10,6,9147656,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,309,true,Desktop,136,17,62777811,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,102,true,Smartphone,3,0,45838,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,305,true,Desktop,292,3,33659178,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,309,true,Tablet,10,2,6472838,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,903,true,Tablet,8,2,3361008,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,1303,false,Tablet,37,0,5539634,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,301,true,Tablet,7,0,2760899,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,105,false,Smartphone,4,0,4547,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,1103,false,Desktop,141,1,59694648,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,111,false,Smartphone,383,31,220236855,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,105,false,Desktop,5,0,5794,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,303,false,Smartphone,5213,11,615809058,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,113,true,Smartphone,60,18,35897266,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,121,true,Desktop,88,6,23845709,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,801,false,Tablet,7,0,1844352,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,117,true,Tablet,3,1,2285213,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,901,true,Smartphone,171,17,80241315,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,117,true,Desktop,47,4,19362832,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,1302,false,Tablet,51,0,5867893,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,902,false,Smartphone,8596,39,1831082099,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,1201,false,Smartphone,569,4,57204740,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,1004,false,Smartphone,4,0,20439,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,501,true,Desktop,40,2,6777800,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,1101,true,Smartphone,2,0,678413,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,118,false,Tablet,8,0,514147,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,1003,false,Desktop,9,0,1733632,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,901,false,Desktop,480,2,165542027,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,103,false,Smartphone,1486,4,135122449,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,308,true,Tablet,3,0,4826244,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,1202,false,Tablet,38,1,7419913,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,901,false,Tablet,98,0,22801003,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,114,true,Smartphone,45,7,33289134,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,111,false,Desktop,92,23,95081195,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,1201,true,Desktop,38,0,1984406,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,306,false,Smartphone,209,0,20219152,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,904,true,Desktop,158,27,140889985,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,117,false,Tablet,531,3,87038970,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,105,true,Smartphone,1,0,1073407,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,106,false,Desktop,2057,12,320515317,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,501,false,Tablet,7,0,224135,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,1701,false,Smartphone,545,0,62888377,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,303,false,Desktop,2053,8,333269418,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,118,false,Smartphone,369,0,17646532,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,301,true,Smartphone,20,7,9417653,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,102,false,Smartphone,114,1,12292032,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,308,true,Desktop,66,16,38578251,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,121,true,Tablet,9,3,6899533,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,904,false,Smartphone,8657,23,1459779600,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,302,true,Desktop,80,7,17115042,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,105,true,Desktop,1,0,540,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,1001,false,Desktop,7,0,349052,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,304,false,Desktop,727,4,124262302,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,120,false,Desktop,500,1,66381230,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,902,true,Tablet,32,5,37046429,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,109,true,Desktop,679,99,240749827,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,116,false,Smartphone,3928,4,468687478,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,113,false,Tablet,177,1,26140899,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,601,true,Smartphone,23,0,5102547,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,112,false,Smartphone,4553,47,613454563,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,1202,true,Tablet,2,0,176045,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,903,false,Tablet,142,2,30302427,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,109,true,Tablet,50,21,36017417,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,120,false,Smartphone,1079,5,110185018,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,114,false,Tablet,535,1,77573117,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,107,false,Smartphone,140,0,21302265,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,902,false,Smart TV,1,0,17083,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,111,true,Desktop,127,55,106738003,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,304,false,Smartphone,1762,7,195562550,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,112,true,Desktop,119,30,78597487,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,1004,false,Desktop,6,0,446768,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,113,false,Desktop,3022,3,225220462,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,115,false,Desktop,660,0,118977456,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,114,false,Smartphone,9532,4,800624565,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,308,false,Tablet,142,2,26851656,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,1202,true,Desktop,34,0,1396067,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,111,true,Tablet,16,7,9969118,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,309,false,Game console,1,0,160750,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,308,true,Smartphone,37,8,23987542,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,902,false,Desktop,1776,14,717747877,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,303,true,Desktop,316,11,38911246,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,1201,false,Desktop,91,0,21003020,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,1103,true,Desktop,131,2,8911719,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,117,true,Smartphone,37,9,22226753,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,114,false,Desktop,1224,1,305297119,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,112,false,Tablet,480,4,120766206,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,1003,false,Tablet,2,0,75052,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
